,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,9000000.0,9200000.0,9200000.0,
Ordinary Shares Number,631000000.0,633524000.0,599197000.0,587199007.0
Share Issued,640000000.0,642724000.0,608397000.0,587199007.0
Total Debt,2341000000.0,2418499000.0,2303053000.0,419396000.0
Tangible Book Value,4876000000.0,4070803000.0,2170096000.0,-1562685000.0
Invested Capital,7547000000.0,6758250000.0,4717345000.0,-807685000.0
Working Capital,6883000000.0,6027098000.0,3776607000.0,1327679000.0
Net Tangible Assets,4876000000.0,4070803000.0,2170096000.0,-1562685000.0
Capital Lease Obligations,354000000.0,435962000.0,487491000.0,419396000.0
Common Stock Equity,5560000000.0,4775713000.0,2901783000.0,-807685000.0
Total Capitalization,7547000000.0,6758250000.0,4717345000.0,-807685000.0
Total Equity Gross Minority Interest,5560000000.0,4775713000.0,2901783000.0,-807685000.0
Stockholders Equity,5560000000.0,4775713000.0,2901783000.0,-807685000.0
Gains Losses Not Affecting Retained Earnings,-32000000.0,-6893000.0,2639000.0,-4410000.0
Other Equity Adjustments,-32000000.0,-6893000.0,2639000.0,-4410000.0
Retained Earnings,-5965000000.0,-6357741000.0,-6005707000.0,-1420991000.0
Additional Paid In Capital,11557000000.0,11140284000.0,8904791000.0,617690000.0
Capital Stock,0.0,63000.0,60000.0,26000.0
Common Stock,0.0,63000.0,60000.0,26000.0
Total Liabilities Net Minority Interest,10478000000.0,8932761000.0,7589716000.0,9117804000.0
Total Non Current Liabilities Net Minority Interest,2500000000.0,2573479000.0,2449937000.0,3884040000.0
Other Non Current Liabilities,218000000.0,218459000.0,203470000.0,271164000.0
Preferred Securities Outside Stock Equity,,,0.0,3231502000.0
Long Term Debt And Capital Lease Obligation,2282000000.0,2355020000.0,2246467000.0,381374000.0
Long Term Capital Lease Obligation,295000000.0,372483000.0,430905000.0,381374000.0
Long Term Debt,1987000000.0,1982537000.0,1815562000.0,
Current Liabilities,7978000000.0,6359282000.0,5139779000.0,5233764000.0
Other Current Liabilities,672000000.0,903728000.0,407895000.0,1081419000.0
Current Deferred Liabilities,1182000000.0,182796000.0,188309000.0,262454000.0
Current Deferred Revenue,1182000000.0,,,
Current Deferred Taxes Liabilities,206000000.0,182796000.0,188309000.0,262454000.0
Current Debt And Capital Lease Obligation,59000000.0,63479000.0,56586000.0,38022000.0
Current Capital Lease Obligation,59000000.0,63479000.0,56586000.0,38022000.0
Current Debt,,,26755000.0,
Other Current Borrowings,,,26755000.0,
Pensionand Other Post Retirement Benefit Plans Current,380000000.0,415626000.0,380164000.0,253305000.0
Current Provisions,,,188309000.0,262454000.0
Payables And Accrued Expenses,6737000000.0,5392075000.0,4675298000.0,3598564000.0
Current Accrued Expenses,1817000000.0,1558243000.0,2414071000.0,94228000.0
Payables,4920000000.0,3833832000.0,2261227000.0,3504336000.0
Other Payable,4783000000.0,3715471000.0,2181329000.0,3145457000.0
Total Tax Payable,418000000.0,334728000.0,165257000.0,207462000.0
Income Tax Payable,,25112000.0,12002000.0,15424000.0
Accounts Payable,137000000.0,118361000.0,79898000.0,151417000.0
Total Assets,16038000000.0,13708474000.0,10491499000.0,8310119000.0
Total Non Current Assets,1177000000.0,1322094000.0,1575113000.0,1748676000.0
Other Non Current Assets,234000000.0,188563000.0,189164000.0,306809000.0
Goodwill And Other Intangible Assets,684000000.0,704910000.0,731687000.0,755000000.0
Other Intangible Assets,34000000.0,52308000.0,75886000.0,102912000.0
Goodwill,650000000.0,652602000.0,655801000.0,652088000.0
Net PPE,259000000.0,428621000.0,654262000.0,686867000.0
Accumulated Depreciation,-312000000.0,-379194000.0,-267851000.0,-178735000.0
Gross PPE,259000000.0,428621000.0,654262000.0,865602000.0
Leases,152000000.0,213950000.0,243110000.0,236027000.0
Construction In Progress,45000000.0,30174000.0,10821000.0,40534000.0
Other Properties,259000000.0,428621000.0,654262000.0,385594000.0
Machinery Furniture Equipment,219000000.0,274811000.0,267270000.0,186603000.0
Buildings And Improvements,17000000.0,16844000.0,16844000.0,16844000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,14861000000.0,12386380000.0,8916386000.0,6561443000.0
Other Current Assets,456000000.0,333669000.0,309954000.0,341598000.0
Restricted Cash,,14764000.0,33846000.0,115000.0
Prepaid Assets,,333669000.0,309954000.0,341598000.0
Receivables,4783000000.0,3715471000.0,2181329000.0,3145457000.0
Other Receivables,4783000000.0,3715471000.0,2181329000.0,3145457000.0
Cash Cash Equivalents And Short Term Investments,9622000000.0,8322476000.0,6391257000.0,3074273000.0
Other Short Term Investments,2244000000.0,2255038000.0,910700000.0,1060726000.0
Cash And Cash Equivalents,7378000000.0,6067438000.0,5480557000.0,2013547000.0
