,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Ordinary Shares Number,496261678.0,509295941.0,525330672.0,369484899.0
Share Issued,496261678.0,509295941.0,525330672.0,369484899.0
Net Debt,5990672000.0,5078053000.0,4791911000.0,4089242000.0
Total Debt,7013478000.0,6548625000.0,6769875000.0,5145102000.0
Tangible Book Value,-2659969000.0,-3713217000.0,-4193098000.0,-3930760000.0
Invested Capital,42513855000.0,6548625000.0,6769875000.0,5145102000.0
Working Capital,1183051000.0,2495337000.0,2608005000.0,1152702000.0
Net Tangible Assets,-2659969000.0,-3713217000.0,-4193098000.0,-3930760000.0
Capital Lease Obligations,64745000.0,53628000.0,52576000.0,
Common Stock Equity,35565122000.0,36465323000.0,37992542000.0,11997945000.0
Total Capitalization,41467579000.0,43013948000.0,44245754000.0,17143047000.0
Total Equity Gross Minority Interest,35565122000.0,36465323000.0,37992542000.0,11997945000.0
Stockholders Equity,35565122000.0,36465323000.0,37992542000.0,11997945000.0
Gains Losses Not Affecting Retained Earnings,-188302000.0,-198152000.0,-186565000.0,-249461000.0
Retained Earnings,10356798000.0,8721325000.0,7517316000.0,7236238000.0
Additional Paid In Capital,25313914000.0,27857270000.0,30574237000.0,4949586000.0
Capital Stock,82712000.0,84880000.0,87554000.0,61582000.0
Common Stock,82712000.0,84880000.0,87554000.0,61582000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,13229356000.0,13837027000.0,14329529000.0,9470658000.0
Total Non Current Liabilities Net Minority Interest,10028385000.0,11394372000.0,11559217000.0,8105672000.0
Other Non Current Liabilities,581000000.0,1223209000.0,1367175000.0,1040975000.0
Tradeand Other Payables Non Current,417076000.0,707846000.0,811337000.0,591780000.0
Non Current Deferred Liabilities,3127852000.0,3622538000.0,3938830000.0,1919595000.0
Non Current Deferred Taxes Liabilities,3127852000.0,3622538000.0,3938830000.0,1919595000.0
Long Term Debt And Capital Lease Obligation,5902457000.0,6548625000.0,6253212000.0,5145102000.0
Long Term Debt,5902457000.0,6548625000.0,6253212000.0,5145102000.0
Current Liabilities,3200971000.0,2442655000.0,2770312000.0,1364986000.0
Other Current Liabilities,81602000.0,2442655000.0,2253649000.0,1364986000.0
Current Debt And Capital Lease Obligation,1111021000.0,53628000.0,516663000.0,
Current Capital Lease Obligation,64745000.0,53628000.0,52576000.0,
Current Debt,1046276000.0,,516663000.0,
Other Current Borrowings,499052000.0,,,
Commercial Paper,547224000.0,,,
Current Notes Payable,,0.0,516663000.0,
Pensionand Other Post Retirement Benefit Plans Current,308001000.0,465536000.0,381678000.0,203675000.0
Payables And Accrued Expenses,1700347000.0,1923491000.0,1819395000.0,946725000.0
Current Accrued Expenses,861611000.0,1052671000.0,1043276000.0,537372000.0
Interest Payable,40412000.0,33298000.0,29361000.0,56083000.0
Payables,838736000.0,870820000.0,776119000.0,409353000.0
Total Tax Payable,345695000.0,288660000.0,332685000.0,182080000.0
Income Tax Payable,309046000.0,265845000.0,332685000.0,182080000.0
Accounts Payable,493041000.0,582160000.0,443434000.0,227273000.0
Total Assets,48794478000.0,50302350000.0,52322071000.0,21468603000.0
Total Non Current Assets,44410456000.0,45364358000.0,46943754000.0,18950915000.0
Other Non Current Assets,742936000.0,397341000.0,383938000.0,311856000.0
Non Current Deferred Assets,2223272000.0,2264888000.0,2267269000.0,1503064000.0
Non Current Deferred Taxes Assets,2223272000.0,2264888000.0,2267269000.0,1503064000.0
Investments And Advances,,122285000.0,127856000.0,86729000.0
Other Investments,,122285000.0,127856000.0,86729000.0
Goodwill And Other Intangible Assets,38225091000.0,40178540000.0,42185640000.0,15928705000.0
Other Intangible Assets,11311957000.0,13265406000.0,15267170000.0,3650280000.0
Goodwill,26913134000.0,26913134000.0,26918470000.0,12278425000.0
Net PPE,3219157000.0,2401304000.0,1979051000.0,1120561000.0
Accumulated Depreciation,-3424775000.0,-3148203000.0,-2956246000.0,-2765095000.0
Gross PPE,6643932000.0,5549507000.0,4935297000.0,3885656000.0
Leases,177313000.0,118856000.0,167623000.0,157915000.0
Machinery Furniture Equipment,4751047000.0,3970670000.0,3375310000.0,2753137000.0
Land And Improvements,1715572000.0,1459981000.0,1392364000.0,974604000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,4384022000.0,4937992000.0,5378317000.0,2517688000.0
Other Current Assets,314013000.0,267044000.0,740687000.0,116032000.0
Prepaid Assets,,267044000.0,740687000.0,116032000.0
Inventory,1642214000.0,1399914000.0,1200610000.0,608260000.0
Finished Goods,388253000.0,384358000.0,270344000.0,130764000.0
Work In Process,1125819000.0,904648000.0,858627000.0,443690000.0
Raw Materials,128142000.0,110908000.0,71639000.0,33806000.0
Receivables,1469734000.0,1800462000.0,1459056000.0,737536000.0
Accounts Receivable,1469734000.0,1800462000.0,1459056000.0,737536000.0
Allowance For Doubtful Accounts Receivable,-2763000.0,-4571000.0,-2658000.0,-4350000.0
Gross Accounts Receivable,1472497000.0,1805033000.0,1461714000.0,741886000.0
Cash Cash Equivalents And Short Term Investments,958061000.0,1470572000.0,1977964000.0,1055860000.0
Cash And Cash Equivalents,958061000.0,1470572000.0,1977964000.0,1055860000.0
Cash Equivalents,315980000.0,454545000.0,662997000.0,816253000.0
Cash Financial,642081000.0,1016027000.0,1314967000.0,239607000.0
