,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Treasury Shares Number,226600000.0,222700000.0,215000000.0,208900000.0
Ordinary Shares Number,412100000.0,416100000.0,423700000.0,429900000.0
Share Issued,638700000.0,638800000.0,638700000.0,638800000.0
Net Debt,905500000.0,1550800000.0,409800000.0,96100000.0
Total Debt,3338900000.0,3358000000.0,3328200000.0,2349000000.0
Tangible Book Value,-173900000.0,-408300000.0,2121600000.0,2227000000.0
Invested Capital,6498100000.0,6212400000.0,8655100000.0,7756800000.0
Working Capital,-597000000.0,-353800000.0,2647000000.0,1437500000.0
Net Tangible Assets,-173900000.0,-408300000.0,2121600000.0,2227000000.0
Capital Lease Obligations,349900000.0,370900000.0,343200000.0,344400000.0
Common Stock Equity,3509100000.0,3225300000.0,5670100000.0,5752200000.0
Total Capitalization,6498100000.0,6212400000.0,8655100000.0,6755000000.0
Total Equity Gross Minority Interest,3509100000.0,3225300000.0,5670100000.0,5752200000.0
Stockholders Equity,3509100000.0,3225300000.0,5670100000.0,5752200000.0
Gains Losses Not Affecting Retained Earnings,-2305800000.0,-1993700000.0,10600000.0,-14800000.0
Other Equity Adjustments,-2305800000.0,-1993700000.0,10600000.0,-14800000.0
Treasury Stock,18469300000.0,17335400000.0,15386800000.0,14067000000.0
Retained Earnings,22118000000.0,20696300000.0,19451100000.0,18436300000.0
Additional Paid In Capital,2102300000.0,1794200000.0,1531300000.0,1333800000.0
Capital Stock,63900000.0,63900000.0,63900000.0,63900000.0
Common Stock,63900000.0,63900000.0,63900000.0,63900000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,47461900000.0,59842900000.0,43102400000.0,33413300000.0
Total Non Current Liabilities Net Minority Interest,4694300000.0,4684200000.0,5007600000.0,3286700000.0
Other Non Current Liabilities,933700000.0,924200000.0,834100000.0,837000000.0
Non Current Deferred Liabilities,421700000.0,402000000.0,845300000.0,1102500000.0
Non Current Deferred Revenue,348100000.0,335000000.0,362400000.0,370600000.0
Non Current Deferred Taxes Liabilities,73600000.0,67000000.0,482900000.0,731900000.0
Long Term Debt And Capital Lease Obligation,3338900000.0,3358000000.0,3328200000.0,1347200000.0
Long Term Capital Lease Obligation,349900000.0,370900000.0,343200000.0,344400000.0
Long Term Debt,2989000000.0,2987100000.0,2985000000.0,1002800000.0
Current Liabilities,42767600000.0,55158700000.0,38094800000.0,30126600000.0
Other Current Liabilities,38644000000.0,51421900000.0,34427300000.0,25845200000.0
Current Deferred Liabilities,188600000.0,188200000.0,203900000.0,212500000.0
Current Deferred Revenue,188600000.0,188200000.0,203900000.0,212500000.0
Current Debt And Capital Lease Obligation,,136400000.0,23500000.0,1001800000.0
Current Debt,,136400000.0,23500000.0,1001800000.0
Other Current Borrowings,,136400000.0,23500000.0,1015400000.0
Payables And Accrued Expenses,3935000000.0,3548600000.0,3463600000.0,3067100000.0
Current Accrued Expenses,3284000000.0,2970400000.0,2873500000.0,2537700000.0
Payables,651000000.0,578200000.0,590100000.0,529400000.0
Dividends Payable,510000000.0,429600000.0,390800000.0,387300000.0
Total Tax Payable,44200000.0,38400000.0,58200000.0,40100000.0
Income Tax Payable,44200000.0,38400000.0,58200000.0,40100000.0
Accounts Payable,96800000.0,110200000.0,141100000.0,102000000.0
Total Assets,50971000000.0,63068200000.0,48772500000.0,39165500000.0
Total Non Current Assets,8800400000.0,8263300000.0,8030700000.0,7601400000.0
Other Non Current Assets,1255400000.0,937400000.0,825800000.0,458400000.0
Non Current Deferred Assets,2769700000.0,2579700000.0,2498200000.0,2401600000.0
Non Current Accounts Receivable,8500000.0,9100000.0,11500000.0,18600000.0
Investments And Advances,104600000.0,,,
Investmentin Financial Assets,104600000.0,,,
Available For Sale Securities,104600000.0,,,
Goodwill And Other Intangible Assets,3683000000.0,3633600000.0,3548500000.0,3525200000.0
Other Intangible Assets,1343600000.0,1333100000.0,1210100000.0,1215800000.0
Goodwill,2339400000.0,2300500000.0,2338400000.0,2309400000.0
Net PPE,1083800000.0,1103500000.0,1146700000.0,1197600000.0
Accumulated Depreciation,-1757600000.0,-1629100000.0,-1560000000.0,-1524800000.0
Gross PPE,1083800000.0,1103500000.0,1146700000.0,1197600000.0
Other Properties,1083800000.0,1103500000.0,1146700000.0,1197600000.0
Machinery Furniture Equipment,669300000.0,634300000.0,656000000.0,643600000.0
Properties,682200000.0,675000000.0,686500000.0,737200000.0
Current Assets,42170600000.0,54804900000.0,40741800000.0,31564100000.0
Other Current Assets,743900000.0,628800000.0,533400000.0,506200000.0
Restricted Cash,36333600000.0,49569200000.0,34905800000.0,26708100000.0
Receivables,3009600000.0,3170600000.0,2727400000.0,2441300000.0
Accounts Receivable,3009600000.0,3170600000.0,2727400000.0,2441300000.0
Allowance For Doubtful Accounts Receivable,-53000000.0,-56800000.0,-79600000.0,-92500000.0
Gross Accounts Receivable,3062600000.0,3227400000.0,2807000000.0,2533800000.0
Cash Cash Equivalents And Short Term Investments,2083500000.0,1436300000.0,2575200000.0,1908500000.0
Other Short Term Investments,14700000.0,,,0.0
Cash And Cash Equivalents,2083500000.0,1436300000.0,2575200000.0,1908500000.0
