,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Ordinary Shares Number,215000000.0,218200000.0,219600000.0,219400000.0
Share Issued,215000000.0,218200000.0,219600000.0,219400000.0
Net Debt,334000000.0,1099200000.0,,310100000.0
Total Debt,2666000000.0,3060000000.0,2104600000.0,2544600000.0
Tangible Book Value,-2887000000.0,-3248500000.0,-1829600000.0,-2655000000.0
Invested Capital,3426000000.0,3476700000.0,2602700000.0,1945700000.0
Working Capital,-659000000.0,-1245600000.0,-555500000.0,-559900000.0
Net Tangible Assets,-2887000000.0,-3248500000.0,-1829600000.0,-2655000000.0
Capital Lease Obligations,385000000.0,432400000.0,467400000.0,459800000.0
Common Stock Equity,1145000000.0,849100000.0,965500000.0,-139100000.0
Total Capitalization,3426000000.0,3127000000.0,2602700000.0,1496000000.0
Total Equity Gross Minority Interest,1145000000.0,849100000.0,965500000.0,-139100000.0
Stockholders Equity,1145000000.0,849100000.0,965500000.0,-139100000.0
Gains Losses Not Affecting Retained Earnings,-185000000.0,-124000000.0,-125900000.0,-160300000.0
Other Equity Adjustments,-185000000.0,-124000000.0,-125900000.0,-160300000.0
Retained Earnings,-1995000000.0,-1950000000.0,-1487500000.0,-2295800000.0
Capital Stock,3325000000.0,2923100000.0,2578900000.0,2317000000.0
Common Stock,3325000000.0,2923100000.0,2578900000.0,2317000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,8293000000.0,7757700000.0,6314300000.0,6318400000.0
Total Non Current Liabilities Net Minority Interest,4293000000.0,3748300000.0,3059600000.0,3099200000.0
Other Non Current Liabilities,139000000.0,148900000.0,139800000.0,119800000.0
Tradeand Other Payables Non Current,164000000.0,19800000.0,15900000.0,19100000.0
Non Current Deferred Liabilities,1409000000.0,955900000.0,870700000.0,913500000.0
Non Current Deferred Revenue,1377000000.0,926500000.0,859300000.0,831000000.0
Non Current Deferred Taxes Liabilities,32000000.0,29400000.0,11400000.0,82500000.0
Long Term Debt And Capital Lease Obligation,2581000000.0,2623700000.0,2033200000.0,2046800000.0
Long Term Capital Lease Obligation,300000000.0,345800000.0,396000000.0,411700000.0
Long Term Debt,2281000000.0,2277900000.0,1637200000.0,1635100000.0
Current Liabilities,4000000000.0,4009400000.0,3254700000.0,3219200000.0
Current Deferred Liabilities,3203000000.0,2863300000.0,2500900000.0,2176100000.0
Current Deferred Revenue,3203000000.0,2863300000.0,2500900000.0,2176100000.0
Current Debt And Capital Lease Obligation,85000000.0,436300000.0,71400000.0,497800000.0
Current Capital Lease Obligation,85000000.0,86600000.0,71400000.0,48100000.0
Current Debt,,349700000.0,,449700000.0
Other Current Borrowings,,349700000.0,,449700000.0
Pensionand Other Post Retirement Benefit Plans Current,358000000.0,341300000.0,322600000.0,272100000.0
Payables And Accrued Expenses,354000000.0,368500000.0,359800000.0,273200000.0
Current Accrued Expenses,219000000.0,218000000.0,194700000.0,168300000.0
Payables,135000000.0,150500000.0,165100000.0,104900000.0
Total Tax Payable,33000000.0,29700000.0,42600000.0,21200000.0
Income Tax Payable,33000000.0,29700000.0,42600000.0,21200000.0
Accounts Payable,102000000.0,120800000.0,122500000.0,83700000.0
Total Assets,9438000000.0,8606800000.0,7279800000.0,6179300000.0
Total Non Current Assets,6097000000.0,5843000000.0,4580600000.0,3520000000.0
Other Non Current Assets,560000000.0,492300000.0,412900000.0,347200000.0
Non Current Deferred Assets,1014000000.0,740700000.0,763100000.0,56400000.0
Non Current Deferred Taxes Assets,1014000000.0,740700000.0,763100000.0,56400000.0
Investments And Advances,102000000.0,45400000.0,,0.0
Other Investments,102000000.0,45400000.0,,0.0
Investmentin Financial Assets,102000000.0,45400000.0,,0.0
Available For Sale Securities,102000000.0,45400000.0,,
Goodwill And Other Intangible Assets,4032000000.0,4097600000.0,2795100000.0,2515900000.0
Other Intangible Assets,407000000.0,493800000.0,88600000.0,70900000.0
Goodwill,3625000000.0,3603800000.0,2706500000.0,2445000000.0
Net PPE,389000000.0,467000000.0,609500000.0,600500000.0
Accumulated Depreciation,-488000000.0,-473600000.0,-442700000.0,-415000000.0
Gross PPE,389000000.0,467000000.0,609500000.0,600500000.0
Other Properties,245000000.0,304500000.0,416700000.0,438800000.0
Machinery Furniture Equipment,144000000.0,162500000.0,192800000.0,161700000.0
Properties,363000000.0,350500000.0,335900000.0,284000000.0
Current Assets,3341000000.0,2763800000.0,2699200000.0,2659300000.0
Other Current Assets,308000000.0,283600000.0,198900000.0,163300000.0
Prepaid Assets,,283600000.0,198900000.0,163300000.0
Receivables,961000000.0,716100000.0,643100000.0,652300000.0
Accounts Receivable,961000000.0,716100000.0,643100000.0,652300000.0
Allowance For Doubtful Accounts Receivable,-85000000.0,-63700000.0,-58200000.0,-63800000.0
Gross Accounts Receivable,1046000000.0,779800000.0,701300000.0,716100000.0
Cash Cash Equivalents And Short Term Investments,2072000000.0,1764100000.0,1857200000.0,1843700000.0
Other Short Term Investments,125000000.0,235700000.0,85000000.0,69000000.0
Cash And Cash Equivalents,1947000000.0,1528400000.0,1772200000.0,1774700000.0
