,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,11233240.0,20204160.0,20204160.0,20204160.0
Ordinary Shares Number,513866081.0,504212015.0,496604194.0,494169471.0
Share Issued,525099321.0,524416175.0,516808354.0,514373631.0
Net Debt,39225400000.0,35665100000.0,33159100000.0,29317000000.0
Total Debt,40400300000.0,36658900000.0,34431500000.0,30532500000.0
Tangible Book Value,23840900000.0,22380700000.0,20498400000.0,19579700000.0
Invested Capital,63628200000.0,58501700000.0,54102700000.0,49196000000.0
Working Capital,-5148700000.0,-4617500000.0,-5575200000.0,-6221300000.0
Net Tangible Assets,23840900000.0,22380700000.0,20498400000.0,19579700000.0
Capital Lease Obligations,665500000.0,590400000.0,879700000.0,968700000.0
Common Stock Equity,23893400000.0,22433200000.0,20550900000.0,19632200000.0
Total Capitalization,57519600000.0,53733900000.0,49537300000.0,44759000000.0
Total Equity Gross Minority Interest,24122400000.0,22680200000.0,20774500000.0,19913200000.0
Minority Interest,229000000.0,247000000.0,223600000.0,281000000.0
Stockholders Equity,23893400000.0,22433200000.0,20550900000.0,19632200000.0
Gains Losses Not Affecting Retained Earnings,83700000.0,184800000.0,-85100000.0,-147700000.0
Other Equity Adjustments,83700000.0,184800000.0,-85100000.0,-147700000.0
Retained Earnings,12345600000.0,11667100000.0,10687800000.0,9900900000.0
Additional Paid In Capital,8051000000.0,7172600000.0,6588900000.0,6535600000.0
Capital Stock,3413100000.0,3408700000.0,3359300000.0,3343400000.0
Common Stock,3413100000.0,3408700000.0,3359300000.0,3343400000.0
Total Liabilities Net Minority Interest,93403300000.0,64988500000.0,59982700000.0,55979100000.0
Total Non Current Liabilities Net Minority Interest,54779600000.0,52561800000.0,50056000000.0,45680000000.0
Other Non Current Liabilities,599100000.0,,,
Preferred Securities Outside Stock Equity,45900000.0,43300000.0,45200000.0,108600000.0
Derivative Product Liabilities,345300000.0,230300000.0,232800000.0,261800000.0
Employee Benefits,257300000.0,328400000.0,336400000.0,466000000.0
Non Current Pension And Other Postretirement Benefit Plans,257300000.0,328400000.0,336400000.0,466000000.0
Non Current Deferred Liabilities,8493300000.0,8803800000.0,8968900000.0,8308000000.0
Non Current Deferred Taxes Liabilities,8493300000.0,8202500000.0,8240900000.0,7588200000.0
Long Term Debt And Capital Lease Obligation,34178300000.0,31793500000.0,29624800000.0,25861400000.0
Long Term Capital Lease Obligation,552100000.0,492800000.0,638400000.0,734600000.0
Long Term Debt,33626200000.0,31300700000.0,28986400000.0,25126800000.0
Long Term Provisions,2860800000.0,2676200000.0,2469200000.0,2216600000.0
Current Liabilities,14567400000.0,12426700000.0,9926700000.0,10299100000.0
Other Current Liabilities,3362000000.0,3325500000.0,1330700000.0,1574700000.0
Current Deferred Liabilities,370000000.0,321600000.0,335600000.0,366100000.0
Current Deferred Revenue,370000000.0,321600000.0,335600000.0,366100000.0
Current Debt And Capital Lease Obligation,6222000000.0,4865400000.0,4806700000.0,4671100000.0
Current Capital Lease Obligation,113400000.0,97600000.0,241300000.0,234100000.0
Current Debt,6108600000.0,4767800000.0,4565400000.0,4437000000.0
Other Current Borrowings,3246400000.0,4767800000.0,4565400000.0,4437000000.0
Line Of Credit,,,592000000.0,710000000.0
Commercial Paper,2862200000.0,,,
Payables And Accrued Expenses,4613400000.0,3914200000.0,3453700000.0,3687200000.0
Current Accrued Expenses,327600000.0,273200000.0,267600000.0,243600000.0
Interest Payable,327600000.0,273200000.0,267600000.0,243600000.0
Payables,4285800000.0,3641000000.0,3186100000.0,3443600000.0
Total Tax Payable,1672800000.0,1586400000.0,1476400000.0,1357800000.0
Accounts Payable,2613000000.0,2054600000.0,1709700000.0,2085800000.0
Total Assets,93403300000.0,87668700000.0,80757200000.0,75892300000.0
Total Non Current Assets,86627800000.0,79859500000.0,76405700000.0,71814500000.0
Other Non Current Assets,3717800000.0,,,
Non Current Deferred Assets,3757400000.0,4398300000.0,3852300000.0,3407300000.0
Financial Assets,284100000.0,267000000.0,242200000.0,266600000.0
Investments And Advances,3787200000.0,4419800000.0,3963700000.0,3833800000.0
Other Investments,3341200000.0,3867000000.0,3306700000.0,2975700000.0
Investmentin Financial Assets,446000000.0,552800000.0,657000000.0,858100000.0
Held To Maturity Securities,,,657000000.0,858100000.0
Goodwill And Other Intangible Assets,52500000.0,52500000.0,52500000.0,52500000.0
Goodwill,52500000.0,52500000.0,52500000.0,52500000.0
Net PPE,73984600000.0,66579600000.0,64768000000.0,61095500000.0
Accumulated Depreciation,-23682300000.0,-20805100000.0,-20411400000.0,-19007600000.0
Gross PPE,97666900000.0,87384700000.0,85179400000.0,80103100000.0
Construction In Progress,4809700000.0,3684300000.0,4025700000.0,4319800000.0
Other Properties,6617300000.0,6261200000.0,6161000000.0,5768900000.0
Current Assets,6775500000.0,7809200000.0,4351500000.0,4077800000.0
Other Current Assets,1482100000.0,647800000.0,90700000.0,92900000.0
Hedging Assets Current,348800000.0,194400000.0,94700000.0,172800000.0
Assets Held For Sale Current,2823500000.0,2919700000.0,,
Restricted Cash,130000000.0,241400000.0,107600000.0,246200000.0
Prepaid Assets,,129800000.0,127000000.0,242100000.0
Inventory,1350200000.0,989200000.0,1310000000.0,1169200000.0
Receivables,2767400000.0,2063100000.0,2028000000.0,1705100000.0
Receivables Adjustments Allowances,-57100000.0,-55600000.0,-71100000.0,-43700000.0
Other Receivables,1257100000.0,1071900000.0,1051500000.0,901100000.0
Taxes Receivable,99400000.0,121500000.0,185300000.0,
Accounts Receivable,1145100000.0,720900000.0,613600000.0,625300000.0
Cash Cash Equivalents And Short Term Investments,697000000.0,623800000.0,593500000.0,449500000.0
Other Short Term Investments,187600000.0,220400000.0,200800000.0,202700000.0
Cash And Cash Equivalents,509400000.0,403400000.0,392700000.0,246800000.0
