,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,77267000.0,78710000.0,78860000.0,78433000.0
Share Issued,77267000.0,78710000.0,78860000.0,78433000.0
Total Debt,100334000.0,102656000.0,64445000.0,43463000.0
Tangible Book Value,3098087000.0,3094458000.0,2658976000.0,1270477000.0
Invested Capital,3601358000.0,3622714000.0,3233865000.0,1346169000.0
Working Capital,498504000.0,570004000.0,523937000.0,662449000.0
Net Tangible Assets,3098087000.0,3094458000.0,2658976000.0,1270477000.0
Capital Lease Obligations,100334000.0,102656000.0,64445000.0,43463000.0
Common Stock Equity,3601358000.0,3622714000.0,3233865000.0,1346169000.0
Total Capitalization,3601358000.0,3622714000.0,3233865000.0,1346169000.0
Total Equity Gross Minority Interest,3601358000.0,3622714000.0,3233865000.0,1346169000.0
Stockholders Equity,3601358000.0,3622714000.0,3233865000.0,1346169000.0
Gains Losses Not Affecting Retained Earnings,-10284000.0,4326000.0,43501000.0,-688000.0
Other Equity Adjustments,-10284000.0,4326000.0,43501000.0,-688000.0
Retained Earnings,2566688000.0,2619374000.0,2215800000.0,439912000.0
Additional Paid In Capital,1044946000.0,999006000.0,974556000.0,906937000.0
Capital Stock,8000.0,8000.0,8000.0,8000.0
Common Stock,8000.0,8000.0,8000.0,8000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,2346589000.0,2319396000.0,1595818000.0,1154533000.0
Total Non Current Liabilities Net Minority Interest,420702000.0,395325000.0,270217000.0,183563000.0
Other Non Current Liabilities,195975000.0,174597000.0,100024000.0,37306000.0
Tradeand Other Payables Non Current,124393000.0,118072000.0,105748000.0,102794000.0
Long Term Debt And Capital Lease Obligation,100334000.0,102656000.0,64445000.0,43463000.0
Long Term Capital Lease Obligation,100334000.0,102656000.0,64445000.0,43463000.0
Current Liabilities,1925887000.0,1924071000.0,1325601000.0,970970000.0
Current Deferred Liabilities,1343643000.0,1152870000.0,777887000.0,563762000.0
Current Deferred Revenue,1343643000.0,1152870000.0,777887000.0,563762000.0
Current Debt And Capital Lease Obligation,26574000.0,22719000.0,21735000.0,15737000.0
Current Capital Lease Obligation,26574000.0,22719000.0,21735000.0,15737000.0
Payables And Accrued Expenses,582244000.0,771201000.0,547714000.0,407208000.0
Current Accrued Expenses,454374000.0,607315000.0,405582000.0,319958000.0
Payables,127870000.0,163886000.0,142132000.0,87250000.0
Total Tax Payable,74323000.0,33838000.0,30130000.0,14130000.0
Income Tax Payable,74323000.0,33838000.0,30130000.0,14130000.0
Accounts Payable,127870000.0,163886000.0,142132000.0,87250000.0
Total Assets,5947947000.0,5942110000.0,4829683000.0,2500702000.0
Total Non Current Assets,3523556000.0,3448035000.0,2980145000.0,867283000.0
Other Non Current Assets,55826000.0,57509000.0,35151000.0,39610000.0
Non Current Deferred Assets,1571746000.0,1533767000.0,1552831000.0,64007000.0
Non Current Deferred Taxes Assets,1571746000.0,1533767000.0,1552831000.0,64007000.0
Investments And Advances,41978000.0,125320000.0,,0.0
Investmentin Financial Assets,41978000.0,125320000.0,,0.0
Available For Sale Securities,41978000.0,125320000.0,,
Long Term Equity Investment,,,,0.0
Goodwill And Other Intangible Assets,503271000.0,528256000.0,574889000.0,75692000.0
Other Intangible Assets,95720000.0,109709000.0,130072000.0,11768000.0
Goodwill,407551000.0,418547000.0,444817000.0,63924000.0
Net PPE,1350735000.0,1203183000.0,817274000.0,687974000.0
Accumulated Depreciation,-449726000.0,-359101000.0,-301252000.0,-229516000.0
Gross PPE,1350735000.0,1203183000.0,817274000.0,687974000.0
Leases,64238000.0,61289000.0,63541000.0,53327000.0
Construction In Progress,285202000.0,367686000.0,163492000.0,116751000.0
Other Properties,1350735000.0,1203183000.0,817274000.0,687974000.0
Machinery Furniture Equipment,223477000.0,189963000.0,158099000.0,145294000.0
Buildings And Improvements,466003000.0,310344000.0,244166000.0,209643000.0
Land And Improvements,58885000.0,58869000.0,34598000.0,26422000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,2424391000.0,2494075000.0,1849538000.0,1633419000.0
Other Current Assets,226370000.0,195305000.0,91754000.0,102450000.0
Prepaid Assets,69124000.0,195305000.0,91754000.0,102450000.0
Inventory,338752000.0,230230000.0,139237000.0,112051000.0
Finished Goods,69436000.0,55290000.0,31440000.0,26130000.0
Work In Process,96558000.0,51706000.0,31393000.0,30974000.0
Raw Materials,172758000.0,123234000.0,76404000.0,54947000.0
Receivables,859685000.0,897198000.0,657704000.0,550291000.0
Other Receivables,,,,4428000.0
Taxes Receivable,140484000.0,,45243000.0,41252000.0
Notes Receivable,,,5408000.0,25005000.0
Accounts Receivable,859685000.0,897198000.0,657704000.0,550291000.0
Allowance For Doubtful Accounts Receivable,-10343000.0,-9245000.0,-10239000.0,-6756000.0
Gross Accounts Receivable,870028000.0,906443000.0,667943000.0,557047000.0
Cash Cash Equivalents And Short Term Investments,999584000.0,1171342000.0,960843000.0,868627000.0
Other Short Term Investments,57534000.0,71972000.0,0.0,318202000.0
Cash And Cash Equivalents,942050000.0,1099370000.0,960843000.0,550425000.0
Cash Equivalents,229129000.0,,,
Cash Financial,712921000.0,,,
