,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Treasury Shares Number,,1173000000.0,1119000000.0,1091000000.0
Ordinary Shares Number,836533852.0,844000000.0,892000000.0,914000000.0
Share Issued,836533852.0,2017000000.0,2011000000.0,2005000000.0
Net Debt,,3462000000.0,457000000.0,97000000.0
Total Debt,5561000000.0,5457000000.0,5452000000.0,5448000000.0
Tangible Book Value,12323000000.0,8155000000.0,8664000000.0,6959000000.0
Invested Capital,5561000000.0,5457000000.0,5452000000.0,5448000000.0
Working Capital,11775000000.0,8546000000.0,9763000000.0,8910000000.0
Net Tangible Assets,12323000000.0,8155000000.0,8664000000.0,6959000000.0
Capital Lease Obligations,,372000000.0,301000000.0,259000000.0
Common Stock Equity,16349000000.0,12194000000.0,12247000000.0,10578000000.0
Total Capitalization,21810000000.0,17651000000.0,17699000000.0,16026000000.0
Total Equity Gross Minority Interest,16349000000.0,12194000000.0,12247000000.0,10578000000.0
Stockholders Equity,16349000000.0,12194000000.0,12247000000.0,10578000000.0
Gains Losses Not Affecting Retained Earnings,,-202000000.0,-260000000.0,-299000000.0
Other Equity Adjustments,,-202000000.0,-260000000.0,-299000000.0
Treasury Stock,,34097000000.0,27995000000.0,24245000000.0
Retained Earnings,,37892000000.0,32246000000.0,27209000000.0
Additional Paid In Capital,,8593000000.0,8247000000.0,7904000000.0
Capital Stock,,8000000.0,9000000.0,9000000.0
Common Stock,,8000000.0,9000000.0,9000000.0
Preferred Stock,,0.0,0.0,0.0
Total Liabilities Net Minority Interest,14380000000.0,14532000000.0,13578000000.0,11775000000.0
Total Non Current Liabilities Net Minority Interest,7008000000.0,7153000000.0,7234000000.0,7316000000.0
Other Non Current Liabilities,714000000.0,732000000.0,692000000.0,662000000.0
Employee Benefits,,107000000.0,193000000.0,241000000.0
Non Current Pension And Other Postretirement Benefit Plans,,107000000.0,193000000.0,241000000.0
Tradeand Other Payables Non Current,833000000.0,964000000.0,1090000000.0,1206000000.0
Long Term Debt And Capital Lease Obligation,5461000000.0,5457000000.0,5452000000.0,5448000000.0
Long Term Capital Lease Obligation,,287000000.0,228000000.0,195000000.0
Long Term Debt,5461000000.0,5457000000.0,5452000000.0,5448000000.0
Current Liabilities,7372000000.0,7379000000.0,6344000000.0,4459000000.0
Current Deferred Liabilities,2975000000.0,3142000000.0,2076000000.0,1321000000.0
Current Deferred Revenue,2975000000.0,3142000000.0,2076000000.0,1321000000.0
Current Debt And Capital Lease Obligation,100000000.0,85000000.0,73000000.0,64000000.0
Current Capital Lease Obligation,,85000000.0,73000000.0,64000000.0
Current Debt,100000000.0,,,
Pensionand Other Post Retirement Benefit Plans Current,,905000000.0,924000000.0,800000000.0
Current Provisions,,,242000000.0,201000000.0
Payables And Accrued Expenses,4297000000.0,4237000000.0,4268000000.0,3138000000.0
Current Accrued Expenses,,923000000.0,827000000.0,694000000.0
Interest Payable,,39000000.0,39000000.0,36000000.0
Payables,,2324000000.0,2444000000.0,1580000000.0
Dividends Payable,,220000000.0,214000000.0,201000000.0
Total Tax Payable,,349000000.0,758000000.0,255000000.0
Income Tax Payable,,319000000.0,734000000.0,222000000.0
Accounts Payable,,1755000000.0,1472000000.0,1124000000.0
Total Assets,30729000000.0,26726000000.0,25825000000.0,22353000000.0
Total Non Current Assets,11582000000.0,10801000000.0,9718000000.0,8984000000.0
Other Non Current Assets,2552000000.0,,,
Non Current Deferred Assets,,2475000000.0,2146000000.0,2223000000.0
Non Current Deferred Taxes Assets,,2475000000.0,2146000000.0,2223000000.0
Non Current Accounts Receivable,,691000000.0,229000000.0,260000000.0
Investments And Advances,2281000000.0,1980000000.0,2055000000.0,1538000000.0
Investmentin Financial Assets,,1980000000.0,2055000000.0,1538000000.0
Available For Sale Securities,,1980000000.0,2055000000.0,1538000000.0
Goodwill And Other Intangible Assets,4026000000.0,4039000000.0,3583000000.0,3619000000.0
Other Intangible Assets,294000000.0,339000000.0,104000000.0,153000000.0
Goodwill,3732000000.0,3700000000.0,3479000000.0,3466000000.0
Net PPE,2723000000.0,2307000000.0,1934000000.0,1604000000.0
Accumulated Depreciation,,-3322000000.0,-3046000000.0,-2776000000.0
Gross PPE,,6018000000.0,5274000000.0,4632000000.0
Construction In Progress,,389000000.0,326000000.0,237000000.0
Other Properties,,2472000000.0,2114000000.0,1838000000.0
Machinery Furniture Equipment,,743000000.0,720000000.0,646000000.0
Buildings And Improvements,,2027000000.0,1780000000.0,1655000000.0
Land And Improvements,,387000000.0,334000000.0,256000000.0
Properties,,0.0,0.0,0.0
Current Assets,19147000000.0,15925000000.0,16107000000.0,13369000000.0
Other Current Assets,1388000000.0,1344000000.0,1386000000.0,764000000.0
Prepaid Assets,,1344000000.0,1386000000.0,764000000.0
Inventory,5725000000.0,5932000000.0,4309000000.0,3904000000.0
Finished Goods,,1687000000.0,1049000000.0,1140000000.0
Work In Process,,1029000000.0,873000000.0,624000000.0
Raw Materials,,3216000000.0,2387000000.0,2140000000.0
Receivables,5165000000.0,6068000000.0,4953000000.0,2963000000.0
Taxes Receivable,,461000000.0,593000000.0,162000000.0
Accounts Receivable,5165000000.0,6068000000.0,4953000000.0,2963000000.0
Allowance For Doubtful Accounts Receivable,,-29000000.0,-29000000.0,-30000000.0
Gross Accounts Receivable,,6097000000.0,4982000000.0,2993000000.0
Cash Cash Equivalents And Short Term Investments,6869000000.0,2581000000.0,5459000000.0,5738000000.0
Other Short Term Investments,737000000.0,586000000.0,464000000.0,387000000.0
Cash And Cash Equivalents,6132000000.0,1995000000.0,4995000000.0,5351000000.0
Cash Equivalents,,796000000.0,3588000000.0,4215000000.0
Cash Financial,,1199000000.0,1407000000.0,1136000000.0
