,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,33000000.0,25000000.0,6000000.0,5000000.0
Ordinary Shares Number,1612000000.0,1207000000.0,1211000000.0,1170000000.0
Share Issued,1645000000.0,1232000000.0,1217000000.0,1175000000.0
Total Debt,2863000000.0,661000000.0,531000000.0,685000000.0
Tangible Book Value,6455000000.0,7208000000.0,5548000000.0,2538000000.0
Invested Capital,57217000000.0,7810000000.0,6167000000.0,3313000000.0
Working Capital,8650000000.0,4343000000.0,3726000000.0,2238000000.0
Net Tangible Assets,6455000000.0,7208000000.0,5548000000.0,2538000000.0
Capital Lease Obligations,396000000.0,348000000.0,201000000.0,199000000.0
Common Stock Equity,54750000000.0,7497000000.0,5837000000.0,2827000000.0
Total Capitalization,57217000000.0,7498000000.0,6167000000.0,3313000000.0
Total Equity Gross Minority Interest,54750000000.0,7497000000.0,5837000000.0,2827000000.0
Stockholders Equity,54750000000.0,7497000000.0,5837000000.0,2827000000.0
Gains Losses Not Affecting Retained Earnings,-41000000.0,-3000000.0,17000000.0,0.0
Other Equity Adjustments,-41000000.0,-3000000.0,17000000.0,
Treasury Stock,3099000000.0,2130000000.0,131000000.0,53000000.0
Retained Earnings,-131000000.0,-1451000000.0,-4605000000.0,-7095000000.0
Additional Paid In Capital,58005000000.0,11069000000.0,10544000000.0,9963000000.0
Capital Stock,16000000.0,12000000.0,12000000.0,12000000.0
Common Stock,16000000.0,12000000.0,12000000.0,12000000.0
Total Liabilities Net Minority Interest,12830000000.0,4922000000.0,3125000000.0,3201000000.0
Total Non Current Liabilities Net Minority Interest,6461000000.0,682000000.0,708000000.0,842000000.0
Other Non Current Liabilities,1664000000.0,333000000.0,177000000.0,157000000.0
Non Current Deferred Liabilities,1934000000.0,,,
Non Current Deferred Taxes Liabilities,1934000000.0,,,
Long Term Debt And Capital Lease Obligation,2863000000.0,349000000.0,531000000.0,685000000.0
Long Term Capital Lease Obligation,396000000.0,348000000.0,201000000.0,199000000.0
Long Term Debt,2467000000.0,1000000.0,330000000.0,486000000.0
Current Liabilities,6369000000.0,4240000000.0,2417000000.0,2359000000.0
Other Current Liabilities,336000000.0,98000000.0,75000000.0,74000000.0
Current Deferred Liabilities,859000000.0,,,2000000.0
Current Deferred Revenue,859000000.0,,,2000000.0
Current Debt And Capital Lease Obligation,,312000000.0,,43000000.0
Current Capital Lease Obligation,,,,43000000.0
Current Debt,,312000000.0,,
Other Current Borrowings,,312000000.0,,
Pensionand Other Post Retirement Benefit Plans Current,701000000.0,705000000.0,513000000.0,285000000.0
Payables And Accrued Expenses,6033000000.0,3830000000.0,2342000000.0,2285000000.0
Current Accrued Expenses,3077000000.0,2424000000.0,1796000000.0,1084000000.0
Payables,2956000000.0,1406000000.0,546000000.0,1201000000.0
Dueto Related Parties Current,463000000.0,85000000.0,78000000.0,213000000.0
Accounts Payable,2493000000.0,1321000000.0,468000000.0,988000000.0
Total Assets,67580000000.0,12419000000.0,8962000000.0,6028000000.0
Total Non Current Assets,52561000000.0,3836000000.0,2819000000.0,1431000000.0
Other Non Current Assets,2152000000.0,1478000000.0,373000000.0,379000000.0
Non Current Prepaid Assets,1252000000.0,916000000.0,,
Non Current Deferred Assets,58000000.0,931000000.0,1245000000.0,
Non Current Deferred Taxes Assets,58000000.0,931000000.0,1245000000.0,
Investments And Advances,83000000.0,69000000.0,63000000.0,58000000.0
Long Term Equity Investment,83000000.0,69000000.0,63000000.0,58000000.0
Goodwill And Other Intangible Assets,48295000000.0,289000000.0,289000000.0,289000000.0
Other Intangible Assets,24118000000.0,328000000.0,229000000.0,210000000.0
Goodwill,24177000000.0,289000000.0,289000000.0,289000000.0
Net PPE,1973000000.0,1069000000.0,849000000.0,705000000.0
Accumulated Depreciation,-1507000000.0,-1134000000.0,-912000000.0,-768000000.0
Gross PPE,1973000000.0,1069000000.0,849000000.0,705000000.0
Leases,,206000000.0,208000000.0,203000000.0
Construction In Progress,143000000.0,96000000.0,136000000.0,114000000.0
Other Properties,1973000000.0,1069000000.0,849000000.0,705000000.0
Machinery Furniture Equipment,2163000000.0,1534000000.0,1209000000.0,951000000.0
Buildings And Improvements,594000000.0,206000000.0,208000000.0,203000000.0
Land And Improvements,120000000.0,,,
Properties,0.0,0.0,0.0,0.0
Current Assets,15019000000.0,8583000000.0,6143000000.0,4597000000.0
Other Current Assets,1265000000.0,312000000.0,378000000.0,233000000.0
Prepaid Assets,1265000000.0,312000000.0,378000000.0,20000000.0
Inventory,3771000000.0,1955000000.0,1399000000.0,982000000.0
Finished Goods,892000000.0,197000000.0,167000000.0,197000000.0
Work In Process,2648000000.0,1676000000.0,1139000000.0,691000000.0
Raw Materials,231000000.0,82000000.0,93000000.0,94000000.0
Receivables,4128000000.0,2708000000.0,2076000000.0,1859000000.0
Duefrom Related Parties Current,2000000.0,2000000.0,10000000.0,
Accounts Receivable,4126000000.0,2706000000.0,2066000000.0,1859000000.0
Cash Cash Equivalents And Short Term Investments,5855000000.0,3608000000.0,2290000000.0,1503000000.0
Other Short Term Investments,1020000000.0,1073000000.0,695000000.0,37000000.0
Cash And Cash Equivalents,4835000000.0,2535000000.0,1595000000.0,1466000000.0
Cash Equivalents,,,,1000000.0
Cash Financial,,,,1465000000.0
