,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,534000000.0,558300000.0,578300000.0,591400000.0
Share Issued,534000000.0,558300000.0,578300000.0,591400000.0
Net Debt,38945000000.0,33309000000.0,32986000000.0,29903000000.0
Total Debt,38945000000.0,33309000000.0,32986000000.0,29903000000.0
Tangible Book Value,-27948000000.0,-23372000000.0,-21867000000.0,-24443000000.0
Invested Capital,38945000000.0,33309000000.0,32986000000.0,29903000000.0
Working Capital,6499000000.0,7201000000.0,9491000000.0,5605000000.0
Net Tangible Assets,-27948000000.0,-23372000000.0,-21867000000.0,-24443000000.0
Common Stock Equity,3661000000.0,6700000000.0,9409000000.0,9673000000.0
Total Capitalization,41015000000.0,39922000000.0,42304000000.0,36623000000.0
Total Equity Gross Minority Interest,3661000000.0,6700000000.0,9409000000.0,9673000000.0
Stockholders Equity,3661000000.0,6700000000.0,9409000000.0,9673000000.0
Gains Losses Not Affecting Retained Earnings,-231000000.0,-796000000.0,-985000000.0,-528000000.0
Other Equity Adjustments,117000000.0,-796000000.0,-985000000.0,-528000000.0
Foreign Currency Translation Adjustments,-348000000.0,,,
Unrealized Gain Loss,0.0,,,
Retained Earnings,-28622000000.0,-24600000000.0,-21408000000.0,-21330000000.0
Capital Stock,32514000000.0,32096000000.0,31802000000.0,31531000000.0
Common Stock,32514000000.0,32096000000.0,31802000000.0,31531000000.0
Total Liabilities Net Minority Interest,61460000000.0,54465000000.0,53539000000.0,50034000000.0
Total Non Current Liabilities Net Minority Interest,45773000000.0,42281000000.0,41886000000.0,37199000000.0
Other Non Current Liabilities,2662000000.0,2465000000.0,2023000000.0,1606000000.0
Tradeand Other Payables Non Current,5757000000.0,6594000000.0,6968000000.0,8037000000.0
Non Current Deferred Liabilities,,,,606000000.0
Non Current Deferred Taxes Liabilities,,,,606000000.0
Long Term Debt And Capital Lease Obligation,37354000000.0,33222000000.0,32895000000.0,26950000000.0
Long Term Debt,37354000000.0,33222000000.0,32895000000.0,26950000000.0
Current Liabilities,15687000000.0,12184000000.0,11653000000.0,12835000000.0
Current Debt And Capital Lease Obligation,1591000000.0,87000000.0,91000000.0,2953000000.0
Current Debt,1591000000.0,87000000.0,91000000.0,2953000000.0
Pensionand Other Post Retirement Benefit Plans Current,1099000000.0,1081000000.0,1098000000.0,981000000.0
Current Provisions,548000000.0,542000000.0,474000000.0,564000000.0
Payables And Accrued Expenses,14096000000.0,12097000000.0,11562000000.0,9882000000.0
Current Accrued Expenses,8545000000.0,7324000000.0,6723000000.0,6020000000.0
Payables,3904000000.0,3150000000.0,3267000000.0,2317000000.0
Dividends Payable,1137000000.0,1083000000.0,1018000000.0,946000000.0
Total Tax Payable,1195000000.0,701000000.0,828000000.0,
Income Tax Payable,1195000000.0,701000000.0,828000000.0,
Accounts Payable,1572000000.0,1366000000.0,1421000000.0,1371000000.0
Total Assets,65121000000.0,61165000000.0,62948000000.0,59707000000.0
Total Non Current Assets,42935000000.0,41780000000.0,41804000000.0,41267000000.0
Other Non Current Assets,5899000000.0,6524000000.0,5639000000.0,2223000000.0
Goodwill And Other Intangible Assets,31609000000.0,30072000000.0,31276000000.0,34116000000.0
Other Intangible Assets,16080000000.0,15182000000.0,16587000000.0,19413000000.0
Goodwill,15529000000.0,14890000000.0,14689000000.0,14703000000.0
Net PPE,5427000000.0,5184000000.0,4889000000.0,4928000000.0
Accumulated Depreciation,-9283000000.0,-8798000000.0,-8977000000.0,-8357000000.0
Gross PPE,14710000000.0,13982000000.0,13866000000.0,13285000000.0
Construction In Progress,1213000000.0,987000000.0,915000000.0,907000000.0
Other Properties,4684000000.0,4457000000.0,4754000000.0,4549000000.0
Machinery Furniture Equipment,4320000000.0,4231000000.0,4081000000.0,3809000000.0
Buildings And Improvements,4201000000.0,4028000000.0,3857000000.0,3757000000.0
Land And Improvements,292000000.0,279000000.0,259000000.0,263000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,22186000000.0,19385000000.0,21144000000.0,18440000000.0
Other Current Assets,2388000000.0,2367000000.0,2079000000.0,1888000000.0
Prepaid Assets,1204000000.0,,,
Inventory,4930000000.0,4086000000.0,3893000000.0,3584000000.0
Finished Goods,1004000000.0,1072000000.0,970000000.0,999000000.0
Work In Process,3098000000.0,2367000000.0,2437000000.0,2227000000.0
Raw Materials,828000000.0,647000000.0,486000000.0,358000000.0
Receivables,5563000000.0,4895000000.0,4525000000.0,4057000000.0
Duefrom Related Parties Current,700000000.0,,,
Taxes Receivable,129000000.0,,,
Accounts Receivable,5563000000.0,4895000000.0,4525000000.0,4057000000.0
Cash Cash Equivalents And Short Term Investments,9305000000.0,8037000000.0,10647000000.0,8911000000.0
Other Short Term Investments,1676000000.0,48000000.0,4381000000.0,2874000000.0
Cash And Cash Equivalents,7629000000.0,7989000000.0,6266000000.0,6037000000.0
