,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,515000000.0,460000000.0,480000000.0,460000000.0
Ordinary Shares Number,10242000000.0,10180000000.0,10060000000.0,9960000000.0
Share Issued,10757000000.0,10640000000.0,10540000000.0,10420000000.0
Net Debt,13262000000.0,12524000000.0,,
Total Debt,140118000000.0,116395000000.0,84389000000.0,63205000000.0
Tangible Book Value,125755000000.0,122874000000.0,78387000000.0,47306000000.0
Invested Capital,213193000000.0,186989000000.0,125220000000.0,85474000000.0
Working Capital,-8602000000.0,19314000000.0,6348000000.0,8522000000.0
Net Tangible Assets,125755000000.0,122874000000.0,78387000000.0,47306000000.0
Capital Lease Obligations,72968000000.0,67651000000.0,52573000000.0,39791000000.0
Common Stock Equity,146043000000.0,138245000000.0,93404000000.0,62060000000.0
Total Capitalization,213193000000.0,186989000000.0,125220000000.0,85474000000.0
Total Equity Gross Minority Interest,146043000000.0,138245000000.0,93404000000.0,62060000000.0
Stockholders Equity,146043000000.0,138245000000.0,93404000000.0,62060000000.0
Gains Losses Not Affecting Retained Earnings,-4487000000.0,-1376000000.0,-180000000.0,-986000000.0
Treasury Stock,7837000000.0,1837000000.0,1837000000.0,1837000000.0
Retained Earnings,83193000000.0,85915000000.0,52551000000.0,31220000000.0
Additional Paid In Capital,75066000000.0,55538000000.0,42865000000.0,33658000000.0
Capital Stock,108000000.0,5000000.0,5000000.0,5000000.0
Common Stock,108000000.0,5000000.0,5000000.0,5000000.0
Preferred Stock,0.0,,0.0,0.0
Total Liabilities Net Minority Interest,316632000000.0,282304000000.0,227791000000.0,163188000000.0
Total Non Current Liabilities Net Minority Interest,161239000000.0,140038000000.0,101406000000.0,75376000000.0
Other Non Current Liabilities,21121000000.0,23643000000.0,17017000000.0,12171000000.0
Long Term Debt And Capital Lease Obligation,140118000000.0,116395000000.0,84389000000.0,63205000000.0
Long Term Capital Lease Obligation,72968000000.0,67651000000.0,52573000000.0,39791000000.0
Long Term Debt,67150000000.0,48744000000.0,31816000000.0,23414000000.0
Current Liabilities,155393000000.0,142266000000.0,126385000000.0,87812000000.0
Current Deferred Liabilities,13227000000.0,11827000000.0,9708000000.0,8190000000.0
Current Deferred Revenue,13227000000.0,11827000000.0,9708000000.0,8190000000.0
Payables And Accrued Expenses,142166000000.0,130439000000.0,116677000000.0,79622000000.0
Current Accrued Expenses,62566000000.0,51775000000.0,44138000000.0,32439000000.0
Payables,79600000000.0,78664000000.0,72539000000.0,47183000000.0
Accounts Payable,79600000000.0,78664000000.0,72539000000.0,47183000000.0
Total Assets,462675000000.0,420549000000.0,321195000000.0,225248000000.0
Total Non Current Assets,315884000000.0,258969000000.0,188462000000.0,128914000000.0
Other Non Current Assets,42758000000.0,27235000000.0,22778000000.0,16314000000.0
Goodwill And Other Intangible Assets,20288000000.0,15371000000.0,15017000000.0,14754000000.0
Other Intangible Assets,,5107000000.0,4981000000.0,4049000000.0
Goodwill,20288000000.0,15371000000.0,15017000000.0,14754000000.0
Net PPE,252838000000.0,216363000000.0,150667000000.0,97846000000.0
Accumulated Depreciation,-97015000000.0,-78519000000.0,-60434000000.0,-46975000000.0
Gross PPE,252838000000.0,216363000000.0,150667000000.0,97846000000.0
Construction In Progress,30020000000.0,24895000000.0,15228000000.0,6036000000.0
Other Properties,252838000000.0,216363000000.0,150667000000.0,97846000000.0
Machinery Furniture Equipment,,128683000000.0,97224000000.0,71310000000.0
Land And Improvements,91650000000.0,81104000000.0,57324000000.0,39223000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,146791000000.0,161580000000.0,132733000000.0,96334000000.0
Inventory,34405000000.0,32640000000.0,23795000000.0,20497000000.0
Finished Goods,,32640000000.0,23795000000.0,20497000000.0
Receivables,42360000000.0,32891000000.0,24542000000.0,20816000000.0
Accounts Receivable,42360000000.0,32891000000.0,24542000000.0,20816000000.0
Allowance For Doubtful Accounts Receivable,-1400000000.0,-1000000000.0,-1000000000.0,-718000000.0
Gross Accounts Receivable,43760000000.0,33891000000.0,25542000000.0,21534000000.0
Cash Cash Equivalents And Short Term Investments,70026000000.0,96049000000.0,84396000000.0,55021000000.0
Other Short Term Investments,16138000000.0,59829000000.0,42274000000.0,18929000000.0
Cash And Cash Equivalents,53888000000.0,36220000000.0,42122000000.0,36092000000.0
