,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,8317389.0,8188331.0,8693809.0,8893177.0
Ordinary Shares Number,86949918.0,87078976.0,86572511.0,85734408.0
Share Issued,95267307.0,95267307.0,95266320.0,94627585.0
Net Debt,753574000.0,753576000.0,798118000.0,423531000.0
Total Debt,753574000.0,753576000.0,798118000.0,423531000.0
Tangible Book Value,398401000.0,311658000.0,364701000.0,563388000.0
Invested Capital,753574000.0,753576000.0,798118000.0,423531000.0
Working Capital,960872000.0,922391000.0,1078654000.0,954508000.0
Net Tangible Assets,398401000.0,311658000.0,364701000.0,563388000.0
Capital Lease Obligations,112802000.0,104378000.0,120940000.0,91768000.0
Common Stock Equity,4865851000.0,4484048000.0,4097872000.0,3453379000.0
Total Capitalization,5619425000.0,5237624000.0,4895990000.0,3876910000.0
Total Equity Gross Minority Interest,4865851000.0,4484048000.0,4097872000.0,3453379000.0
Stockholders Equity,4865851000.0,4484048000.0,4097872000.0,3453379000.0
Gains Losses Not Affecting Retained Earnings,-122722000.0,-56112000.0,-17775000.0,-65381000.0
Treasury Stock,1335627000.0,1185707000.0,1124102000.0,1041831000.0
Retained Earnings,4782930000.0,4259220000.0,3804593000.0,3370706000.0
Additional Paid In Capital,1540317000.0,1465694000.0,1434203000.0,1188939000.0
Capital Stock,953000.0,953000.0,953000.0,946000.0
Common Stock,953000.0,953000.0,953000.0,946000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,1822094000.0,1840266000.0,1842718000.0,1385508000.0
Total Non Current Liabilities Net Minority Interest,1408105000.0,1448738000.0,1470657000.0,1034155000.0
Other Non Current Liabilities,654531000.0,695162000.0,672539000.0,610624000.0
Non Current Deferred Liabilities,58126000.0,105548000.0,110321000.0,78643000.0
Non Current Deferred Taxes Liabilities,58126000.0,105548000.0,110321000.0,78643000.0
Long Term Debt And Capital Lease Obligation,753574000.0,753576000.0,798118000.0,423531000.0
Long Term Capital Lease Obligation,112802000.0,104378000.0,120940000.0,91768000.0
Long Term Debt,753574000.0,753576000.0,798118000.0,423531000.0
Current Liabilities,413989000.0,391528000.0,372061000.0,351353000.0
Current Deferred Liabilities,413989000.0,391528000.0,372061000.0,351353000.0
Current Deferred Revenue,413989000.0,391528000.0,372061000.0,351353000.0
Current Debt And Capital Lease Obligation,,,,75000000.0
Current Debt,,,,75000000.0
Payables And Accrued Expenses,380847000.0,386964000.0,356764000.0,268787000.0
Current Accrued Expenses,317316000.0,315061000.0,266801000.0,208095000.0
Payables,63531000.0,71903000.0,89963000.0,60692000.0
Total Tax Payable,49510000.0,61040000.0,71272000.0,46394000.0
Income Tax Payable,7698000.0,8410000.0,26116000.0,9996000.0
Accounts Payable,14021000.0,10863000.0,18691000.0,14298000.0
Total Assets,6687945000.0,6324314000.0,5940590000.0,4838887000.0
Total Non Current Assets,5313084000.0,5010395000.0,4489875000.0,3533026000.0
Other Non Current Assets,845634000.0,838005000.0,756704000.0,643035000.0
Non Current Deferred Assets,84515000.0,24879000.0,28830000.0,24077000.0
Non Current Deferred Taxes Assets,84515000.0,24879000.0,28830000.0,24077000.0
Goodwill And Other Intangible Assets,4467450000.0,4172390000.0,3733171000.0,2889991000.0
Other Intangible Assets,809183000.0,763119000.0,694865000.0,476711000.0
Goodwill,3658267000.0,3409271000.0,3038306000.0,2413280000.0
Net PPE,209978000.0,208795000.0,234233000.0,189307000.0
Accumulated Depreciation,-158307000.0,-156121000.0,-142272000.0,-129103000.0
Gross PPE,368285000.0,364916000.0,376505000.0,318410000.0
Leases,27560000.0,25948000.0,25237000.0,19876000.0
Other Properties,256812000.0,247974000.0,260869000.0,211099000.0
Machinery Furniture Equipment,42226000.0,49907000.0,49371000.0,46644000.0
Buildings And Improvements,38991000.0,38391000.0,38332000.0,38095000.0
Land And Improvements,2696000.0,2696000.0,2696000.0,2696000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,1374861000.0,1313919000.0,1450715000.0,1305861000.0
Other Current Assets,51159000.0,,,
Prepaid Assets,,52435000.0,44740000.0,45268000.0
Receivables,760287000.0,645891000.0,537564000.0,433479000.0
Other Receivables,209139000.0,200888000.0,192154000.0,177679000.0
Taxes Receivable,28963000.0,71332000.0,31628000.0,26672000.0
Accounts Receivable,760287000.0,645891000.0,537564000.0,433479000.0
Allowance For Doubtful Accounts Receivable,-18300000.0,-14600000.0,-14000000.0,-8700000.0
Gross Accounts Receivable,778587000.0,660491000.0,551564000.0,442179000.0
Cash Cash Equivalents And Short Term Investments,614574000.0,668028000.0,913151000.0,872382000.0
Other Short Term Investments,183000.0,361000.0,479000.0,288000.0
Cash And Cash Equivalents,614391000.0,667667000.0,912672000.0,872094000.0
Cash Equivalents,110658000.0,87620000.0,341085000.0,322455000.0
Cash Financial,503733000.0,580047000.0,571587000.0,549639000.0
