,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,0.0,0.0,0.0,0.0
Preferred Shares Number,,50000.0,,
Ordinary Shares Number,1549800030.0,1549400665.0,1312668724.0,1312137976.0
Share Issued,1549800030.0,1549400665.0,1312668724.0,1312137976.0
Net Debt,22113000000.0,23465000000.0,11867000000.0,12183000000.0
Total Debt,29232000000.0,30781000000.0,20380000000.0,18227000000.0
Tangible Book Value,-22090000000.0,-23116000000.0,-17170000000.0,-19374000000.0
Invested Capital,65316000000.0,69062000000.0,35321000000.0,30679000000.0
Working Capital,-3700000000.0,3650000000.0,-763000000.0,-2554000000.0
Net Tangible Assets,-22090000000.0,-23116000000.0,-17170000000.0,-19374000000.0
Capital Lease Obligations,953000000.0,987000000.0,681000000.0,675000000.0
Common Stock Equity,37037000000.0,39268000000.0,15622000000.0,13127000000.0
Total Capitalization,60002000000.0,67402000000.0,33127000000.0,28857000000.0
Total Equity Gross Minority Interest,37058000000.0,39287000000.0,15638000000.0,14596000000.0
Minority Interest,21000000.0,19000000.0,16000000.0,1469000000.0
Stockholders Equity,37037000000.0,39268000000.0,15622000000.0,13127000000.0
Retained Earnings,-574000000.0,1710000000.0,5299000000.0,2812000000.0
Additional Paid In Capital,35155000000.0,35126000000.0,7971000000.0,7941000000.0
Capital Stock,387000000.0,387000000.0,328000000.0,328000000.0
Common Stock,387000000.0,387000000.0,328000000.0,328000000.0
Total Liabilities Net Minority Interest,59425000000.0,66076000000.0,51091000000.0,46781000000.0
Total Non Current Liabilities Net Minority Interest,33132000000.0,43482000000.0,30784000000.0,28664000000.0
Derivative Product Liabilities,164000000.0,45000000.0,2000000.0,18000000.0
Non Current Pension And Other Postretirement Benefit Plans,1168000000.0,2454000000.0,3202000000.0,2807000000.0
Non Current Accrued Expenses,37000000.0,25000000.0,56000000.0,34000000.0
Tradeand Other Payables Non Current,4270000000.0,4933000000.0,6084000000.0,6291000000.0
Non Current Deferred Revenue,14000000.0,26000000.0,38000000.0,50000000.0
Non Current Deferred Taxes Liabilities,2944000000.0,6206000000.0,2918000000.0,2490000000.0
Long Term Debt And Capital Lease Obligation,23690000000.0,28888000000.0,17994000000.0,16217000000.0
Long Term Capital Lease Obligation,725000000.0,754000000.0,489000000.0,487000000.0
Long Term Debt,22965000000.0,28134000000.0,17505000000.0,15730000000.0
Long Term Provisions,896000000.0,956000000.0,584000000.0,841000000.0
Current Liabilities,26293000000.0,22594000000.0,20307000000.0,18117000000.0
Current Debt And Capital Lease Obligation,5542000000.0,1893000000.0,2386000000.0,2010000000.0
Current Capital Lease Obligation,228000000.0,233000000.0,192000000.0,188000000.0
Current Debt,5314000000.0,1660000000.0,2194000000.0,1822000000.0
Current Provisions,722000000.0,768000000.0,976000000.0,723000000.0
Payables,19936000000.0,19854000000.0,16912000000.0,15348000000.0
Other Payable,1927000000.0,2575000000.0,1788000000.0,2690000000.0
Total Tax Payable,896000000.0,916000000.0,1127000000.0,1361000000.0
Accounts Payable,19040000000.0,18938000000.0,15785000000.0,13987000000.0
Total Assets,96483000000.0,105363000000.0,66729000000.0,61377000000.0
Total Non Current Assets,73890000000.0,79119000000.0,47185000000.0,45814000000.0
Defined Pension Benefit,90000000.0,,,
Non Current Prepaid Assets,243000000.0,391000000.0,395000000.0,392000000.0
Non Current Deferred Taxes Assets,3263000000.0,4330000000.0,3438000000.0,2718000000.0
Financial Assets,74000000.0,102000000.0,171000000.0,61000000.0
Other Investments,1066000000.0,1168000000.0,1108000000.0,1401000000.0
Investmentin Financial Assets,1066000000.0,1168000000.0,1108000000.0,1401000000.0
Available For Sale Securities,1056000000.0,1168000000.0,1108000000.0,1339000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,10000000.0,,,62000000.0
Long Term Equity Investment,76000000.0,69000000.0,39000000.0,58000000.0
Goodwill And Other Intangible Assets,59127000000.0,62384000000.0,32792000000.0,32501000000.0
Other Intangible Assets,39307000000.0,42387000000.0,20947000000.0,20833000000.0
Goodwill,19820000000.0,19997000000.0,11845000000.0,11668000000.0
Net PPE,9449000000.0,10171000000.0,8917000000.0,8335000000.0
Accumulated Depreciation,-7743000000.0,-8324000000.0,-8193000000.0,-7517000000.0
Gross PPE,9449000000.0,10171000000.0,8917000000.0,8335000000.0
Construction In Progress,2653000000.0,2728000000.0,2478000000.0,2086000000.0
Other Properties,9449000000.0,10171000000.0,8917000000.0,8335000000.0
Machinery Furniture Equipment,7885000000.0,8224000000.0,8010000000.0,7585000000.0
Buildings And Improvements,1182000000.0,,,
Land And Improvements,5440000000.0,,,
Properties,0.0,7510000000.0,6586000000.0,6159000000.0
Current Assets,22593000000.0,26244000000.0,19544000000.0,15563000000.0
Other Current Assets,,105000000.0,,
Hedging Assets Current,87000000.0,83000000.0,142000000.0,36000000.0
Assets Held For Sale Current,150000000.0,368000000.0,0.0,70000000.0
Restricted Cash,162000000.0,,,
Prepaid Assets,1329000000.0,1512000000.0,1735000000.0,865000000.0
Inventory,4699000000.0,8983000000.0,4024000000.0,3193000000.0
Finished Goods,1413000000.0,2012000000.0,1431000000.0,1091000000.0
Work In Process,1864000000.0,5216000000.0,1331000000.0,1272000000.0
Raw Materials,1422000000.0,1755000000.0,1262000000.0,830000000.0
Other Receivables,1980000000.0,2101000000.0,1481000000.0,1311000000.0
Taxes Receivable,731000000.0,663000000.0,364000000.0,285000000.0
Accounts Receivable,10521000000.0,9644000000.0,7022000000.0,5761000000.0
Allowance For Doubtful Accounts Receivable,-59000000.0,-23000000.0,-23000000.0,-21000000.0
