,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,23800000.0,23800000.0,23800000.0,23800000.0
Preferred Shares Number,8000.0,8000.0,8000.0,8000.0
Ordinary Shares Number,144000000.0,147000000.0,152400000.0,174200000.0
Share Issued,167800000.0,170800000.0,176200000.0,198000000.0
Net Debt,2861700000.0,7273100000.0,7426200000.0,5954800000.0
Total Debt,6614000000.0,7603500000.0,7828200000.0,6367500000.0
Tangible Book Value,5789300000.0,2977300000.0,1839700000.0,4053900000.0
Invested Capital,6281000000.0,7273100000.0,7426200000.0,5954800000.0
Working Capital,6518400000.0,3558300000.0,3144900000.0,3518000000.0
Net Tangible Assets,5789300000.0,2977300000.0,1839700000.0,4053900000.0
Capital Lease Obligations,333000000.0,330400000.0,402000000.0,412700000.0
Common Stock Equity,13388400000.0,10959700000.0,10686100000.0,13339100000.0
Total Capitalization,19669400000.0,17233700000.0,18112300000.0,17798100000.0
Total Equity Gross Minority Interest,13388400000.0,10959700000.0,10686100000.0,13339100000.0
Minority Interest,-9500000.0,63500000.0,-14200000.0,-4100000.0
Stockholders Equity,13388400000.0,10959700000.0,10686100000.0,13339100000.0
Gains Losses Not Affecting Retained Earnings,-164900000.0,-106700000.0,-299000000.0,-135200000.0
Other Equity Adjustments,-164900000.0,-106700000.0,-299000000.0,-135200000.0
Treasury Stock,2977100000.0,2977100000.0,2977100000.0,2977100000.0
Retained Earnings,16466500000.0,13911700000.0,13976300000.0,16455400000.0
Additional Paid In Capital,73300000.0,68200000.0,0.0,0.0
Capital Stock,100000.0,100000.0,100000.0,100000.0
Common Stock,100000.0,100000.0,100000.0,100000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,11165700000.0,12917600000.0,13932800000.0,13895200000.0
Total Non Current Liabilities Net Minority Interest,7892900000.0,8619400000.0,10190600000.0,9031400000.0
Other Non Current Liabilities,944200000.0,1320500000.0,2362400000.0,4159700000.0
Non Current Deferred Liabilities,334700000.0,694500000.0,1032800000.0,2810800000.0
Non Current Deferred Taxes Liabilities,334700000.0,694500000.0,1032800000.0,2810800000.0
Long Term Debt And Capital Lease Obligation,6614000000.0,6604400000.0,7828200000.0,4871700000.0
Long Term Capital Lease Obligation,333000000.0,330400000.0,402000000.0,412700000.0
Long Term Debt,6281000000.0,6274000000.0,7426200000.0,4459000000.0
Current Liabilities,3272800000.0,4298200000.0,3742200000.0,4863800000.0
Other Current Liabilities,,3299100000.0,3742200000.0,3368000000.0
Current Debt And Capital Lease Obligation,,999100000.0,,1495800000.0
Current Debt,,999100000.0,,1495800000.0
Other Current Borrowings,,999100000.0,,1495800000.0
Pensionand Other Post Retirement Benefit Plans Current,395600000.0,345100000.0,333800000.0,309100000.0
Payables And Accrued Expenses,3272800000.0,2943200000.0,3226900000.0,3058900000.0
Current Accrued Expenses,2521400000.0,2179300000.0,2630000000.0,2456700000.0
Payables,751400000.0,763900000.0,596900000.0,602200000.0
Total Tax Payable,259900000.0,174700000.0,142000000.0,71400000.0
Accounts Payable,491500000.0,589200000.0,454900000.0,530800000.0
Total Assets,24554100000.0,23877300000.0,24618900000.0,27234300000.0
Total Non Current Assets,14762900000.0,16020800000.0,17731800000.0,18852500000.0
Non Current Deferred Assets,1226400000.0,1415100000.0,1369500000.0,3232100000.0
Non Current Deferred Taxes Assets,1226400000.0,1415100000.0,1369500000.0,3232100000.0
Investments And Advances,2234900000.0,2831500000.0,5040600000.0,5893000000.0
Other Investments,1529200000.0,1939500000.0,4268500000.0,4484900000.0
Investmentin Financial Assets,705700000.0,892000000.0,772100000.0,1408100000.0
Available For Sale Securities,705700000.0,892000000.0,772100000.0,1408100000.0
Goodwill And Other Intangible Assets,7599100000.0,7982400000.0,8846400000.0,9285200000.0
Other Intangible Assets,1850100000.0,2221300000.0,3084300000.0,3527400000.0
Goodwill,5749000000.0,5761100000.0,5762100000.0,5757800000.0
Net PPE,3702500000.0,3791800000.0,3844800000.0,3674300000.0
Accumulated Depreciation,-2165700000.0,-2006600000.0,-1782300000.0,-1590900000.0
Gross PPE,3702500000.0,3791800000.0,3844800000.0,3674300000.0
Leases,107700000.0,121000000.0,104600000.0,99500000.0
Construction In Progress,888800000.0,770300000.0,1950800000.0,2084400000.0
Other Properties,3702500000.0,3791800000.0,3844800000.0,3674300000.0
Machinery Furniture Equipment,2672500000.0,2624500000.0,1993300000.0,1701200000.0
Buildings And Improvements,1592900000.0,1699700000.0,1025300000.0,835000000.0
Land And Improvements,202400000.0,207500000.0,119800000.0,118100000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,9791200000.0,7856500000.0,6887100000.0,8381800000.0
Other Current Assets,1417600000.0,1153100000.0,1294600000.0,1221200000.0
Inventory,1344400000.0,1351500000.0,1068600000.0,804200000.0
Other Inventories,-21100000.0,,,
Finished Goods,200400000.0,187900000.0,209200000.0,174500000.0
Work In Process,751900000.0,814000000.0,544500000.0,460000000.0
Raw Materials,413200000.0,349600000.0,314900000.0,169700000.0
Receivables,2136400000.0,1549400000.0,1913800000.0,1880500000.0
Accounts Receivable,2136400000.0,1549400000.0,1913800000.0,1880500000.0
Cash Cash Equivalents And Short Term Investments,4892800000.0,3802500000.0,2610100000.0,4475900000.0
Other Short Term Investments,1473500000.0,1541100000.0,1278900000.0,1562200000.0
Cash And Cash Equivalents,3419300000.0,2261400000.0,1331200000.0,2913700000.0
