,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,1006000000.0,909000000.0,724000000.0,650065000.0
Share Issued,1006000000.0,909000000.0,724000000.0,650065000.0
Net Debt,4169000000.0,2874000000.0,3501000000.0,3373000000.0
Total Debt,6657000000.0,6727000000.0,7633000000.0,6622000000.0
Tangible Book Value,4415000000.0,6656000000.0,7868000000.0,8428000000.0
Invested Capital,6657000000.0,6727000000.0,7633000000.0,6622000000.0
Working Capital,3517000000.0,5897000000.0,6228000000.0,5208000000.0
Net Tangible Assets,4415000000.0,6656000000.0,7868000000.0,8428000000.0
Common Stock Equity,14525000000.0,16746000000.0,18242000000.0,34499000000.0
Total Capitalization,20505000000.0,23433000000.0,24986000000.0,40800000000.0
Total Equity Gross Minority Interest,14525000000.0,16746000000.0,18242000000.0,34499000000.0
Minority Interest,131000000.0,1916000000.0,5349000000.0,12570000000.0
Stockholders Equity,14525000000.0,16746000000.0,18242000000.0,34499000000.0
Gains Losses Not Affecting Retained Earnings,-2971000000.0,-2385000000.0,-1778000000.0,-1636000000.0
Other Equity Adjustments,-2971000000.0,-2385000000.0,-1778000000.0,-1636000000.0
Retained Earnings,-10761000000.0,-10160000000.0,-9942000000.0,0.0
Additional Paid In Capital,28126000000.0,27375000000.0,24613000000.0,23565000000.0
Capital Stock,0.0,0.0,0.0,0.0
Common Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,19656000000.0,18602000000.0,19788000000.0,18870000000.0
Total Non Current Liabilities Net Minority Interest,8581000000.0,9434000000.0,9561000000.0,8856000000.0
Other Non Current Liabilities,1641000000.0,1637000000.0,1600000000.0,1476000000.0
Employee Benefits,960000000.0,1110000000.0,1217000000.0,1079000000.0
Non Current Pension And Other Postretirement Benefit Plans,960000000.0,1110000000.0,1217000000.0,1079000000.0
Non Current Deferred Liabilities,229000000.0,127000000.0,186000000.0,51000000.0
Non Current Deferred Taxes Liabilities,229000000.0,127000000.0,186000000.0,51000000.0
Long Term Debt And Capital Lease Obligation,5980000000.0,6687000000.0,6744000000.0,6301000000.0
Long Term Debt,5980000000.0,6687000000.0,6744000000.0,6301000000.0
Current Liabilities,11075000000.0,9168000000.0,10227000000.0,10014000000.0
Other Current Liabilities,2278000000.0,2111000000.0,2352000000.0,2555000000.0
Current Deferred Liabilities,3822000000.0,3272000000.0,3454000000.0,2870000000.0
Current Deferred Revenue,3822000000.0,3272000000.0,3454000000.0,2870000000.0
Current Debt And Capital Lease Obligation,677000000.0,40000000.0,889000000.0,321000000.0
Current Debt,677000000.0,40000000.0,889000000.0,321000000.0
Other Current Borrowings,678000000.0,40000000.0,88000000.0,321000000.0
Commercial Paper,,0.0,801000000.0,
Payables And Accrued Expenses,4298000000.0,3745000000.0,3532000000.0,4268000000.0
Payables,4298000000.0,3745000000.0,3532000000.0,4268000000.0
Accounts Payable,4298000000.0,3745000000.0,3532000000.0,4268000000.0
Total Assets,34181000000.0,35348000000.0,38030000000.0,53369000000.0
Total Non Current Assets,19589000000.0,20283000000.0,21575000000.0,38147000000.0
Other Non Current Assets,3438000000.0,3678000000.0,3842000000.0,3955000000.0
Non Current Deferred Assets,657000000.0,735000000.0,953000000.0,954000000.0
Non Current Deferred Taxes Assets,657000000.0,735000000.0,953000000.0,954000000.0
Non Current Accounts Receivable,1503000000.0,1638000000.0,2001000000.0,1881000000.0
Goodwill And Other Intangible Assets,10110000000.0,10090000000.0,10374000000.0,26071000000.0
Other Intangible Assets,4180000000.0,4131000000.0,4397000000.0,5381000000.0
Goodwill,5930000000.0,5959000000.0,5977000000.0,20690000000.0
Net PPE,4538000000.0,4877000000.0,5358000000.0,6240000000.0
Accumulated Depreciation,-5121000000.0,-5003000000.0,-5115000000.0,-4384000000.0
Gross PPE,9659000000.0,9880000000.0,10473000000.0,10624000000.0
Machinery Furniture Equipment,7192000000.0,7259000000.0,7451000000.0,7324000000.0
Buildings And Improvements,2120000000.0,2271000000.0,2618000000.0,2870000000.0
Land And Improvements,347000000.0,350000000.0,404000000.0,430000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,14592000000.0,15065000000.0,16455000000.0,15222000000.0
Other Current Assets,1559000000.0,1582000000.0,2280000000.0,949000000.0
Inventory,4587000000.0,3979000000.0,4421000000.0,4608000000.0
Finished Goods,2419000000.0,2228000000.0,2337000000.0,2546000000.0
Work In Process,2168000000.0,1751000000.0,2084000000.0,2062000000.0
Receivables,5958000000.0,5651000000.0,5622000000.0,6416000000.0
Receivables Adjustments Allowances,-341000000.0,-400000000.0,-373000000.0,-323000000.0
Other Receivables,1216000000.0,846000000.0,890000000.0,796000000.0
Duefrom Related Parties Current,0.0,481000000.0,429000000.0,495000000.0
Accounts Receivable,5958000000.0,5651000000.0,5622000000.0,6416000000.0
Gross Accounts Receivable,,,,5448000000.0
Cash Cash Equivalents And Short Term Investments,2488000000.0,3853000000.0,4132000000.0,3249000000.0
Cash And Cash Equivalents,2488000000.0,3853000000.0,4132000000.0,3249000000.0
