,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,56485000.0,52363000.0,50219000.0,49304000.0
Ordinary Shares Number,272675000.0,276796000.0,278941000.0,279855000.0
Share Issued,329160000.0,329159000.0,329160000.0,329159000.0
Total Debt,748078000.0,347588000.0,346793000.0,346019000.0
Tangible Book Value,1016228000.0,1579052000.0,1500341000.0,1268663000.0
Invested Capital,748078000.0,347588000.0,346793000.0,346019000.0
Working Capital,359071000.0,744544000.0,681779000.0,496952000.0
Net Tangible Assets,1016228000.0,1579052000.0,1500341000.0,1268663000.0
Capital Lease Obligations,139337000.0,107121000.0,113916000.0,84782000.0
Common Stock Equity,2745113000.0,2740675000.0,2493018000.0,2102894000.0
Total Capitalization,3393191000.0,3088263000.0,2839811000.0,2448913000.0
Total Equity Gross Minority Interest,2745113000.0,2740675000.0,2493018000.0,2102894000.0
Stockholders Equity,2745113000.0,2740675000.0,2493018000.0,2102894000.0
Gains Losses Not Affecting Retained Earnings,-91637000.0,-33311000.0,-17425000.0,-36926000.0
Other Equity Adjustments,-91637000.0,-33311000.0,-17425000.0,-36926000.0
Treasury Stock,3824163000.0,2740003000.0,2057829000.0,1668105000.0
Retained Earnings,3895240000.0,3046288000.0,2350333000.0,1761688000.0
Capital Stock,2765673000.0,2467701000.0,2217939000.0,2046237000.0
Common Stock,2765673000.0,2467701000.0,2217939000.0,2046237000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,2391958000.0,1645624000.0,1457767000.0,1254331000.0
Total Non Current Liabilities Net Minority Interest,1044262000.0,674399000.0,660959000.0,581940000.0
Other Non Current Liabilities,304660000.0,225663000.0,207102000.0,162521000.0
Non Current Accrued Expenses,165323000.0,118542000.0,93186000.0,77739000.0
Non Current Deferred Liabilities,91524000.0,101148000.0,107064000.0,73400000.0
Non Current Deferred Revenue,91524000.0,101148000.0,107064000.0,73400000.0
Long Term Debt And Capital Lease Obligation,648078000.0,347588000.0,346793000.0,346019000.0
Long Term Capital Lease Obligation,139337000.0,107121000.0,113916000.0,84782000.0
Long Term Debt,648078000.0,347588000.0,346793000.0,346019000.0
Current Liabilities,1347696000.0,971225000.0,796808000.0,672391000.0
Current Deferred Liabilities,690538000.0,553942000.0,446857000.0,355483000.0
Current Deferred Revenue,690538000.0,553942000.0,446857000.0,355483000.0
Current Debt And Capital Lease Obligation,100000000.0,,,
Current Debt,100000000.0,,,
Line Of Credit,100000000.0,,0.0,0.0
Payables And Accrued Expenses,557158000.0,417283000.0,349951000.0,316908000.0
Current Accrued Expenses,502590000.0,353166000.0,349951000.0,316908000.0
Total Assets,5137071000.0,4386299000.0,3950785000.0,3357225000.0
Total Non Current Assets,3430304000.0,2670530000.0,2472198000.0,2187882000.0
Other Non Current Assets,476277000.0,439226000.0,436106000.0,345429000.0
Non Current Deferred Assets,853691000.0,763770000.0,732290000.0,732367000.0
Non Current Deferred Taxes Assets,853691000.0,763770000.0,732290000.0,732367000.0
Investments And Advances,119997000.0,127501000.0,132226000.0,138212000.0
Investmentin Financial Assets,119997000.0,127501000.0,132226000.0,138212000.0
Available For Sale Securities,,,,138212000.0
Goodwill And Other Intangible Assets,1728885000.0,1161623000.0,992677000.0,834231000.0
Other Intangible Assets,354617000.0,233265000.0,210590000.0,172375000.0
Goodwill,1374268000.0,928358000.0,782087000.0,661856000.0
Net PPE,371451000.0,305911000.0,311125000.0,275855000.0
Accumulated Depreciation,-776937000.0,-732566000.0,-693950000.0,-635176000.0
Gross PPE,1318767000.0,1168601000.0,1138429000.0,1011374000.0
Leases,176413000.0,137778000.0,129155000.0,106456000.0
Construction In Progress,21670000.0,13830000.0,10774000.0,4706000.0
Other Properties,217147000.0,170727000.0,172086000.0,139298000.0
Machinery Furniture Equipment,714977000.0,663867000.0,643900000.0,578299000.0
Buildings And Improvements,131949000.0,126557000.0,126666000.0,126795000.0
Land And Improvements,56611000.0,55842000.0,55848000.0,55820000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,1706767000.0,1715769000.0,1478587000.0,1169343000.0
Other Current Assets,209727000.0,173512000.0,135712000.0,103785000.0
Prepaid Assets,209727000.0,173512000.0,135712000.0,103785000.0
Inventory,128005000.0,115721000.0,75956000.0,55802000.0
Finished Goods,14023000.0,27092000.0,12309000.0,19165000.0
Raw Materials,113982000.0,88629000.0,63647000.0,36637000.0
Receivables,486710000.0,337596000.0,338487000.0,304546000.0
Receivables Adjustments Allowances,-2290000.0,-3692000.0,-2867000.0,-869000.0
Other Receivables,174334000.0,155689000.0,144364000.0,126165000.0
Accounts Receivable,486710000.0,337596000.0,338487000.0,304546000.0
Cash Cash Equivalents And Short Term Investments,882325000.0,1088940000.0,928432000.0,705210000.0
Cash And Cash Equivalents,882325000.0,1088940000.0,928432000.0,705210000.0
Cash Equivalents,548373000.0,658474000.0,541386000.0,445942000.0
Cash Financial,333952000.0,430466000.0,387046000.0,259268000.0
