,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,327000000.0,326000000.0,326000000.0,326000000.0
Share Issued,327000000.0,326000000.0,326000000.0,326000000.0
Net Debt,5346000000.0,7692000000.0,6986000000.0,7991000000.0
Total Debt,5768000000.0,8196000000.0,7212000000.0,8294000000.0
Tangible Book Value,11018000000.0,11219000000.0,12352000000.0,13437000000.0
Invested Capital,16786000000.0,19415000000.0,19611000000.0,21778000000.0
Working Capital,1521000000.0,-15000000.0,1728000000.0,-213000000.0
Net Tangible Assets,11018000000.0,11219000000.0,12352000000.0,13437000000.0
Common Stock Equity,11018000000.0,11219000000.0,12399000000.0,13484000000.0
Total Capitalization,15484000000.0,16113000000.0,18289000000.0,18276000000.0
Total Equity Gross Minority Interest,11372000000.0,11614000000.0,14676000000.0,15830000000.0
Minority Interest,354000000.0,395000000.0,2277000000.0,2346000000.0
Stockholders Equity,11018000000.0,11219000000.0,12399000000.0,13484000000.0
Other Equity Interest,,10482000000.0,9624000000.0,9566000000.0
Gains Losses Not Affecting Retained Earnings,-1760000000.0,-31000000.0,-30000000.0,-32000000.0
Other Equity Adjustments,-1760000000.0,-31000000.0,-30000000.0,-32000000.0
Retained Earnings,-496000000.0,768000000.0,2805000000.0,3950000000.0
Capital Stock,13274000000.0,,,
Common Stock,13274000000.0,,,
Total Liabilities Net Minority Interest,35537000000.0,36472000000.0,33418000000.0,33165000000.0
Total Non Current Liabilities Net Minority Interest,27698000000.0,28476000000.0,28199000000.0,25876000000.0
Other Non Current Liabilities,2408000000.0,2343000000.0,2516000000.0,2614000000.0
Derivative Product Liabilities,983000000.0,513000000.0,205000000.0,123000000.0
Employee Benefits,1214000000.0,847000000.0,858000000.0,878000000.0
Non Current Pension And Other Postretirement Benefit Plans,1214000000.0,847000000.0,858000000.0,878000000.0
Dueto Related Parties Non Current,0.0,3357000000.0,3017000000.0,3103000000.0
Tradeand Other Payables Non Current,2897000000.0,0.0,0.0,0.0
Non Current Deferred Liabilities,3031000000.0,3703000000.0,3659000000.0,3763000000.0
Non Current Deferred Revenue,,,3000000.0,11000000.0
Non Current Deferred Taxes Liabilities,3031000000.0,3703000000.0,3656000000.0,3752000000.0
Long Term Debt And Capital Lease Obligation,4466000000.0,4894000000.0,5890000000.0,4792000000.0
Long Term Debt,4466000000.0,4894000000.0,5890000000.0,4792000000.0
Long Term Provisions,12699000000.0,12819000000.0,12054000000.0,10603000000.0
Current Liabilities,7839000000.0,7996000000.0,5219000000.0,7289000000.0
Other Current Liabilities,2803000000.0,2069000000.0,1742000000.0,1175000000.0
Current Deferred Liabilities,,,7000000.0,17000000.0
Current Deferred Revenue,,,7000000.0,17000000.0
Current Debt And Capital Lease Obligation,1302000000.0,3302000000.0,1322000000.0,3502000000.0
Current Debt,1302000000.0,3302000000.0,1322000000.0,3502000000.0
Other Current Borrowings,1302000000.0,3302000000.0,1322000000.0,3502000000.0
Payables And Accrued Expenses,3734000000.0,2625000000.0,2148000000.0,2595000000.0
Current Accrued Expenses,906000000.0,737000000.0,788000000.0,786000000.0
Payables,2828000000.0,1888000000.0,1360000000.0,1809000000.0
Dueto Related Parties Current,0.0,131000000.0,107000000.0,117000000.0
Accounts Payable,2828000000.0,1757000000.0,1253000000.0,1692000000.0
Total Assets,46909000000.0,48086000000.0,48094000000.0,48995000000.0
Total Non Current Assets,37549000000.0,40105000000.0,41147000000.0,41919000000.0
Other Non Current Assets,2106000000.0,1717000000.0,1826000000.0,1960000000.0
Defined Pension Benefit,0.0,1683000000.0,1558000000.0,1438000000.0
