,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,,,,17386100.0
Ordinary Shares Number,152651397.0,172741237.0,193730993.0,209975964.0
Share Issued,152651397.0,172741237.0,193730993.0,227362064.0
Net Debt,96958000000.0,90960000000.0,81754000000.0,75595000000.0
Total Debt,97603000000.0,91561000000.0,82752000000.0,80271000000.0
Tangible Book Value,-90579000000.0,-86918000000.0,-78686000000.0,-72884000000.0
Invested Capital,106722000000.0,105611000000.0,106557000000.0,110523000000.0
Working Capital,-8048000000.0,-8892000000.0,-5969000000.0,-5914000000.0
Net Tangible Assets,-90579000000.0,-86918000000.0,-78686000000.0,-72884000000.0
Capital Lease Obligations,295000000.0,269000000.0,235000000.0,1193000000.0
Common Stock Equity,9119000000.0,14050000000.0,23805000000.0,31445000000.0
Total Capitalization,105212000000.0,102614000000.0,105549000000.0,107023000000.0
Total Equity Gross Minority Interest,12549000000.0,18156000000.0,30281000000.0,38811000000.0
Minority Interest,3430000000.0,4106000000.0,6476000000.0,7366000000.0
Stockholders Equity,9119000000.0,14050000000.0,23805000000.0,31445000000.0
Gains Losses Not Affecting Retained Earnings,,,,0.0
Retained Earnings,-14821000000.0,-12675000000.0,-5195000000.0,40000000.0
Additional Paid In Capital,23940000000.0,26725000000.0,29000000000.0,31405000000.0
Capital Stock,0.0,0.0,0.0,0.0
Common Stock,0.0,0.0,0.0,0.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,131974000000.0,124335000000.0,113925000000.0,109377000000.0
Total Non Current Liabilities Net Minority Interest,119909000000.0,111877000000.0,104050000000.0,96992000000.0
Other Non Current Liabilities,4758000000.0,4217000000.0,4198000000.0,2724000000.0
Non Current Deferred Liabilities,19058000000.0,19096000000.0,18108000000.0,17711000000.0
Non Current Deferred Taxes Liabilities,19058000000.0,19096000000.0,18108000000.0,17711000000.0
Long Term Debt And Capital Lease Obligation,96093000000.0,88564000000.0,81744000000.0,76557000000.0
Long Term Capital Lease Obligation,,,,979000000.0
Long Term Debt,96093000000.0,88564000000.0,81744000000.0,75578000000.0
Current Liabilities,12065000000.0,12458000000.0,9875000000.0,12385000000.0
Current Deferred Liabilities,511000000.0,461000000.0,436000000.0,460000000.0
Current Deferred Revenue,511000000.0,461000000.0,436000000.0,460000000.0
Current Debt And Capital Lease Obligation,1510000000.0,2997000000.0,1008000000.0,3714000000.0
Current Capital Lease Obligation,295000000.0,269000000.0,235000000.0,214000000.0
Current Debt,1510000000.0,2997000000.0,1008000000.0,3500000000.0
Other Current Borrowings,1510000000.0,2997000000.0,1008000000.0,3500000000.0
Payables And Accrued Expenses,10555000000.0,9461000000.0,8867000000.0,8671000000.0
Current Accrued Expenses,8130000000.0,7415000000.0,6878000000.0,6888000000.0
Interest Payable,1165000000.0,1099000000.0,1083000000.0,1052000000.0
Payables,1619000000.0,1316000000.0,1318000000.0,1323000000.0
Total Tax Payable,667000000.0,592000000.0,555000000.0,537000000.0
Accounts Payable,952000000.0,724000000.0,763000000.0,786000000.0
Total Assets,144523000000.0,142491000000.0,144206000000.0,148188000000.0
Total Non Current Assets,140506000000.0,138925000000.0,140300000000.0,141717000000.0
Other Non Current Assets,4769000000.0,3647000000.0,3452000000.0,1705000000.0
Goodwill And Other Intangible Assets,99698000000.0,100968000000.0,102491000000.0,104329000000.0
Other Intangible Assets,70135000000.0,71406000000.0,72937000000.0,74775000000.0
Goodwill,29563000000.0,29562000000.0,29554000000.0,29554000000.0
Net PPE,36039000000.0,34310000000.0,34357000000.0,35683000000.0
Accumulated Depreciation,-36164000000.0,-34253000000.0,-31639000000.0,-27656000000.0
Gross PPE,72203000000.0,34310000000.0,34357000000.0,35683000000.0
Other Properties,56802000000.0,34310000000.0,34357000000.0,35683000000.0
Machinery Furniture Equipment,9568000000.0,9034000000.0,9151000000.0,8370000000.0
Buildings And Improvements,5833000000.0,5729000000.0,5396000000.0,4843000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,4017000000.0,3566000000.0,3906000000.0,6471000000.0
Other Current Assets,451000000.0,386000000.0,707000000.0,761000000.0
Prepaid Assets,,386000000.0,707000000.0,761000000.0
Receivables,2921000000.0,2579000000.0,2201000000.0,2227000000.0
Accounts Receivable,2921000000.0,2579000000.0,2201000000.0,2227000000.0
Allowance For Doubtful Accounts Receivable,-219000000.0,-157000000.0,-194000000.0,-151000000.0
Gross Accounts Receivable,3140000000.0,2736000000.0,2395000000.0,2378000000.0
Cash Cash Equivalents And Short Term Investments,645000000.0,601000000.0,998000000.0,3483000000.0
Cash And Cash Equivalents,645000000.0,601000000.0,998000000.0,3483000000.0
