,2023-08-31,2022-08-31,2021-08-31,2020-08-31
Ordinary Shares Number,442793000.0,442664000.0,441825000.0,441255000.0
Share Issued,442793000.0,442664000.0,441825000.0,441255000.0
Total Debt,8884000000.0,9039000000.0,10133000000.0,10167000000.0
Tangible Book Value,25058000000.0,20642000000.0,17564000000.0,18284000000.0
Invested Capital,31516000000.0,27199000000.0,25055000000.0,25893000000.0
Working Capital,2296000000.0,698000000.0,64000000.0,3276000000.0
Net Tangible Assets,25058000000.0,20642000000.0,17564000000.0,18284000000.0
Capital Lease Obligations,2426000000.0,2482000000.0,2642000000.0,2558000000.0
Common Stock Equity,25058000000.0,20642000000.0,17564000000.0,18284000000.0
Total Capitalization,30435000000.0,27126000000.0,24256000000.0,25798000000.0
Total Equity Gross Minority Interest,25058000000.0,20647000000.0,18078000000.0,18705000000.0
Minority Interest,0.0,5000000.0,514000000.0,421000000.0
Stockholders Equity,25058000000.0,20642000000.0,17564000000.0,18284000000.0
Gains Losses Not Affecting Retained Earnings,-1805000000.0,-1829000000.0,-1137000000.0,-1297000000.0
Other Equity Adjustments,-1805000000.0,-1829000000.0,-1137000000.0,-1297000000.0
Retained Earnings,19521000000.0,15585000000.0,11666000000.0,12879000000.0
Additional Paid In Capital,7340000000.0,6884000000.0,7031000000.0,6698000000.0
Capital Stock,2000000.0,2000000.0,4000000.0,4000000.0
Common Stock,2000000.0,2000000.0,4000000.0,4000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,43936000000.0,43519000000.0,41190000000.0,36851000000.0
Total Non Current Liabilities Net Minority Interest,10353000000.0,11521000000.0,11749000000.0,12007000000.0
Other Non Current Liabilities,2550000000.0,2555000000.0,2415000000.0,1935000000.0
Long Term Debt And Capital Lease Obligation,7803000000.0,8966000000.0,9334000000.0,10072000000.0
Long Term Capital Lease Obligation,2426000000.0,2482000000.0,2642000000.0,2558000000.0
Long Term Debt,5377000000.0,6484000000.0,6692000000.0,7514000000.0
Current Liabilities,33583000000.0,31998000000.0,29441000000.0,24844000000.0
Other Current Liabilities,6254000000.0,5611000000.0,4561000000.0,3728000000.0
Current Deferred Liabilities,2337000000.0,2174000000.0,2042000000.0,1851000000.0
Current Debt And Capital Lease Obligation,1081000000.0,73000000.0,799000000.0,95000000.0
Current Debt,1081000000.0,73000000.0,799000000.0,95000000.0
Payables And Accrued Expenses,23911000000.0,24140000000.0,22039000000.0,19170000000.0
Current Accrued Expenses,6428000000.0,6292000000.0,5761000000.0,4998000000.0
Payables,17483000000.0,17848000000.0,16278000000.0,14172000000.0
Accounts Payable,17483000000.0,17848000000.0,16278000000.0,14172000000.0
Total Assets,68994000000.0,64166000000.0,59268000000.0,55556000000.0
Total Non Current Assets,33115000000.0,31470000000.0,29763000000.0,27436000000.0
Other Non Current Assets,3718000000.0,4050000000.0,3381000000.0,2841000000.0
Net PPE,29397000000.0,27420000000.0,26382000000.0,24595000000.0
Accumulated Depreciation,-16685000000.0,-15286000000.0,-14166000000.0,-12896000000.0
Gross PPE,29397000000.0,27420000000.0,26382000000.0,24595000000.0
Construction In Progress,1266000000.0,1582000000.0,1507000000.0,1276000000.0
Other Properties,29397000000.0,27420000000.0,26382000000.0,24595000000.0
Machinery Furniture Equipment,11512000000.0,10275000000.0,9505000000.0,8749000000.0
Buildings And Improvements,22001000000.0,20120000000.0,19139000000.0,17982000000.0
Land And Improvements,8590000000.0,7955000000.0,7507000000.0,6696000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,35879000000.0,32696000000.0,29505000000.0,28120000000.0
Other Current Assets,1709000000.0,1499000000.0,1312000000.0,1023000000.0
Inventory,16651000000.0,17907000000.0,14215000000.0,12242000000.0
Finished Goods,16651000000.0,17907000000.0,14215000000.0,12242000000.0
Receivables,2285000000.0,2241000000.0,1803000000.0,1550000000.0
Accounts Receivable,2285000000.0,2241000000.0,1803000000.0,1550000000.0
Cash Cash Equivalents And Short Term Investments,15234000000.0,11049000000.0,12175000000.0,13305000000.0
Other Short Term Investments,1534000000.0,846000000.0,917000000.0,1028000000.0
Cash And Cash Equivalents,13700000000.0,10203000000.0,11258000000.0,12277000000.0
