,2023-07-31,2022-07-31,2021-07-31,2020-07-31
Ordinary Shares Number,957344162.0,952163896.0,948057092.0,941261348.0
Share Issued,957344162.0,952163896.0,948057092.0,941261348.0
Total Debt,120453000.0,119473000.0,518069000.0,518192000.0
Tangible Book Value,5530449000.0,4168965000.0,3127611000.0,2098122000.0
Invested Capital,5998343000.0,4627595000.0,3926837000.0,2886552000.0
Working Capital,2769835000.0,1761566000.0,1281580000.0,607715000.0
Net Tangible Assets,5530449000.0,4168965000.0,3127611000.0,2098122000.0
Capital Lease Obligations,109550000.0,117477000.0,120433000.0,121156000.0
Common Stock Equity,5987440000.0,4625599000.0,3529201000.0,2489516000.0
Total Capitalization,5998343000.0,4627595000.0,3926837000.0,2886552000.0
Total Equity Gross Minority Interest,5987440000.0,4625599000.0,3529201000.0,2489516000.0
Stockholders Equity,5987440000.0,4625599000.0,3529201000.0,2489516000.0
Gains Losses Not Affecting Retained Earnings,-141006000.0,-169365000.0,-100860000.0,-121088000.0
Other Equity Adjustments,-141006000.0,-169365000.0,-100860000.0,-121088000.0
Retained Earnings,5189440000.0,3956408000.0,2868203000.0,1937853000.0
Additional Paid In Capital,938910000.0,838532000.0,761834000.0,672727000.0
Capital Stock,96000.0,24000.0,24000.0,24000.0
Common Stock,96000.0,24000.0,24000.0,24000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,750439000.0,683265000.0,1032942000.0,965745000.0
Total Non Current Liabilities Net Minority Interest,257670000.0,242376000.0,611911000.0,609701000.0
Other Non Current Liabilities,,,,430000.0
Tradeand Other Payables Non Current,69193000.0,64637000.0,52345000.0,44965000.0
Non Current Deferred Liabilities,89492000.0,80060000.0,63969000.0,71686000.0
Non Current Deferred Taxes Liabilities,89492000.0,80060000.0,63969000.0,71686000.0
Long Term Debt And Capital Lease Obligation,98985000.0,97679000.0,495597000.0,492620000.0
Long Term Capital Lease Obligation,88082000.0,95683000.0,97961000.0,95584000.0
Long Term Debt,10903000.0,1996000.0,397636000.0,397036000.0
Current Liabilities,492769000.0,440889000.0,421031000.0,356044000.0
Current Deferred Liabilities,26117000.0,20061000.0,20973000.0,8233000.0
Current Deferred Revenue,26117000.0,20061000.0,20973000.0,8233000.0
Current Debt And Capital Lease Obligation,21468000.0,21794000.0,22472000.0,25572000.0
Current Capital Lease Obligation,21468000.0,21794000.0,22472000.0,25572000.0
Pensionand Other Post Retirement Benefit Plans Current,50914000.0,47206000.0,50688000.0,42053000.0
Payables And Accrued Expenses,445184000.0,399034000.0,377586000.0,322239000.0
Current Accrued Expenses,71916000.0,35821000.0,39579000.0,37502000.0
Payables,445184000.0,399034000.0,377586000.0,322239000.0
Total Tax Payable,4374000.0,0.0,7760000.0,3709000.0
Income Tax Payable,4374000.0,0.0,7760000.0,3709000.0
Accounts Payable,440810000.0,399034000.0,369826000.0,318530000.0
Total Assets,6737879000.0,5308864000.0,4562143000.0,3455261000.0
Total Non Current Assets,3475275000.0,3106409000.0,2859532000.0,2491502000.0
Other Non Current Assets,65806000.0,47708000.0,41831000.0,39721000.0
Non Current Deferred Assets,,,,213000.0
Non Current Deferred Taxes Assets,,,,213000.0
Goodwill And Other Intangible Assets,456991000.0,456634000.0,401590000.0,391394000.0
Other Intangible Assets,62702000.0,54680000.0,45873000.0,47772000.0
Goodwill,394289000.0,401954000.0,355717000.0,343622000.0
Net PPE,2952478000.0,2602067000.0,2416111000.0,2060174000.0
Accumulated Depreciation,-978224000.0,-842362000.0,-730772000.0,-624541000.0
Gross PPE,2952478000.0,2602067000.0,2416111000.0,2060174000.0
Other Properties,2952478000.0,2602067000.0,2416111000.0,2060174000.0
Machinery Furniture Equipment,670742000.0,592349000.0,472720000.0,397969000.0
Buildings And Improvements,1339820000.0,1209331000.0,1126414000.0,932976000.0
Land And Improvements,1812001000.0,1526446000.0,1428262000.0,1235315000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,3262604000.0,2202455000.0,1702611000.0,963759000.0
Other Current Assets,26310000.0,18731000.0,14294000.0,15330000.0
Current Deferred Assets,123725000.0,112242000.0,94449000.0,73684000.0
Prepaid Assets,,18731000.0,14294000.0,15330000.0
Inventory,39973000.0,58791000.0,44968000.0,20080000.0
Receivables,708612000.0,628455000.0,500640000.0,376947000.0
Receivables Adjustments Allowances,-8640000.0,-6577000.0,-5636000.0,-6390000.0
Other Receivables,553595000.0,447907000.0,389015000.0,262316000.0
Taxes Receivable,6574000.0,49882000.0,20012000.0,26740000.0
Accounts Receivable,702038000.0,578573000.0,480628000.0,350207000.0
Cash Cash Equivalents And Short Term Investments,2363984000.0,1384236000.0,1048260000.0,477718000.0
Other Short Term Investments,1406589000.0,,,
Cash And Cash Equivalents,957395000.0,1384236000.0,1048260000.0,477718000.0
