,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Ordinary Shares Number,235777000.0,230706000.0,223724000.0,212948000.0
Share Issued,235777000.0,230706000.0,223724000.0,212948000.0
Total Debt,783618000.0,774716000.0,778992000.0,
Tangible Book Value,946107000.0,511983000.0,771331000.0,733858000.0
Invested Capital,2204646000.0,1765281000.0,1608603000.0,742107000.0
Working Capital,1531195000.0,1164122000.0,1428721000.0,678540000.0
Net Tangible Assets,946107000.0,511983000.0,771331000.0,733858000.0
Capital Lease Obligations,42613000.0,35199000.0,40963000.0,
Common Stock Equity,1463641000.0,1025764000.0,870574000.0,742107000.0
Total Capitalization,2204646000.0,1765281000.0,1608603000.0,742107000.0
Total Equity Gross Minority Interest,1487434000.0,1037643000.0,871874000.0,742607000.0
Minority Interest,23793000.0,11879000.0,1300000.0,500000.0
Stockholders Equity,1463641000.0,1025764000.0,870574000.0,742107000.0
Gains Losses Not Affecting Retained Earnings,-1019000.0,-1240000.0,2319000.0,1009000.0
Other Equity Adjustments,-1019000.0,-1240000.0,2319000.0,1009000.0
Retained Earnings,-1148163000.0,-964918000.0,-730116000.0,-637487000.0
Additional Paid In Capital,2612705000.0,1991807000.0,1598259000.0,1378479000.0
Capital Stock,118000.0,115000.0,112000.0,106000.0
Common Stock,118000.0,115000.0,112000.0,106000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,3539106000.0,2580738000.0,1860659000.0,662299000.0
Total Non Current Liabilities Net Minority Interest,1430034000.0,1173908000.0,997106000.0,169203000.0
Other Non Current Liabilities,31833000.0,16193000.0,17184000.0,11020000.0
Preferred Securities Outside Stock Equity,,,,0.0
Non Current Deferred Liabilities,627629000.0,392819000.0,209907000.0,158183000.0
Non Current Deferred Revenue,627629000.0,392819000.0,209907000.0,158183000.0
Long Term Debt And Capital Lease Obligation,770572000.0,764896000.0,770015000.0,
Long Term Capital Lease Obligation,29567000.0,25379000.0,31986000.0,
Long Term Debt,741005000.0,739517000.0,738029000.0,
Current Liabilities,2109072000.0,1406830000.0,863553000.0,493096000.0
Other Current Liabilities,16519000.0,24929000.0,17499000.0,11601000.0
Current Deferred Liabilities,1727484000.0,1136502000.0,701988000.0,412985000.0
Current Deferred Revenue,1727484000.0,1136502000.0,701988000.0,412985000.0
Current Debt And Capital Lease Obligation,13046000.0,9820000.0,8977000.0,
Current Capital Lease Obligation,13046000.0,9820000.0,8977000.0,
Pensionand Other Post Retirement Benefit Plans Current,17475000.0,14764000.0,10969000.0,6560000.0
Payables And Accrued Expenses,352023000.0,235579000.0,135089000.0,68510000.0
Current Accrued Expenses,306651000.0,187945000.0,123024000.0,67165000.0
Interest Payable,10375000.0,10375000.0,,
Payables,45372000.0,47634000.0,12065000.0,1345000.0
Total Tax Payable,,10695000.0,,
Income Tax Payable,,5781000.0,,
Accounts Payable,45372000.0,47634000.0,12065000.0,1345000.0
Total Assets,5026540000.0,3618381000.0,2732533000.0,1404906000.0
Total Non Current Assets,1386273000.0,1047429000.0,440259000.0,233270000.0
Other Non Current Assets,28965000.0,25346000.0,17112000.0,16708000.0
Non Current Deferred Assets,260233000.0,192358000.0,117906000.0,71235000.0
Investments And Advances,47270000.0,23632000.0,2500000.0,1000000.0
Other Investments,47270000.0,23632000.0,2500000.0,1000000.0
Investmentin Financial Assets,47270000.0,23632000.0,2500000.0,1000000.0
Available For Sale Securities,47270000.0,23632000.0,2500000.0,1000000.0
Goodwill And Other Intangible Assets,517534000.0,513781000.0,99243000.0,8249000.0
Other Intangible Assets,86889000.0,97336000.0,15677000.0,527000.0
Goodwill,430645000.0,416445000.0,83566000.0,7722000.0
Net PPE,532271000.0,292312000.0,203498000.0,136078000.0
Accumulated Depreciation,-216279000.0,-141778000.0,-88534000.0,-49664000.0
Gross PPE,532271000.0,292312000.0,203498000.0,185742000.0
Leases,24944000.0,22029000.0,19733000.0,13157000.0
Construction In Progress,259013000.0,99030000.0,35528000.0,47626000.0
Other Properties,532271000.0,260577000.0,167014000.0,
Machinery Furniture Equipment,424657000.0,281296000.0,200287000.0,124959000.0
Buildings And Improvements,39936000.0,31735000.0,36484000.0,
Properties,0.0,0.0,0.0,0.0
Current Assets,3640267000.0,2570952000.0,2292274000.0,1171636000.0
Other Current Assets,121862000.0,79352000.0,53617000.0,51614000.0
Current Deferred Assets,186855000.0,126822000.0,80850000.0,42971000.0
Prepaid Assets,,79352000.0,53617000.0,51614000.0
Receivables,626181000.0,368145000.0,239199000.0,164987000.0
Accounts Receivable,626181000.0,368145000.0,239199000.0,164987000.0
Allowance For Doubtful Accounts Receivable,-2600000.0,-1600000.0,-1200000.0,-1100000.0
Gross Accounts Receivable,628781000.0,369745000.0,240399000.0,166087000.0
Cash Cash Equivalents And Short Term Investments,2705369000.0,1996633000.0,1918608000.0,912064000.0
Other Short Term Investments,250000000.0,,0.0,647266000.0
Cash And Cash Equivalents,2455369000.0,1996633000.0,1918608000.0,264798000.0
Cash Equivalents,1600000000.0,,,
Cash Financial,855369000.0,,,
