,2023-07-31,2022-07-31,2021-07-31,2020-07-31
Ordinary Shares Number,4066000000.0,4110000000.0,4217000000.0,4237000000.0
Share Issued,4066000000.0,4110000000.0,4217000000.0,4237000000.0
Net Debt,,2436000000.0,2351000000.0,2774000000.0
Total Debt,8391000000.0,9515000000.0,11526000000.0,14583000000.0
Tangible Book Value,4000000000.0,-1100000000.0,-512000000.0,2538000000.0
Invested Capital,8391000000.0,9515000000.0,11526000000.0,14583000000.0
Working Capital,12039000000.0,11077000000.0,12855000000.0,18242000000.0
Net Tangible Assets,4000000000.0,-1100000000.0,-512000000.0,2538000000.0
Common Stock Equity,44353000000.0,39773000000.0,41275000000.0,37920000000.0
Total Capitalization,51011000000.0,48189000000.0,50293000000.0,49498000000.0
Total Equity Gross Minority Interest,44353000000.0,39773000000.0,41275000000.0,37920000000.0
Stockholders Equity,44353000000.0,39773000000.0,41275000000.0,37920000000.0
Gains Losses Not Affecting Retained Earnings,-1575000000.0,-1622000000.0,-417000000.0,-519000000.0
Other Equity Adjustments,-1575000000.0,-1622000000.0,-417000000.0,-519000000.0
Retained Earnings,1639000000.0,-1319000000.0,-654000000.0,-2763000000.0
Capital Stock,44289000000.0,42714000000.0,42346000000.0,41202000000.0
Common Stock,44289000000.0,42714000000.0,42346000000.0,41202000000.0
Preferred Stock,0.0,0.0,,
Total Liabilities Net Minority Interest,57499000000.0,54229000000.0,56222000000.0,56933000000.0
Total Non Current Liabilities Net Minority Interest,26190000000.0,28589000000.0,29965000000.0,31602000000.0
Other Non Current Liabilities,2134000000.0,1968000000.0,2393000000.0,2147000000.0
Tradeand Other Payables Non Current,5756000000.0,7725000000.0,8538000000.0,8837000000.0
Non Current Deferred Liabilities,11642000000.0,10480000000.0,10016000000.0,9040000000.0
Non Current Deferred Revenue,11642000000.0,10480000000.0,10016000000.0,9040000000.0
Long Term Debt And Capital Lease Obligation,6658000000.0,8416000000.0,9018000000.0,11578000000.0
Long Term Debt,6658000000.0,8416000000.0,9018000000.0,11578000000.0
Current Liabilities,31309000000.0,25640000000.0,26257000000.0,25331000000.0
Other Current Liabilities,5136000000.0,5199000000.0,4620000000.0,4741000000.0
Current Deferred Liabilities,13908000000.0,12784000000.0,12148000000.0,11406000000.0
Current Deferred Revenue,13908000000.0,12784000000.0,12148000000.0,11406000000.0
Current Debt And Capital Lease Obligation,1733000000.0,1099000000.0,2508000000.0,3005000000.0
Current Debt,1733000000.0,1099000000.0,2508000000.0,3005000000.0
Other Current Borrowings,1733000000.0,499000000.0,2508000000.0,3005000000.0
Commercial Paper,0.0,600000000.0,,
Pensionand Other Post Retirement Benefit Plans Current,3984000000.0,3316000000.0,3818000000.0,3122000000.0
Payables And Accrued Expenses,6548000000.0,3242000000.0,3163000000.0,3057000000.0
Payables,6548000000.0,3242000000.0,3163000000.0,3057000000.0
Total Tax Payable,4235000000.0,961000000.0,801000000.0,839000000.0
Income Tax Payable,4235000000.0,961000000.0,801000000.0,839000000.0
Accounts Payable,2313000000.0,2281000000.0,2362000000.0,2218000000.0
Total Assets,101852000000.0,94002000000.0,97497000000.0,94853000000.0
Total Non Current Assets,58504000000.0,57285000000.0,58385000000.0,51280000000.0
Other Non Current Assets,6007000000.0,5957000000.0,5016000000.0,3741000000.0
Non Current Deferred Assets,6576000000.0,4449000000.0,4360000000.0,3990000000.0
Non Current Deferred Taxes Assets,6576000000.0,4449000000.0,4360000000.0,3990000000.0
Non Current Note Receivables,,2380000000.0,2745000000.0,
Non Current Accounts Receivable,3483000000.0,4009000000.0,4884000000.0,5714000000.0
Goodwill And Other Intangible Assets,40353000000.0,40873000000.0,41787000000.0,35382000000.0
Other Intangible Assets,1818000000.0,2569000000.0,3619000000.0,1576000000.0
Goodwill,38535000000.0,38304000000.0,38168000000.0,33806000000.0
Net PPE,2085000000.0,1997000000.0,2338000000.0,2453000000.0
Accumulated Depreciation,-7973000000.0,-8168000000.0,-8580000000.0,-8561000000.0
Gross PPE,10058000000.0,10165000000.0,10918000000.0,11014000000.0
Other Properties,4746000000.0,4832000000.0,5379000000.0,5500000000.0
Machinery Furniture Equipment,1083000000.0,1114000000.0,1235000000.0,1262000000.0
Properties,4229000000.0,4219000000.0,4304000000.0,4252000000.0
Current Assets,43348000000.0,36717000000.0,39112000000.0,43573000000.0
Other Current Assets,4352000000.0,4355000000.0,2889000000.0,2349000000.0
Inventory,3644000000.0,2568000000.0,1559000000.0,1282000000.0
Other Inventories,16000000.0,10000000.0,11000000.0,16000000.0
Finished Goods,1493000000.0,717000000.0,519000000.0,601000000.0
Work In Process,264000000.0,150000000.0,54000000.0,25000000.0
Raw Materials,1871000000.0,1691000000.0,975000000.0,640000000.0
Receivables,9206000000.0,10527000000.0,10146000000.0,10523000000.0
Other Receivables,3352000000.0,3905000000.0,4380000000.0,5051000000.0
Loans Receivable,,2176000000.0,2372000000.0,
Accounts Receivable,5854000000.0,6622000000.0,5766000000.0,5472000000.0
Allowance For Doubtful Accounts Receivable,-85000000.0,-83000000.0,-109000000.0,-143000000.0
Gross Accounts Receivable,5939000000.0,6705000000.0,5875000000.0,5615000000.0
Cash Cash Equivalents And Short Term Investments,26146000000.0,19267000000.0,24518000000.0,29419000000.0
Other Short Term Investments,16023000000.0,12188000000.0,15343000000.0,17610000000.0
Cash And Cash Equivalents,10123000000.0,7079000000.0,9175000000.0,11809000000.0
