,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,406671000.0,394936000.0,394140000.0,366680000.0
Share Issued,406671000.0,394936000.0,394140000.0,366680000.0
Total Debt,1105580000.0,1121626000.0,1143586000.0,163390000.0
Tangible Book Value,4226056000.0,2954995000.0,2712615000.0,1102377000.0
Invested Capital,989210000.0,987944000.0,986715000.0,3405593000.0
Working Capital,4813252000.0,3649436000.0,3557662000.0,992109000.0
Net Tangible Assets,4226056000.0,2954995000.0,2712615000.0,1102377000.0
Capital Lease Obligations,116370000.0,133682000.0,156871000.0,163390000.0
Common Stock Equity,6870121000.0,5711672000.0,5375359000.0,3405593000.0
Total Capitalization,7859331000.0,6699616000.0,6362074000.0,3405593000.0
Total Equity Gross Minority Interest,6870121000.0,5711672000.0,5375359000.0,3405593000.0
Stockholders Equity,6870121000.0,5711672000.0,5375359000.0,3405593000.0
Gains Losses Not Affecting Retained Earnings,-29075000.0,-5758000.0,-889000.0,-8585000.0
Retained Earnings,1829619000.0,1460166000.0,1167602000.0,940474000.0
Additional Paid In Capital,5065511000.0,4253318000.0,4208252000.0,2473338000.0
Capital Stock,4066000.0,3946000.0,394000.0,366000.0
Common Stock,4066000.0,3946000.0,394000.0,366000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,1532349000.0,1545199000.0,1540061000.0,448393000.0
Total Non Current Liabilities Net Minority Interest,1159734000.0,1206510000.0,1209211000.0,241337000.0
Tradeand Other Payables Non Current,14001000.0,12496000.0,25282000.0,20521000.0
Non Current Deferred Liabilities,76202000.0,98656000.0,72991000.0,87096000.0
Non Current Deferred Revenue,,,,0.0
Non Current Deferred Taxes Liabilities,76202000.0,98656000.0,72991000.0,87096000.0
Long Term Debt And Capital Lease Obligation,1069531000.0,1095358000.0,1110938000.0,133720000.0
Long Term Capital Lease Obligation,80321000.0,107414000.0,124223000.0,133720000.0
Long Term Debt,989210000.0,987944000.0,986715000.0,
Current Liabilities,372615000.0,338689000.0,330850000.0,207056000.0
Current Deferred Liabilities,103567000.0,95471000.0,74851000.0,67274000.0
Current Deferred Revenue,103567000.0,95471000.0,74851000.0,67274000.0
Current Debt And Capital Lease Obligation,36049000.0,26268000.0,32648000.0,29670000.0
Current Capital Lease Obligation,36049000.0,26268000.0,32648000.0,29670000.0
Payables And Accrued Expenses,232999000.0,216950000.0,223351000.0,110112000.0
Current Accrued Expenses,194101000.0,163470000.0,191303000.0,91767000.0
Payables,38898000.0,53480000.0,32048000.0,18345000.0
Total Tax Payable,10438000.0,31236000.0,16316000.0,10705000.0
Income Tax Payable,10438000.0,31236000.0,16316000.0,10705000.0
Accounts Payable,28460000.0,22244000.0,15732000.0,7640000.0
Total Assets,8402470000.0,7256871000.0,6915420000.0,3853986000.0
Total Non Current Assets,3216603000.0,3268746000.0,3026908000.0,2654821000.0
Other Non Current Assets,16687000.0,,,
Non Current Prepaid Assets,16687000.0,21762000.0,15856000.0,9232000.0
Non Current Deferred Assets,152204000.0,106913000.0,98257000.0,94782000.0
Non Current Deferred Taxes Assets,9722000.0,5034000.0,4983000.0,5408000.0
Non Current Accounts Receivable,2005000.0,11283000.0,14986000.0,14908000.0
Investments And Advances,,,0.0,10070000.0
Goodwill And Other Intangible Assets,2644065000.0,2756677000.0,2662744000.0,2303216000.0
Other Intangible Assets,329306000.0,435662000.0,426745000.0,421196000.0
Goodwill,2314759000.0,2321015000.0,2235999000.0,1882020000.0
Net PPE,401642000.0,372111000.0,235065000.0,222613000.0
Accumulated Depreciation,-85587000.0,-85862000.0,-166153000.0,-135761000.0
Gross PPE,401642000.0,372111000.0,235065000.0,222613000.0
Leases,108901000.0,75634000.0,80963000.0,73918000.0
Other Properties,401642000.0,372111000.0,235065000.0,222613000.0
Machinery Furniture Equipment,140649000.0,146389000.0,183903000.0,169372000.0
Buildings And Improvements,105060000.0,96496000.0,2970000.0,
Properties,0.0,0.0,0.0,0.0
Current Assets,5185867000.0,3988125000.0,3888512000.0,1199165000.0
Other Current Assets,63952000.0,,,
Restricted Cash,,0.0,62099000.0,
Prepaid Assets,,36182000.0,28651000.0,36194000.0
Receivables,153945000.0,124817000.0,103949000.0,92240000.0
Accounts Receivable,153945000.0,124817000.0,103949000.0,92240000.0
Allowance For Doubtful Accounts Receivable,-12195000.0,-13374000.0,-15110000.0,-5097000.0
Gross Accounts Receivable,166140000.0,138191000.0,119059000.0,97337000.0
Cash Cash Equivalents And Short Term Investments,4967970000.0,3827126000.0,3755912000.0,1070731000.0
Cash And Cash Equivalents,4967970000.0,3827126000.0,3755912000.0,1070731000.0
