,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,2066000000.0,2202000000.0,2289000000.0,2319000000.0
Share Issued,2066000000.0,2202000000.0,2289000000.0,2319000000.0
Net Debt,16089000000.0,14127000000.0,13576000000.0,15280000000.0
Total Debt,18047000000.0,16366000000.0,16705000000.0,16238000000.0
Tangible Book Value,12625000000.0,13500000000.0,13110000000.0,11863000000.0
Invested Capital,18047000000.0,16366000000.0,16705000000.0,16238000000.0
Working Capital,1378000000.0,1640000000.0,2422000000.0,1127000000.0
Net Tangible Assets,12625000000.0,13500000000.0,13110000000.0,11863000000.0
Capital Lease Obligations,488000000.0,478000000.0,455000000.0,493000000.0
Common Stock Equity,12625000000.0,13500000000.0,13110000000.0,11863000000.0
Total Capitalization,30521000000.0,29685000000.0,29414000000.0,27856000000.0
Total Equity Gross Minority Interest,12625000000.0,13500000000.0,13110000000.0,11863000000.0
Minority Interest,10000000.0,10000000.0,9000000.0,15000000.0
Stockholders Equity,12625000000.0,13500000000.0,13110000000.0,11863000000.0
Gains Losses Not Affecting Retained Earnings,-388000000.0,-408000000.0,-598000000.0,-675000000.0
Other Equity Adjustments,-388000000.0,-408000000.0,-598000000.0,-675000000.0
Retained Earnings,10363000000.0,11630000000.0,12527000000.0,11404000000.0
Additional Paid In Capital,574000000.0,66000000.0,409000000.0,346000000.0
Capital Stock,2066000000.0,2202000000.0,763000000.0,773000000.0
Common Stock,2066000000.0,2202000000.0,763000000.0,773000000.0
Total Liabilities Net Minority Interest,29287000000.0,27031000000.0,26683000000.0,26394000000.0
Total Non Current Liabilities Net Minority Interest,26816000000.0,24798000000.0,24664000000.0,24243000000.0
Other Non Current Liabilities,1351000000.0,1230000000.0,1192000000.0,1289000000.0
Non Current Deferred Liabilities,7569000000.0,7383000000.0,7168000000.0,6961000000.0
Non Current Deferred Taxes Liabilities,7569000000.0,7383000000.0,7168000000.0,6961000000.0
Long Term Debt And Capital Lease Obligation,17896000000.0,16185000000.0,16304000000.0,15993000000.0
Long Term Capital Lease Obligation,488000000.0,478000000.0,455000000.0,493000000.0
Long Term Debt,17896000000.0,16185000000.0,16304000000.0,15993000000.0
Long Term Provisions,292000000.0,250000000.0,224000000.0,205000000.0
Current Liabilities,2471000000.0,2233000000.0,2019000000.0,2151000000.0
Other Current Liabilities,2320000000.0,2052000000.0,1618000000.0,1906000000.0
Current Debt And Capital Lease Obligation,151000000.0,181000000.0,401000000.0,245000000.0
Current Debt,151000000.0,181000000.0,401000000.0,245000000.0
Current Provisions,144000000.0,118000000.0,90000000.0,100000000.0
Payables And Accrued Expenses,1948000000.0,1727000000.0,1364000000.0,1601000000.0
Payables,1948000000.0,1727000000.0,1364000000.0,1601000000.0
Other Payable,707000000.0,630000000.0,482000000.0,489000000.0
Total Tax Payable,111000000.0,134000000.0,73000000.0,69000000.0
Accounts Payable,1130000000.0,963000000.0,809000000.0,1043000000.0
Total Assets,41912000000.0,40531000000.0,39793000000.0,38257000000.0
Total Non Current Assets,38063000000.0,36658000000.0,35352000000.0,34979000000.0
Other Non Current Assets,1529000000.0,1544000000.0,923000000.0,932000000.0
Investments And Advances,2292000000.0,2099000000.0,1985000000.0,1879000000.0
Long Term Equity Investment,2292000000.0,2099000000.0,1985000000.0,1879000000.0
Investmentsin Joint Venturesat Cost,,,,982000000.0
Investmentsin Associatesat Cost,,2099000000.0,1985000000.0,1879000000.0
Goodwill And Other Intangible Assets,502000000.0,451000000.0,,
Other Intangible Assets,183000000.0,175000000.0,,
Goodwill,319000000.0,276000000.0,,
Net PPE,34242000000.0,33015000000.0,32444000000.0,32168000000.0
Accumulated Depreciation,-13863000000.0,-13490000000.0,-13086000000.0,-12932000000.0
Gross PPE,34242000000.0,33015000000.0,32444000000.0,32168000000.0
Construction In Progress,745000000.0,419000000.0,371000000.0,431000000.0
Other Properties,25364000000.0,24525000000.0,36166000000.0,32657000000.0
Machinery Furniture Equipment,,,,10708000000.0
Buildings And Improvements,4405000000.0,4182000000.0,,
Land And Improvements,2272000000.0,1885000000.0,1823000000.0,1836000000.0
Properties,34242000000.0,33015000000.0,32444000000.0,32168000000.0
Current Assets,3849000000.0,3873000000.0,4441000000.0,3278000000.0
Other Current Assets,1762000000.0,1557000000.0,1310000000.0,1324000000.0
Inventory,341000000.0,339000000.0,302000000.0,261000000.0
Receivables,1313000000.0,1148000000.0,912000000.0,986000000.0
Receivables Adjustments Allowances,,,-12000000.0,-9000000.0
Other Receivables,262000000.0,211000000.0,212000000.0,217000000.0
Accounts Receivable,1051000000.0,937000000.0,700000000.0,769000000.0
Allowance For Doubtful Accounts Receivable,-16000000.0,-14000000.0,-16000000.0,-21000000.0
Gross Accounts Receivable,1067000000.0,951000000.0,716000000.0,790000000.0
Cash Cash Equivalents And Short Term Investments,2087000000.0,2316000000.0,3131000000.0,1954000000.0
Other Short Term Investments,129000000.0,77000000.0,2000000.0,996000000.0
Cash And Cash Equivalents,1958000000.0,2239000000.0,3129000000.0,958000000.0
