,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,509000000.0,525000000.0,530000000.0,548000000.0
Share Issued,509000000.0,525000000.0,530000000.0,548000000.0
Total Debt,1534000000.0,1642000000.0,1758000000.0,1685000000.0
Tangible Book Value,5431000000.0,5153000000.0,4759000000.0,6002000000.0
Invested Capital,12955000000.0,12655000000.0,11537000000.0,11760000000.0
Working Capital,3919000000.0,3813000000.0,3311000000.0,4628000000.0
Net Tangible Assets,5431000000.0,5153000000.0,4759000000.0,6002000000.0
Capital Lease Obligations,888000000.0,978000000.0,1057000000.0,947000000.0
Common Stock Equity,12309000000.0,11991000000.0,10836000000.0,11022000000.0
Total Capitalization,12947000000.0,12617000000.0,11499000000.0,11722000000.0
Total Equity Gross Minority Interest,12309000000.0,11991000000.0,10836000000.0,11022000000.0
Stockholders Equity,12309000000.0,11991000000.0,10836000000.0,11022000000.0
Gains Losses Not Affecting Retained Earnings,-299000000.0,37000000.0,110000000.0,-38000000.0
Other Equity Adjustments,-299000000.0,37000000.0,110000000.0,-38000000.0
Retained Earnings,12588000000.0,11922000000.0,10689000000.0,11022000000.0
Additional Paid In Capital,15000000.0,27000000.0,32000000.0,33000000.0
Capital Stock,5000000.0,5000000.0,5000000.0,5000000.0
Common Stock,5000000.0,5000000.0,5000000.0,5000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,5543000000.0,5861000000.0,6087000000.0,5182000000.0
Total Non Current Liabilities Net Minority Interest,2196000000.0,2332000000.0,2547000000.0,2199000000.0
Other Non Current Liabilities,362000000.0,287000000.0,368000000.0,218000000.0
Tradeand Other Payables Non Current,283000000.0,378000000.0,428000000.0,478000000.0
Non Current Deferred Liabilities,199000000.0,258000000.0,242000000.0,58000000.0
Non Current Deferred Revenue,19000000.0,40000000.0,36000000.0,23000000.0
Non Current Deferred Taxes Liabilities,180000000.0,218000000.0,206000000.0,35000000.0
Long Term Debt And Capital Lease Obligation,1352000000.0,1409000000.0,1509000000.0,1445000000.0
Long Term Capital Lease Obligation,714000000.0,783000000.0,846000000.0,745000000.0
Long Term Debt,638000000.0,626000000.0,663000000.0,700000000.0
Current Liabilities,3347000000.0,3529000000.0,3540000000.0,2983000000.0
Other Current Liabilities,357000000.0,395000000.0,462000000.0,388000000.0
Current Deferred Liabilities,398000000.0,403000000.0,383000000.0,313000000.0
Current Deferred Revenue,398000000.0,403000000.0,383000000.0,313000000.0
Current Debt And Capital Lease Obligation,182000000.0,233000000.0,249000000.0,240000000.0
Current Capital Lease Obligation,174000000.0,195000000.0,211000000.0,202000000.0
Current Debt,8000000.0,38000000.0,38000000.0,38000000.0
Other Current Borrowings,8000000.0,38000000.0,38000000.0,38000000.0
Pensionand Other Post Retirement Benefit Plans Current,1446000000.0,1601000000.0,1607000000.0,1239000000.0
Payables And Accrued Expenses,2767000000.0,2893000000.0,2908000000.0,2430000000.0
Current Accrued Expenses,2407000000.0,2532000000.0,2519000000.0,2191000000.0
Payables,360000000.0,361000000.0,389000000.0,239000000.0
Total Tax Payable,217000000.0,74000000.0,34000000.0,152000000.0
Income Tax Payable,217000000.0,74000000.0,34000000.0,152000000.0
Accounts Payable,360000000.0,361000000.0,389000000.0,239000000.0
Total Assets,17852000000.0,17852000000.0,16923000000.0,16204000000.0
Total Non Current Assets,10586000000.0,10510000000.0,10072000000.0,8593000000.0
Other Non Current Assets,662000000.0,701000000.0,846000000.0,736000000.0
Non Current Deferred Assets,642000000.0,404000000.0,445000000.0,585000000.0
Non Current Deferred Taxes Assets,642000000.0,404000000.0,445000000.0,585000000.0
Investments And Advances,427000000.0,463000000.0,440000000.0,17000000.0
Other Investments,70000000.0,,,
Goodwill And Other Intangible Assets,6878000000.0,6838000000.0,6077000000.0,5020000000.0
Other Intangible Assets,1168000000.0,1218000000.0,1046000000.0,1041000000.0
Goodwill,5710000000.0,5620000000.0,5031000000.0,3979000000.0
Net PPE,1977000000.0,2104000000.0,2264000000.0,2235000000.0
Accumulated Depreciation,-2716000000.0,-2496000000.0,-2322000000.0,-2042000000.0
Gross PPE,1977000000.0,2104000000.0,2264000000.0,2235000000.0
Leases,398000000.0,431000000.0,424000000.0,379000000.0
Construction In Progress,111000000.0,116000000.0,122000000.0,133000000.0
Other Properties,1977000000.0,2104000000.0,2264000000.0,2235000000.0
Machinery Furniture Equipment,2530000000.0,2336000000.0,2237000000.0,2038000000.0
Buildings And Improvements,771000000.0,777000000.0,783000000.0,790000000.0
Land And Improvements,7000000.0,7000000.0,7000000.0,11000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,7266000000.0,7342000000.0,6851000000.0,7611000000.0
Other Current Assets,969000000.0,1066000000.0,1040000000.0,931000000.0
Receivables,3796000000.0,3557000000.0,3087000000.0,3256000000.0
Accounts Receivable,3796000000.0,3557000000.0,3087000000.0,3256000000.0
Allowance For Doubtful Accounts Receivable,-43000000.0,-50000000.0,-57000000.0,-67000000.0
Gross Accounts Receivable,3839000000.0,3607000000.0,3144000000.0,3323000000.0
Cash Cash Equivalents And Short Term Investments,2501000000.0,2719000000.0,2724000000.0,3424000000.0
Other Short Term Investments,310000000.0,927000000.0,44000000.0,779000000.0
Cash And Cash Equivalents,2191000000.0,1792000000.0,2680000000.0,2645000000.0
