,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Ordinary Shares Number,221222984.0,225100198.0,233383199.0,236726563.0
Share Issued,221222984.0,225100198.0,233383199.0,236726563.0
Net Debt,2778800000.0,2432100000.0,1809500000.0,3233000000.0
Total Debt,10126500000.0,9970300000.0,9639900000.0,10031000000.0
Tangible Book Value,3668400000.0,2634100000.0,2200900000.0,1171500000.0
Invested Capital,3421600000.0,3417000000.0,3226200000.0,3772200000.0
Working Capital,2141900000.0,1432600000.0,1320500000.0,722900000.0
Net Tangible Assets,3668400000.0,2634100000.0,2200900000.0,1171500000.0
Capital Lease Obligations,6704900000.0,6553300000.0,6413700000.0,6258800000.0
Common Stock Equity,8751500000.0,7718500000.0,7285300000.0,6254800000.0
Total Capitalization,12173100000.0,11135500000.0,10511500000.0,9777000000.0
Total Equity Gross Minority Interest,8751500000.0,7718500000.0,7285300000.0,6254800000.0
Stockholders Equity,8751500000.0,7718500000.0,7285300000.0,6254800000.0
Gains Losses Not Affecting Retained Earnings,-41200000.0,-35200000.0,-35200000.0,-39800000.0
Other Equity Adjustments,-41200000.0,-35200000.0,-35200000.0,-39800000.0
Retained Earnings,8123000000.0,6507600000.0,5179700000.0,3837800000.0
Additional Paid In Capital,667500000.0,1243900000.0,2138500000.0,2454400000.0
Capital Stock,2200000.0,2200000.0,2300000.0,2400000.0
Common Stock,2200000.0,2200000.0,2300000.0,2400000.0
Total Liabilities Net Minority Interest,14270600000.0,14003300000.0,13410700000.0,13319800000.0
Total Non Current Liabilities Net Minority Interest,10045400000.0,9826700000.0,9680400000.0,9773300000.0
Other Non Current Liabilities,245400000.0,256100000.0,352600000.0,258000000.0
Tradeand Other Payables Non Current,17400000.0,20900000.0,22600000.0,28900000.0
Non Current Deferred Liabilities,1105700000.0,987200000.0,1013500000.0,984700000.0
Non Current Deferred Taxes Liabilities,1105700000.0,987200000.0,1013500000.0,984700000.0
Long Term Debt And Capital Lease Obligation,8676900000.0,8562500000.0,8291700000.0,8501700000.0
Long Term Capital Lease Obligation,5255300000.0,5145500000.0,5065500000.0,4979500000.0
Long Term Debt,3421600000.0,3417000000.0,3226200000.0,3522200000.0
Current Liabilities,4225200000.0,4176600000.0,3730300000.0,3546500000.0
Other Current Liabilities,817700000.0,802000000.0,815300000.0,618000000.0
Current Debt And Capital Lease Obligation,1449600000.0,1407800000.0,1348200000.0,1529300000.0
Current Capital Lease Obligation,1449600000.0,1407800000.0,1348200000.0,1279300000.0
Current Debt,,,,250000000.0
Other Current Borrowings,,,,250000000.0
Pensionand Other Post Retirement Benefit Plans Current,143900000.0,123800000.0,162800000.0,102800000.0
Payables And Accrued Expenses,1957900000.0,1966800000.0,1566800000.0,1399200000.0
Current Accrued Expenses,,95700000.0,72700000.0,51100000.0
Payables,1957900000.0,1966800000.0,1566800000.0,1399200000.0
Total Tax Payable,58100000.0,82600000.0,86300000.0,62700000.0
Income Tax Payable,58100000.0,82600000.0,86300000.0,62700000.0
Accounts Payable,1899800000.0,1884200000.0,1480500000.0,1336500000.0
Total Assets,23022100000.0,21721800000.0,20696000000.0,19574600000.0
Total Non Current Assets,16655000000.0,16112600000.0,15645200000.0,15305200000.0
Other Non Current Assets,126700000.0,105300000.0,97200000.0,90700000.0
Non Current Deferred Assets,15000000.0,20300000.0,23200000.0,24400000.0
Non Current Deferred Taxes Assets,15000000.0,20300000.0,23200000.0,24400000.0
Goodwill And Other Intangible Assets,5083100000.0,5084400000.0,5084400000.0,5083300000.0
Other Intangible Assets,3100000000.0,3100000000.0,3100000000.0,3100000000.0
Goodwill,1983100000.0,1984400000.0,1984400000.0,1983300000.0
Net PPE,11430200000.0,10902600000.0,10440400000.0,10106800000.0
Accumulated Depreciation,-6025400000.0,-5363800000.0,-4765000000.0,-4194100000.0
Gross PPE,11430200000.0,10902600000.0,10440400000.0,10106800000.0
Leases,3227900000.0,2840100000.0,2631700000.0,2335100000.0
Construction In Progress,633800000.0,489000000.0,257500000.0,298600000.0
Other Properties,11430200000.0,10902600000.0,10440400000.0,10106800000.0
Machinery Furniture Equipment,5261700000.0,4704100000.0,4229400000.0,3813200000.0
Buildings And Improvements,1631600000.0,1568200000.0,1524000000.0,1395500000.0
Land And Improvements,242600000.0,239700000.0,238700000.0,233500000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,6367100000.0,5609200000.0,5050800000.0,4269400000.0
Other Current Assets,275000000.0,257000000.0,207100000.0,208200000.0
Inventory,5449300000.0,4367300000.0,3427000000.0,3522000000.0
Finished Goods,5449300000.0,4367300000.0,3427000000.0,3522000000.0
Receivables,,,,113300000.0
Accounts Receivable,,,,113300000.0
Cash Cash Equivalents And Short Term Investments,642800000.0,984900000.0,1416700000.0,539200000.0
Cash And Cash Equivalents,642800000.0,984900000.0,1416700000.0,539200000.0
