,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,6900000.0,3200000.0,3200000.0,3200000.0
Ordinary Shares Number,386300000.0,388000000.0,384400000.0,366400000.0
Share Issued,393200000.0,391200000.0,387600000.0,369600000.0
Net Debt,1328000000.0,650100000.0,849600000.0,613500000.0
Total Debt,2085400000.0,1821800000.0,1839500000.0,1145700000.0
Tangible Book Value,1932800000.0,2183000000.0,1807200000.0,864000000.0
Invested Capital,4102100000.0,3954200000.0,3493700000.0,1942300000.0
Working Capital,1829500000.0,2963600000.0,2810700000.0,1609200000.0
Net Tangible Assets,1932800000.0,2183000000.0,1807200000.0,864000000.0
Capital Lease Obligations,115100000.0,119100000.0,172300000.0,86000000.0
Common Stock Equity,2131800000.0,2251500000.0,1826500000.0,882600000.0
Total Capitalization,3329500000.0,3954200000.0,3493700000.0,1942300000.0
Total Equity Gross Minority Interest,2131800000.0,2251500000.0,1826500000.0,882600000.0
Stockholders Equity,2131800000.0,2251500000.0,1826500000.0,882600000.0
Gains Losses Not Affecting Retained Earnings,-11600000.0,500000.0,3200000.0,2300000.0
Other Equity Adjustments,-11600000.0,500000.0,3200000.0,2300000.0
Treasury Stock,595000000.0,206200000.0,100000000.0,100000000.0
Retained Earnings,479900000.0,-47400000.0,-202100000.0,-695700000.0
Additional Paid In Capital,2258100000.0,2504500000.0,2125300000.0,1675900000.0
Capital Stock,400000.0,100000.0,100000.0,100000.0
Common Stock,400000.0,100000.0,100000.0,100000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,3259900000.0,2612100000.0,2464000000.0,1512400000.0
Total Non Current Liabilities Net Minority Interest,1420600000.0,1891300000.0,1849900000.0,1152200000.0
Other Non Current Liabilities,128300000.0,90000000.0,26900000.0,20100000.0
Tradeand Other Payables Non Current,32700000.0,,,
Non Current Deferred Liabilities,23900000.0,5900000.0,,0.0
Non Current Deferred Revenue,19000000.0,,,
Non Current Deferred Taxes Liabilities,4900000.0,,,
Long Term Debt And Capital Lease Obligation,1292300000.0,1801300000.0,1823000000.0,1132100000.0
Long Term Capital Lease Obligation,94600000.0,98600000.0,155800000.0,72400000.0
Long Term Debt,1197700000.0,1702700000.0,1667200000.0,1059700000.0
Current Liabilities,1839300000.0,720800000.0,614100000.0,360200000.0
Other Current Liabilities,,15000000.0,,
Current Deferred Liabilities,10100000.0,2100000.0,2200000.0,1700000.0
Current Deferred Revenue,10100000.0,2100000.0,2200000.0,1700000.0
Current Debt And Capital Lease Obligation,793100000.0,20500000.0,16500000.0,13600000.0
Current Capital Lease Obligation,20500000.0,20500000.0,16500000.0,13600000.0
Current Debt,772600000.0,,,
Other Current Borrowings,772600000.0,,,
Pensionand Other Post Retirement Benefit Plans Current,37500000.0,33400000.0,,
Payables And Accrued Expenses,1036100000.0,698200000.0,595400000.0,344900000.0
Current Accrued Expenses,134300000.0,125200000.0,416800000.0,88500000.0
Payables,901800000.0,573000000.0,178600000.0,256400000.0
Total Tax Payable,44800000.0,40700000.0,15300000.0,14000000.0
Accounts Payable,901800000.0,573000000.0,163300000.0,256400000.0
Total Assets,5391700000.0,4863600000.0,4290500000.0,2395000000.0
Total Non Current Assets,1722900000.0,1179200000.0,865700000.0,425600000.0
Other Non Current Assets,47100000.0,,21400000.0,14200000.0
Non Current Deferred Assets,341200000.0,220800000.0,216400000.0,
Non Current Deferred Taxes Assets,341200000.0,220800000.0,216400000.0,
Goodwill And Other Intangible Assets,199000000.0,68500000.0,19300000.0,18600000.0
Other Intangible Assets,173300000.0,42000000.0,,
Goodwill,25700000.0,26500000.0,19300000.0,18600000.0
Net PPE,1135600000.0,889900000.0,608600000.0,392800000.0
Accumulated Depreciation,-363200000.0,-231500000.0,-154200000.0,-105000000.0
Gross PPE,1135600000.0,889900000.0,762800000.0,392800000.0
Leases,264400000.0,251600000.0,135800000.0,102500000.0
Construction In Progress,542600000.0,360700000.0,219000000.0,132600000.0
Other Properties,1135600000.0,889900000.0,93300000.0,392800000.0
Machinery Furniture Equipment,530600000.0,356300000.0,249900000.0,175700000.0
Buildings And Improvements,54300000.0,49100000.0,49200000.0,15500000.0
Land And Improvements,26900000.0,15600000.0,15600000.0,
Properties,0.0,0.0,0.0,0.0
Current Assets,3668800000.0,3684400000.0,3424800000.0,1969400000.0
Other Current Assets,192600000.0,81600000.0,53900000.0,30000000.0
Prepaid Assets,116700000.0,81600000.0,53900000.0,30000000.0
Inventory,306700000.0,357300000.0,234700000.0,119800000.0
Finished Goods,130500000.0,195900000.0,150600000.0,43800000.0
Work In Process,17200000.0,16200000.0,14200000.0,11100000.0
Raw Materials,159000000.0,145200000.0,69900000.0,64900000.0
Receivables,713300000.0,514300000.0,428500000.0,286300000.0
Taxes Receivable,38900000.0,,,
Accounts Receivable,713300000.0,514300000.0,428500000.0,286300000.0
Allowance For Doubtful Accounts Receivable,-7300000.0,-5400000.0,-7200000.0,-5800000.0
Gross Accounts Receivable,720600000.0,519700000.0,435700000.0,292100000.0
Cash Cash Equivalents And Short Term Investments,2456200000.0,2731200000.0,2707700000.0,1533300000.0
Other Short Term Investments,1813900000.0,1678600000.0,1890100000.0,1087100000.0
Cash And Cash Equivalents,642300000.0,1052600000.0,817600000.0,446200000.0
