,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,136441000.0,133894000.0,128962000.0,123109000.0
Share Issued,136441000.0,133894000.0,128962000.0,123109000.0
Net Debt,817113000.0,918330000.0,,
Total Debt,1290357000.0,1037646000.0,330865000.0,105543000.0
Tangible Book Value,512473000.0,151156000.0,430402000.0,216850000.0
Invested Capital,1290357000.0,1037646000.0,330865000.0,105543000.0
Working Capital,1626052000.0,1022665000.0,399021000.0,300346000.0
Net Tangible Assets,512473000.0,151156000.0,430402000.0,216850000.0
Capital Lease Obligations,5371000.0,3830000.0,4542000.0,3170000.0
Common Stock Equity,825573000.0,430168000.0,483993000.0,272212000.0
Total Capitalization,2025038000.0,1381762000.0,488891000.0,374871000.0
Total Equity Gross Minority Interest,825573000.0,430168000.0,483993000.0,272212000.0
Stockholders Equity,825573000.0,430168000.0,483993000.0,272212000.0
Gains Losses Not Affecting Retained Earnings,-10882000.0,-2020000.0,434000.0,-923000.0
Other Equity Adjustments,-10882000.0,-2020000.0,434000.0,-923000.0
Retained Earnings,17335000.0,-405737000.0,-51186000.0,-185181000.0
Additional Paid In Capital,819119000.0,837924000.0,534744000.0,458315000.0
Capital Stock,1000.0,1000.0,1000.0,1000.0
Common Stock,1000.0,1000.0,1000.0,1000.0
Preferred Stock,,,,0.0
Total Liabilities Net Minority Interest,2258707000.0,1649088000.0,716109000.0,441011000.0
Total Non Current Liabilities Net Minority Interest,1620488000.0,1209292000.0,182066000.0,241700000.0
Other Non Current Liabilities,43520000.0,16530000.0,17042000.0,11817000.0
Non Current Accrued Expenses,,,,27020000.0
Non Current Deferred Liabilities,281613000.0,187186000.0,125473000.0,100204000.0
Non Current Deferred Revenue,281613000.0,187186000.0,125473000.0,100204000.0
Long Term Debt And Capital Lease Obligation,1199465000.0,951594000.0,4898000.0,102659000.0
Long Term Debt,1199465000.0,951594000.0,4898000.0,102659000.0
Long Term Provisions,95890000.0,53982000.0,34653000.0,27020000.0
Current Liabilities,638219000.0,439796000.0,534043000.0,199311000.0
Current Deferred Liabilities,90747000.0,62670000.0,47665000.0,81783000.0
Current Deferred Revenue,90747000.0,62670000.0,47665000.0,81783000.0
Current Debt And Capital Lease Obligation,90892000.0,86052000.0,325967000.0,2884000.0
Current Capital Lease Obligation,5371000.0,3830000.0,4542000.0,3170000.0
Current Debt,90892000.0,86052000.0,325967000.0,2884000.0
Other Current Borrowings,90892000.0,86052000.0,325967000.0,2884000.0
Pensionand Other Post Retirement Benefit Plans Current,,13062000.0,6634000.0,5524000.0
Current Provisions,35556000.0,19395000.0,11260000.0,10078000.0
Payables And Accrued Expenses,421024000.0,271679000.0,149151000.0,104566000.0
Current Accrued Expenses,295939000.0,157912000.0,76542000.0,47092000.0
Payables,125085000.0,113767000.0,72609000.0,57474000.0
Total Tax Payable,35998000.0,,,
Income Tax Payable,16146000.0,,,
Accounts Payable,125085000.0,113767000.0,72609000.0,57474000.0
Total Assets,3084280000.0,2079256000.0,1200102000.0,713223000.0
Total Non Current Assets,820009000.0,616795000.0,267038000.0,213566000.0
Other Non Current Assets,169291000.0,118726000.0,59875000.0,44620000.0
Non Current Deferred Assets,204872000.0,122470000.0,92904000.0,74531000.0
Non Current Deferred Taxes Assets,204872000.0,122470000.0,92904000.0,74531000.0
Goodwill And Other Intangible Assets,313100000.0,279012000.0,53591000.0,55362000.0
Other Intangible Assets,99541000.0,97758000.0,28808000.0,30579000.0
Goodwill,213559000.0,181254000.0,24783000.0,24783000.0
Net PPE,132746000.0,96587000.0,60668000.0,39053000.0
Accumulated Depreciation,-104089000.0,-77366000.0,-61702000.0,-52095000.0
Gross PPE,132746000.0,96587000.0,60668000.0,39053000.0
Leases,,,9021000.0,8713000.0
Construction In Progress,31734000.0,14332000.0,9747000.0,8446000.0
Other Properties,132746000.0,96587000.0,60668000.0,39053000.0
Machinery Furniture Equipment,167733000.0,37290000.0,22508000.0,15758000.0
Buildings And Improvements,15875000.0,12546000.0,,
Land And Improvements,114000.0,114000.0,,
Properties,0.0,0.0,0.0,0.0
Current Assets,2264271000.0,1462461000.0,933064000.0,499657000.0
Other Current Assets,60824000.0,,,
Restricted Cash,,,0.0,44700000.0
Prepaid Assets,,37784000.0,29756000.0,26079000.0
Inventory,149708000.0,74400000.0,41764000.0,32056000.0
Finished Goods,114730000.0,48971000.0,31624000.0,27859000.0
Raw Materials,34978000.0,25429000.0,10140000.0,4197000.0
Receivables,440896000.0,333626000.0,182165000.0,145413000.0
Accounts Receivable,440896000.0,333626000.0,182165000.0,145413000.0
Allowance For Doubtful Accounts Receivable,-979000.0,-1590000.0,-462000.0,-564000.0
Gross Accounts Receivable,441875000.0,335216000.0,182627000.0,145977000.0
Cash Cash Equivalents And Short Term Investments,1612843000.0,1016651000.0,679379000.0,251409000.0
Other Short Term Investments,1139599000.0,897335000.0,,
Cash And Cash Equivalents,473244000.0,119316000.0,679379000.0,251409000.0
