,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,2000000.0,2000000.0,2000000.0,2000000.0
Ordinary Shares Number,994000000.0,979000000.0,976000000.0,973000000.0
Share Issued,996000000.0,981000000.0,978000000.0,975000000.0
Net Debt,39643000000.0,33868000000.0,38670000000.0,37212000000.0
Total Debt,40050000000.0,34540000000.0,39333000000.0,37799000000.0
Tangible Book Value,18114000000.0,27763000000.0,25908000000.0,25547000000.0
Invested Capital,64794000000.0,68933000000.0,71918000000.0,70023000000.0
Working Capital,-3275000000.0,-2154000000.0,-209000000.0,-2148000000.0
Net Tangible Assets,18114000000.0,27763000000.0,25908000000.0,25547000000.0
Common Stock Equity,24744000000.0,34393000000.0,32585000000.0,32224000000.0
Total Capitalization,60406000000.0,65532000000.0,68068000000.0,63943000000.0
Total Equity Gross Minority Interest,24744000000.0,34795000000.0,34868000000.0,34573000000.0
Minority Interest,0.0,402000000.0,2283000000.0,2349000000.0
Stockholders Equity,24744000000.0,34393000000.0,32585000000.0,32224000000.0
Gains Losses Not Affecting Retained Earnings,-638000000.0,-2750000000.0,-3400000000.0,-3194000000.0
Other Equity Adjustments,-638000000.0,-2750000000.0,-3400000000.0,-3194000000.0
Treasury Stock,123000000.0,123000000.0,123000000.0,123000000.0
Retained Earnings,4597000000.0,16942000000.0,16735000000.0,16267000000.0
Capital Stock,20908000000.0,20324000000.0,19373000000.0,19274000000.0
Common Stock,20908000000.0,20324000000.0,19373000000.0,19274000000.0
Total Liabilities Net Minority Interest,70605000000.0,98218000000.0,94449000000.0,90404000000.0
Total Non Current Liabilities Net Minority Interest,59994000000.0,82107000000.0,81678000000.0,76219000000.0
Other Non Current Liabilities,1967000000.0,1573000000.0,4150000000.0,4263000000.0
Liabilities Heldfor Sale Non Current,0.0,25676000000.0,,
Derivative Product Liabilities,83000000.0,201000000.0,473000000.0,393000000.0
Employee Benefits,1616000000.0,2862000000.0,6514000000.0,6323000000.0
Non Current Pension And Other Postretirement Benefit Plans,1616000000.0,2862000000.0,6514000000.0,6323000000.0
Non Current Deferred Liabilities,11285000000.0,10757000000.0,13273000000.0,12689000000.0
Non Current Deferred Revenue,35000000.0,146000000.0,238000000.0,338000000.0
Non Current Deferred Taxes Liabilities,11250000000.0,10611000000.0,13035000000.0,12351000000.0
Long Term Debt And Capital Lease Obligation,35662000000.0,31139000000.0,35483000000.0,31719000000.0
Long Term Debt,35662000000.0,31139000000.0,35483000000.0,31719000000.0
Long Term Provisions,269000000.0,271000000.0,12300000000.0,10846000000.0
Current Liabilities,10611000000.0,16111000000.0,12771000000.0,14185000000.0
Other Current Liabilities,1600000000.0,9100000000.0,3176000000.0,2427000000.0
Current Deferred Liabilities,10000000.0,89000000.0,100000000.0,132000000.0
Current Deferred Revenue,10000000.0,89000000.0,100000000.0,132000000.0
Current Debt And Capital Lease Obligation,4388000000.0,3401000000.0,3850000000.0,6080000000.0
Current Debt,4388000000.0,3401000000.0,3850000000.0,6080000000.0
Other Current Borrowings,4388000000.0,3401000000.0,3850000000.0,6080000000.0
Pensionand Other Post Retirement Benefit Plans Current,,991000000.0,1069000000.0,1052000000.0
Payables And Accrued Expenses,4613000000.0,3521000000.0,5645000000.0,5546000000.0
Current Accrued Expenses,1226000000.0,1137000000.0,2078000000.0,1981000000.0
Interest Payable,,341000000.0,331000000.0,337000000.0
Payables,3387000000.0,2384000000.0,3567000000.0,3565000000.0
Dueto Related Parties Current,5000000.0,5000000.0,5000000.0,5000000.0
Total Tax Payable,,495000000.0,527000000.0,414000000.0
Accounts Payable,3382000000.0,2379000000.0,3562000000.0,3560000000.0
Total Assets,95349000000.0,133013000000.0,129317000000.0,124977000000.0
Total Non Current Assets,88013000000.0,119056000000.0,116755000000.0,112940000000.0
Other Non Current Assets,1141000000.0,39394000000.0,2982000000.0,3197000000.0
Non Current Accounts Receivable,2897000000.0,,294000000.0,336000000.0
Financial Assets,,949000000.0,555000000.0,508000000.0
Investments And Advances,232000000.0,250000000.0,14904000000.0,13654000000.0
Other Investments,232000000.0,250000000.0,14904000000.0,13654000000.0
Goodwill And Other Intangible Assets,6630000000.0,6630000000.0,6677000000.0,6677000000.0
Other Intangible Assets,,,,174000000.0
Goodwill,6630000000.0,6630000000.0,6677000000.0,6677000000.0
Net PPE,69076000000.0,64558000000.0,82584000000.0,80233000000.0
Accumulated Depreciation,-15930000000.0,-30318000000.0,-26727000000.0,-23979000000.0
Gross PPE,85006000000.0,114537000000.0,109311000000.0,104212000000.0
Construction In Progress,4534000000.0,4097000000.0,3576000000.0,3055000000.0
Other Properties,791000000.0,5993000000.0,6161000000.0,6455000000.0
Current Assets,7336000000.0,13957000000.0,12562000000.0,12037000000.0
Other Current Assets,2047000000.0,1683000000.0,3470000000.0,2423000000.0
Hedging Assets Current,,2169000000.0,644000000.0,679000000.0
Assets Held For Sale Current,0.0,7835000000.0,958000000.0,0.0
Restricted Cash,566000000.0,321000000.0,438000000.0,358000000.0
Inventory,755000000.0,581000000.0,1722000000.0,1768000000.0
Receivables,3561000000.0,2865000000.0,4667000000.0,6222000000.0
Other Receivables,1344000000.0,996000000.0,1398000000.0,1583000000.0
Accounts Receivable,2217000000.0,1869000000.0,3231000000.0,4592000000.0
Allowance For Doubtful Accounts Receivable,-327000000.0,-320000000.0,-366000000.0,-243000000.0
Gross Accounts Receivable,2544000000.0,2189000000.0,3597000000.0,4835000000.0
Cash Cash Equivalents And Short Term Investments,407000000.0,672000000.0,663000000.0,587000000.0
Cash And Cash Equivalents,407000000.0,672000000.0,663000000.0,587000000.0
