,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,179840797.0,177551347.0,158088182.0,159002338.0
Share Issued,179840797.0,177551347.0,158088182.0,159002338.0
Net Debt,6091000000.0,6033000000.0,5711000000.0,5248000000.0
Total Debt,6248000000.0,6687000000.0,5815000000.0,5371000000.0
Tangible Book Value,15009000000.0,12088000000.0,8794000000.0,13249000000.0
Invested Capital,21257000000.0,18775000000.0,14609000000.0,18620000000.0
Working Capital,-324000000.0,8000000.0,-634000000.0,-394000000.0
Net Tangible Assets,15009000000.0,12088000000.0,8794000000.0,13249000000.0
Capital Lease Obligations,131000000.0,86000000.0,115000000.0,119000000.0
Common Stock Equity,15009000000.0,12088000000.0,8794000000.0,13249000000.0
Total Capitalization,21247000000.0,18730000000.0,14418000000.0,18620000000.0
Total Equity Gross Minority Interest,15690000000.0,13245000000.0,9804000000.0,14906000000.0
Minority Interest,681000000.0,1157000000.0,1010000000.0,1657000000.0
Stockholders Equity,15009000000.0,12088000000.0,8794000000.0,13249000000.0
Gains Losses Not Affecting Retained Earnings,-7000000.0,,,
Other Equity Adjustments,-7000000.0,,,
Retained Earnings,801000000.0,-1998000000.0,-3864000000.0,890000000.0
Additional Paid In Capital,14213000000.0,14084000000.0,12656000000.0,12357000000.0
Capital Stock,2000000.0,2000000.0,2000000.0,2000000.0
Common Stock,2000000.0,2000000.0,2000000.0,2000000.0
Total Liabilities Net Minority Interest,10519000000.0,9653000000.0,7815000000.0,8625000000.0
Total Non Current Liabilities Net Minority Interest,8803000000.0,8215000000.0,6579000000.0,7362000000.0
Other Non Current Liabilities,12000000.0,40000000.0,7000000.0,11000000.0
Derivative Product Liabilities,148000000.0,29000000.0,57000000.0,0.0
Non Current Deferred Liabilities,2069000000.0,1338000000.0,783000000.0,1886000000.0
Non Current Deferred Taxes Liabilities,2069000000.0,1338000000.0,783000000.0,1886000000.0
Long Term Debt And Capital Lease Obligation,6238000000.0,6642000000.0,5624000000.0,5371000000.0
Long Term Debt,6238000000.0,6642000000.0,5624000000.0,5371000000.0
Long Term Provisions,336000000.0,166000000.0,108000000.0,94000000.0
Current Liabilities,1716000000.0,1438000000.0,1236000000.0,1263000000.0
Other Current Liabilities,47000000.0,174000000.0,249000000.0,27000000.0
Current Debt And Capital Lease Obligation,10000000.0,45000000.0,191000000.0,119000000.0
Current Capital Lease Obligation,131000000.0,86000000.0,115000000.0,119000000.0
Current Debt,10000000.0,45000000.0,191000000.0,
Other Current Borrowings,10000000.0,45000000.0,191000000.0,
Pensionand Other Post Retirement Benefit Plans Current,35000000.0,48000000.0,,
Payables And Accrued Expenses,1659000000.0,1219000000.0,796000000.0,1236000000.0
Current Accrued Expenses,879000000.0,731000000.0,488000000.0,779000000.0
Interest Payable,49000000.0,46000000.0,37000000.0,27000000.0
Payables,780000000.0,488000000.0,308000000.0,457000000.0
Other Payable,619000000.0,452000000.0,237000000.0,278000000.0
Total Tax Payable,34000000.0,70000000.0,57000000.0,68000000.0
Income Tax Payable,34000000.0,,,
Accounts Payable,127000000.0,36000000.0,71000000.0,179000000.0
Total Assets,26209000000.0,22898000000.0,17619000000.0,23531000000.0
Total Non Current Assets,24817000000.0,21452000000.0,17017000000.0,22662000000.0
Other Non Current Assets,319000000.0,88000000.0,96000000.0,90000000.0
Non Current Deferred Assets,64000000.0,40000000.0,73000000.0,142000000.0
Non Current Deferred Taxes Assets,64000000.0,40000000.0,73000000.0,142000000.0
Financial Assets,23000000.0,4000000.0,0.0,7000000.0
Investments And Advances,566000000.0,613000000.0,533000000.0,479000000.0
Long Term Equity Investment,566000000.0,613000000.0,533000000.0,479000000.0
Investment Properties,86000000.0,88000000.0,101000000.0,109000000.0
Net PPE,23759000000.0,20619000000.0,16214000000.0,21835000000.0
Accumulated Depreciation,-14844000000.0,-13545000000.0,-12314000000.0,-5003000000.0
Gross PPE,38603000000.0,34164000000.0,28528000000.0,26838000000.0
Other Properties,,,138000000.0,125000000.0
Current Assets,1392000000.0,1446000000.0,602000000.0,869000000.0
Other Current Assets,23000000.0,28000000.0,23000000.0,43000000.0
Hedging Assets Current,132000000.0,13000000.0,1000000.0,46000000.0
Restricted Cash,7000000.0,18000000.0,4000000.0,5000000.0
Prepaid Assets,,28000000.0,23000000.0,43000000.0
Inventory,67000000.0,62000000.0,33000000.0,37000000.0
Receivables,1006000000.0,671000000.0,437000000.0,615000000.0
Duefrom Related Parties Current,,72000000.0,56000000.0,186000000.0
Taxes Receivable,284000000.0,1000000.0,100000000.0,
Accounts Receivable,722000000.0,670000000.0,337000000.0,615000000.0
Cash Cash Equivalents And Short Term Investments,157000000.0,654000000.0,104000000.0,123000000.0
Cash And Cash Equivalents,157000000.0,654000000.0,104000000.0,123000000.0
