,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,570811674.0,575464682.0,574159575.0,574128911.0
Share Issued,570811674.0,575464682.0,574159575.0,574128911.0
Net Debt,324900000.0,153800000.0,159300000.0,170100000.0
Total Debt,802100000.0,636800000.0,650100000.0,590600000.0
Tangible Book Value,3163200000.0,3042200000.0,2733200000.0,2665600000.0
Invested Capital,3718200000.0,3432200000.0,3138200000.0,3010600000.0
Working Capital,2335000000.0,2174400000.0,1886900000.0,1912500000.0
Net Tangible Assets,3163200000.0,3042200000.0,2733200000.0,2665600000.0
Capital Lease Obligations,247100000.0,246800000.0,245100000.0,245600000.0
Common Stock Equity,3163200000.0,3042200000.0,2733200000.0,2665600000.0
Total Capitalization,3516400000.0,3372200000.0,3098200000.0,3007600000.0
Total Equity Gross Minority Interest,3163200000.0,3042200000.0,2733200000.0,2665600000.0
Stockholders Equity,3163200000.0,3042200000.0,2733200000.0,2665600000.0
Gains Losses Not Affecting Retained Earnings,-64800000.0,-30700000.0,-21200000.0,-38400000.0
Other Equity Adjustments,-64800000.0,-30700000.0,-21200000.0,-38400000.0
Retained Earnings,3218700000.0,2970900000.0,2689600000.0,2633900000.0
Additional Paid In Capital,3600000.0,96200000.0,61900000.0,67200000.0
Capital Stock,5700000.0,5800000.0,2900000.0,2900000.0
Common Stock,5700000.0,5800000.0,2900000.0,2900000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,1385400000.0,1256800000.0,1231500000.0,1134300000.0
Total Non Current Liabilities Net Minority Interest,595600000.0,574600000.0,618800000.0,589600000.0
Other Non Current Liabilities,3500000.0,,,
Non Current Deferred Liabilities,83700000.0,88600000.0,102300000.0,99400000.0
Non Current Deferred Taxes Liabilities,83700000.0,88600000.0,102300000.0,99400000.0
Long Term Debt And Capital Lease Obligation,508400000.0,486000000.0,516500000.0,490200000.0
Long Term Capital Lease Obligation,155200000.0,156000000.0,151500000.0,148200000.0
Long Term Debt,353200000.0,330000000.0,365000000.0,342000000.0
Current Liabilities,789800000.0,682200000.0,612700000.0,544700000.0
Current Debt And Capital Lease Obligation,293700000.0,150800000.0,133600000.0,100400000.0
Current Capital Lease Obligation,91900000.0,90800000.0,93600000.0,97400000.0
Current Debt,201800000.0,60000000.0,40000000.0,3000000.0
Other Current Borrowings,201800000.0,60000000.0,40000000.0,3000000.0
Pensionand Other Post Retirement Benefit Plans Current,54800000.0,17400000.0,16200000.0,13800000.0
Current Provisions,40400000.0,35700000.0,41000000.0,41100000.0
Payables And Accrued Expenses,496100000.0,531400000.0,479100000.0,444300000.0
Current Accrued Expenses,241100000.0,298300000.0,272100000.0,251500000.0
Payables,255000000.0,233100000.0,207000000.0,192800000.0
Total Tax Payable,40300000.0,91400000.0,54300000.0,67400000.0
Accounts Payable,255000000.0,233100000.0,207000000.0,192800000.0
Total Assets,4548600000.0,4299000000.0,3964700000.0,3799900000.0
Total Non Current Assets,1423800000.0,1442400000.0,1465100000.0,1342700000.0
Other Non Current Assets,170800000.0,180900000.0,191400000.0,76300000.0
Net PPE,1253000000.0,1261500000.0,1273700000.0,1266400000.0
Accumulated Depreciation,-1301400000.0,-1178000000.0,-1053900000.0,-943700000.0
Gross PPE,1253000000.0,1261500000.0,1273700000.0,1266400000.0
Construction In Progress,96000000.0,72700000.0,99000000.0,132000000.0
Other Properties,1253000000.0,1261500000.0,1273700000.0,1266400000.0
Machinery Furniture Equipment,85700000.0,86600000.0,87300000.0,88700000.0
Buildings And Improvements,509200000.0,501900000.0,450400000.0,423700000.0
Land And Improvements,67500000.0,58300000.0,51900000.0,41800000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,3124800000.0,2856600000.0,2499600000.0,2457200000.0
Other Current Assets,165400000.0,188100000.0,140300000.0,157400000.0
Prepaid Assets,8100000.0,8500000.0,6700000.0,16700000.0
Inventory,1708000000.0,1523600000.0,1337500000.0,1366400000.0
Receivables,1013200000.0,900200000.0,769400000.0,741800000.0
Accounts Receivable,1013200000.0,900200000.0,769400000.0,741800000.0
Allowance For Doubtful Accounts Receivable,-8300000.0,-12000000.0,-12300000.0,-10900000.0
Gross Accounts Receivable,1021500000.0,912200000.0,781700000.0,752700000.0
Cash Cash Equivalents And Short Term Investments,230100000.0,236200000.0,245700000.0,174900000.0
Cash And Cash Equivalents,230100000.0,236200000.0,245700000.0,174900000.0
