,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,781500000.0,810000000.0,812500000.0,858500000.0
Share Issued,781500000.0,810000000.0,812500000.0,858500000.0
Total Debt,990400000.0,988400000.0,,
Tangible Book Value,-465600000.0,593000000.0,731400000.0,1223600000.0
Invested Capital,708800000.0,1770100000.0,856000000.0,1321900000.0
Working Capital,732000000.0,1282500000.0,910900000.0,1295400000.0
Net Tangible Assets,-465600000.0,593000000.0,731400000.0,1223600000.0
Common Stock Equity,-281600000.0,781700000.0,856000000.0,1321900000.0
Total Capitalization,708800000.0,1770100000.0,856000000.0,1321900000.0
Total Equity Gross Minority Interest,-281600000.0,798400000.0,856000000.0,1321900000.0
Minority Interest,0.0,16700000.0,,
Stockholders Equity,-281600000.0,781700000.0,856000000.0,1321900000.0
Gains Losses Not Affecting Retained Earnings,-20200000.0,-4800000.0,700000.0,1100000.0
Other Equity Adjustments,-20200000.0,-4800000.0,700000.0,1100000.0
Retained Earnings,-1546400000.0,-467900000.0,-352100000.0,140300000.0
Additional Paid In Capital,1284200000.0,1254200000.0,1207200000.0,1180300000.0
Capital Stock,800000.0,200000.0,200000.0,200000.0
Common Stock,800000.0,200000.0,200000.0,200000.0
Total Liabilities Net Minority Interest,6509600000.0,5120700000.0,3188500000.0,2563600000.0
Total Non Current Liabilities Net Minority Interest,3431200000.0,2802600000.0,1359000000.0,1090000000.0
Other Non Current Liabilities,82000000.0,59200000.0,56200000.0,44900000.0
Tradeand Other Payables Non Current,67800000.0,79500000.0,90300000.0,82800000.0
Non Current Deferred Liabilities,2291000000.0,1675500000.0,1212500000.0,962300000.0
Non Current Deferred Revenue,2291000000.0,1675500000.0,1212500000.0,962300000.0
Long Term Debt And Capital Lease Obligation,990400000.0,988400000.0,,
Long Term Debt,990400000.0,988400000.0,,
Current Liabilities,3078400000.0,2318100000.0,1829500000.0,1473600000.0
Current Deferred Liabilities,2349300000.0,1777400000.0,1392800000.0,1173600000.0
Current Deferred Revenue,2349300000.0,1777400000.0,1392800000.0,1173600000.0
Pensionand Other Post Retirement Benefit Plans Current,,,145900000.0,101800000.0
Payables And Accrued Expenses,729100000.0,540700000.0,436700000.0,300000000.0
Current Accrued Expenses,485700000.0,392300000.0,295100000.0,199500000.0
Payables,243400000.0,148400000.0,141600000.0,100500000.0
Total Tax Payable,,,,4100000.0
Income Tax Payable,,,,4100000.0
Accounts Payable,243400000.0,148400000.0,141600000.0,96400000.0
Total Assets,6228000000.0,5919100000.0,4044500000.0,3885500000.0
Total Non Current Assets,2417600000.0,2318500000.0,1304100000.0,1116500000.0
Other Non Current Assets,202000000.0,235800000.0,63200000.0,60000000.0
Non Current Deferred Assets,1087600000.0,765600000.0,550000000.0,469600000.0
Non Current Deferred Taxes Assets,569400000.0,342300000.0,245200000.0,232600000.0
Investments And Advances,45500000.0,440800000.0,118300000.0,144300000.0
Investmentin Financial Assets,45500000.0,440800000.0,118300000.0,144300000.0
Available For Sale Securities,45500000.0,440800000.0,118300000.0,144300000.0
Long Term Equity Investment,45500000.0,,,
Goodwill And Other Intangible Assets,184000000.0,188700000.0,124600000.0,98300000.0
Other Intangible Assets,56000000.0,63600000.0,31600000.0,31100000.0
Goodwill,128000000.0,125100000.0,93000000.0,67200000.0
Net PPE,898500000.0,687600000.0,448000000.0,344300000.0
Accumulated Depreciation,-280200000.0,-211700000.0,-172500000.0,-137000000.0
Gross PPE,1178700000.0,899300000.0,620500000.0,481300000.0
Leases,53500000.0,40100000.0,31900000.0,25500000.0
Construction In Progress,51700000.0,19900000.0,166400000.0,61200000.0
Other Properties,19200000.0,15600000.0,19800000.0,19900000.0
Machinery Furniture Equipment,254000000.0,203000000.0,158500000.0,134000000.0
Buildings And Improvements,490300000.0,416200000.0,150600000.0,147400000.0
Land And Improvements,310000000.0,204500000.0,93300000.0,93300000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,3810400000.0,3600600000.0,2740400000.0,2769000000.0
Other Current Assets,73100000.0,65400000.0,43300000.0,41200000.0
Prepaid Assets,73100000.0,65400000.0,43300000.0,41200000.0
Inventory,264600000.0,175800000.0,139800000.0,117900000.0
Finished Goods,206300000.0,125800000.0,126000000.0,108200000.0
Work In Process,12000000.0,9800000.0,,
Raw Materials,46300000.0,40200000.0,13800000.0,9700000.0
Receivables,1261700000.0,807700000.0,720000000.0,544300000.0
Accounts Receivable,1261700000.0,807700000.0,720000000.0,544300000.0
Allowance For Doubtful Accounts Receivable,-3600000.0,-2400000.0,-2500000.0,-1200000.0
Gross Accounts Receivable,1265300000.0,810100000.0,722500000.0,545500000.0
Cash Cash Equivalents And Short Term Investments,2211000000.0,2551700000.0,1837300000.0,2065600000.0
Other Short Term Investments,528100000.0,1232600000.0,775500000.0,843100000.0
Cash And Cash Equivalents,1682900000.0,1319100000.0,1061800000.0,1222500000.0
