,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,547754986.0,531845744.0,534685393.0,534685393.0
Share Issued,547754986.0,531845744.0,534685393.0,534685393.0
Net Debt,159000000.0,,1429878000.0,1731852000.0
Total Debt,2511000000.0,2013000000.0,2802467000.0,3248336000.0
Tangible Book Value,9913000000.0,8033000000.0,6628432000.0,8384349000.0
Invested Capital,12424000000.0,10046000000.0,9514329000.0,11748297000.0
Working Capital,2441000000.0,2128000000.0,1090654000.0,1178083000.0
Net Tangible Assets,9913000000.0,8033000000.0,6628432000.0,8384349000.0
Capital Lease Obligations,345000000.0,425518000.0,464512000.0,519169000.0
Common Stock Equity,9913000000.0,8033000000.0,7176374000.0,9019130000.0
Total Capitalization,12201000000.0,9749000000.0,9132522000.0,11061384000.0
Total Equity Gross Minority Interest,9960000000.0,8033000000.0,7241502000.0,9019130000.0
Minority Interest,47000000.0,57606000.0,65128000.0,0.0
Stockholders Equity,9913000000.0,8033000000.0,7176374000.0,9019130000.0
Other Equity Interest,,4000000.0,10680687000.0,11167687000.0
Gains Losses Not Affecting Retained Earnings,92000000.0,-53752000.0,-3319000.0,5846000.0
Other Equity Adjustments,92000000.0,-53752000.0,-3319000.0,5846000.0
Retained Earnings,-14021000000.0,-15469000000.0,-15218509000.0,-13870938000.0
Additional Paid In Capital,23831000000.0,23487463000.0,11707515000.0,11706535000.0
Capital Stock,23842000000.0,23498000000.0,10000000.0,10000000.0
Common Stock,23842000000.0,23498000000.0,10000000.0,10000000.0
Total Liabilities Net Minority Interest,7881000000.0,6995000000.0,5080131000.0,5478376000.0
Total Non Current Liabilities Net Minority Interest,4522000000.0,3832000000.0,3184061000.0,3142309000.0
Other Non Current Liabilities,2234000000.0,2116000000.0,33345000.0,
Derivative Product Liabilities,,,33345000.0,
Tradeand Other Payables Non Current,122000000.0,74692000.0,358787000.0,177319000.0
Non Current Deferred Liabilities,1646000000.0,1518003000.0,149231000.0,196714000.0
Non Current Deferred Revenue,1620000000.0,1515699000.0,140809000.0,196123000.0
Non Current Deferred Taxes Liabilities,26000000.0,2304000.0,8422000.0,591000.0
Long Term Debt And Capital Lease Obligation,2288000000.0,1716000000.0,2289390000.0,2430511000.0
Long Term Capital Lease Obligation,270000000.0,290547000.0,333242000.0,388257000.0
Long Term Debt,2288000000.0,1716000000.0,1956148000.0,2042254000.0
Long Term Provisions,196000000.0,232536000.0,353308000.0,337765000.0
Current Liabilities,3359000000.0,3163000000.0,1896070000.0,2336067000.0
Other Current Liabilities,3136000000.0,2866000000.0,1318000.0,5275000.0
Current Deferred Liabilities,702000000.0,561911000.0,134586000.0,142648000.0
Current Deferred Revenue,702000000.0,561911000.0,134586000.0,142648000.0
Current Debt And Capital Lease Obligation,223000000.0,297000000.0,513077000.0,817825000.0
Current Capital Lease Obligation,75000000.0,134971000.0,131270000.0,130912000.0
Current Debt,223000000.0,297000000.0,381807000.0,686913000.0
Other Current Borrowings,223000000.0,297266000.0,381807000.0,686913000.0
Current Provisions,102000000.0,115946000.0,,
Payables And Accrued Expenses,2257000000.0,2052765000.0,1247089000.0,1370319000.0
Current Accrued Expenses,573000000.0,602495000.0,474072000.0,558810000.0
Interest Payable,,,3272000.0,8115000.0
Payables,1684000000.0,1450270000.0,773017000.0,811509000.0
Other Payable,1152000000.0,899132000.0,731615000.0,746890000.0
Dueto Related Parties Current,,,10793000.0,27562000.0
Total Tax Payable,,,30609000.0,37057000.0
Income Tax Payable,,,30609000.0,37057000.0
Accounts Payable,532000000.0,551138000.0,,
Total Assets,17841000000.0,15028000000.0,12321633000.0,14497506000.0
Total Non Current Assets,12041000000.0,9737000000.0,9334909000.0,10983356000.0
Other Non Current Assets,781000000.0,671000000.0,1676000.0,39047000.0
Non Current Prepaid Assets,235000000.0,209857000.0,,
Non Current Deferred Assets,292000000.0,353000000.0,443566000.0,408050000.0
Non Current Deferred Taxes Assets,292000000.0,353000000.0,443566000.0,408050000.0
Non Current Note Receivables,11000000.0,8045000.0,20037000.0,154116000.0
Non Current Accounts Receivable,10000000.0,12914000.0,11993000.0,38035000.0
Financial Assets,137000000.0,2317000.0,34054000.0,12558000.0
Investments And Advances,372000000.0,37938000.0,49439000.0,85500000.0
Investmentin Financial Assets,372000000.0,,12737000.0,8169000.0
Available For Sale Securities,372000000.0,,12737000.0,8169000.0
Long Term Equity Investment,,37938000.0,36702000.0,77331000.0
Investmentsin Joint Venturesat Cost,,37938000.0,36702000.0,77331000.0
Investments In Other Ventures Under Equity Method,,,12737000.0,8169000.0
Goodwill And Other Intangible Assets,363000000.0,376749000.0,547942000.0,634781000.0
Other Intangible Assets,345000000.0,358725000.0,529918000.0,629304000.0
Goodwill,18000000.0,18024000.0,18024000.0,5477000.0
Net PPE,10596000000.0,8713000000.0,8226202000.0,9611269000.0
Accumulated Depreciation,-23785000000.0,-23201043000.0,-22219512000.0,-20213150000.0
Gross PPE,34381000000.0,31914021000.0,30445714000.0,29824419000.0
Construction In Progress,3384000000.0,1423302000.0,450787000.0,232378000.0
Other Properties,22569000000.0,22350308000.0,22039385000.0,21750367000.0
Machinery Furniture Equipment,439000000.0,434478000.0,410712000.0,403774000.0
Buildings And Improvements,7867000000.0,7575766000.0,7440383000.0,7330889000.0
Land And Improvements,122000000.0,130167000.0,104447000.0,107011000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,5800000000.0,5291000000.0,2986724000.0,3514150000.0
Other Current Assets,,,1877000.0,11959000.0
Hedging Assets Current,,23183000.0,50534000.0,6798000.0
Assets Held For Sale Current,,,0.0,4152000.0
Restricted Cash,,,34071000.0,32625000.0
Prepaid Assets,,,44005000.0,43995000.0
Inventory,1339000000.0,1121000000.0,919519000.0,351923000.0
Inventories Adjustments Allowances,-115000000.0,-99920000.0,-242995000.0,-143193000.0
Work In Process,1079000000.0,961590000.0,930107000.0,209530000.0
Raw Materials,375000000.0,259581000.0,232407000.0,285586000.0
Receivables,1487000000.0,1231000000.0,1028641000.0,2065383000.0
Other Receivables,1487000000.0,1231000000.0,184368000.0,1296015000.0
Duefrom Related Parties Current,11000000.0,8133000.0,1279000.0,1309000.0
Taxes Receivable,,,68282000.0,71851000.0
Loans Receivable,,,0.0,49213000.0
Accounts Receivable,824000000.0,872362000.0,774712000.0,646995000.0
Cash Cash Equivalents And Short Term Investments,2974000000.0,2939000000.0,908077000.0,997315000.0
Other Short Term Investments,622000000.0,,50534000.0,6798000.0
Cash And Cash Equivalents,2352000000.0,2939000000.0,908077000.0,997315000.0
Cash Equivalents,1354000000.0,2175002000.0,560198000.0,600597000.0
Cash Financial,998000000.0,764185000.0,347879000.0,396718000.0
