,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,1247000000.0,1254000000.0,1254000000.0,1266000000.0
Share Issued,1247000000.0,1254000000.0,1254000000.0,1266000000.0
Net Debt,19818000000.0,21357000000.0,25405000000.0,12962000000.0
Total Debt,25230000000.0,26695000000.0,31402000000.0,24593000000.0
Tangible Book Value,-15999000000.0,-20723000000.0,-23013000000.0,4747000000.0
Invested Capital,46470000000.0,47764000000.0,49604000000.0,47118000000.0
Working Capital,3990000000.0,3446000000.0,4419000000.0,21730000000.0
Net Tangible Assets,-15999000000.0,-20723000000.0,-23013000000.0,4747000000.0
Common Stock Equity,21209000000.0,21064000000.0,18221000000.0,22650000000.0
Total Capitalization,21209000000.0,21064000000.0,18221000000.0,22650000000.0
Total Equity Gross Minority Interest,21209000000.0,21064000000.0,18221000000.0,22650000000.0
Minority Interest,-31000000.0,-5000000.0,19000000.0,125000000.0
Stockholders Equity,21209000000.0,21064000000.0,18221000000.0,22650000000.0
Gains Losses Not Affecting Retained Earnings,2000000.0,83000000.0,-60000000.0,85000000.0
Other Equity Adjustments,2000000.0,83000000.0,-60000000.0,85000000.0
Retained Earnings,15687000000.0,16324000000.0,14381000000.0,19388000000.0
Additional Paid In Capital,5550000000.0,4661000000.0,3880000000.0,3051000000.0
Capital Stock,1000000.0,1000000.0,1000000.0,1000000.0
Common Stock,1000000.0,1000000.0,1000000.0,1000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,41962000000.0,46888000000.0,50186000000.0,38977000000.0
Total Non Current Liabilities Net Minority Interest,30725000000.0,35278000000.0,38789000000.0,29218000000.0
Other Non Current Liabilities,1178000000.0,976000000.0,38789000000.0,29218000000.0
Tradeand Other Payables Non Current,3916000000.0,4767000000.0,5016000000.0,6115000000.0
Non Current Deferred Liabilities,2673000000.0,4356000000.0,,
Non Current Deferred Taxes Liabilities,2673000000.0,4356000000.0,,
Long Term Debt And Capital Lease Obligation,22957000000.0,25179000000.0,28645000000.0,22094000000.0
Long Term Debt,22957000000.0,25179000000.0,28645000000.0,22094000000.0
Current Liabilities,11237000000.0,11610000000.0,11397000000.0,9759000000.0
Current Debt And Capital Lease Obligation,2273000000.0,1516000000.0,2757000000.0,2499000000.0
Current Debt,2273000000.0,1516000000.0,2757000000.0,2499000000.0
Other Current Borrowings,,,,2499000000.0
Pensionand Other Post Retirement Benefit Plans Current,1018000000.0,927000000.0,864000000.0,599000000.0
Current Provisions,422000000.0,499000000.0,587000000.0,
Payables And Accrued Expenses,7525000000.0,8668000000.0,7189000000.0,6661000000.0
Current Accrued Expenses,5661000000.0,7424000000.0,5747000000.0,5661000000.0
Payables,1864000000.0,1244000000.0,1442000000.0,1000000000.0
Total Tax Payable,959000000.0,539000000.0,598000000.0,287000000.0
Income Tax Payable,959000000.0,539000000.0,598000000.0,287000000.0
Accounts Payable,905000000.0,705000000.0,844000000.0,713000000.0
Total Assets,63171000000.0,67952000000.0,68407000000.0,61627000000.0
Total Non Current Assets,47944000000.0,52896000000.0,52591000000.0,30138000000.0
Other Non Current Assets,5261000000.0,5988000000.0,6390000000.0,7733000000.0
Investments And Advances,1245000000.0,1309000000.0,502000000.0,1488000000.0
Investmentin Financial Assets,1245000000.0,1309000000.0,502000000.0,1488000000.0
Available For Sale Securities,1245000000.0,1309000000.0,502000000.0,1488000000.0
Goodwill And Other Intangible Assets,37208000000.0,41787000000.0,41234000000.0,17903000000.0
Other Intangible Assets,28894000000.0,33455000000.0,33126000000.0,13786000000.0
Goodwill,8314000000.0,8332000000.0,8108000000.0,4117000000.0
Net PPE,5475000000.0,5121000000.0,4967000000.0,4502000000.0
Accumulated Depreciation,-2186000000.0,-1893000000.0,-1668000000.0,-1422000000.0
Gross PPE,7661000000.0,7014000000.0,6635000000.0,5924000000.0
Construction In Progress,719000000.0,1057000000.0,856000000.0,723000000.0
Other Properties,1110000000.0,952000000.0,904000000.0,805000000.0
Machinery Furniture Equipment,880000000.0,807000000.0,793000000.0,634000000.0
Buildings And Improvements,4390000000.0,3794000000.0,3678000000.0,3358000000.0
Land And Improvements,562000000.0,404000000.0,404000000.0,404000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,15227000000.0,15056000000.0,15816000000.0,31489000000.0
Other Current Assets,1774000000.0,2141000000.0,2013000000.0,1440000000.0
Prepaid Assets,1774000000.0,2141000000.0,2013000000.0,1440000000.0
Inventory,2820000000.0,2734000000.0,3014000000.0,2067000000.0
Receivables,4777000000.0,4493000000.0,4892000000.0,3582000000.0
Accounts Receivable,4777000000.0,4493000000.0,4892000000.0,3582000000.0
Allowance For Doubtful Accounts Receivable,-687000000.0,-785000000.0,-668000000.0,-758000000.0
Gross Accounts Receivable,5464000000.0,5278000000.0,5560000000.0,4340000000.0
Cash Cash Equivalents And Short Term Investments,7630000000.0,7829000000.0,7910000000.0,25840000000.0
Other Short Term Investments,973000000.0,1182000000.0,1411000000.0,12721000000.0
Cash And Cash Equivalents,5412000000.0,5338000000.0,5997000000.0,11631000000.0
