,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,12849000000.0,13242420000.0,13504440000.0,13766700000.0
Share Issued,12849000000.0,13242420000.0,13504440000.0,13766700000.0
Total Debt,27202000000.0,26206000000.0,25078000000.0,14768000000.0
Tangible Book Value,225100000000.0,227262000000.0,199924000000.0,178839000000.0
Invested Capital,270845000000.0,266452000000.0,236476000000.0,205996000000.0
Working Capital,95495000000.0,123889000000.0,117462000000.0,107357000000.0
Net Tangible Assets,225100000000.0,227262000000.0,199924000000.0,178839000000.0
Capital Lease Obligations,12501000000.0,11389000000.0,11146000000.0,10214000000.0
Common Stock Equity,256144000000.0,251635000000.0,222544000000.0,201442000000.0
Total Capitalization,270845000000.0,266452000000.0,236476000000.0,205996000000.0
Total Equity Gross Minority Interest,256144000000.0,251635000000.0,222544000000.0,201442000000.0
Stockholders Equity,256144000000.0,251635000000.0,222544000000.0,201442000000.0
Gains Losses Not Affecting Retained Earnings,-7603000000.0,-1623000000.0,633000000.0,-1232000000.0
Other Equity Adjustments,-7603000000.0,-1623000000.0,633000000.0,-1232000000.0
Retained Earnings,195563000000.0,191484000000.0,163401000000.0,152122000000.0
Capital Stock,68184000000.0,61774000000.0,58510000000.0,50552000000.0
Common Stock,68184000000.0,61774000000.0,58510000000.0,50552000000.0
Preferred Stock,0.0,,,
Total Liabilities Net Minority Interest,109120000000.0,107633000000.0,97072000000.0,74467000000.0
Total Non Current Liabilities Net Minority Interest,39820000000.0,43379000000.0,40238000000.0,29246000000.0
Other Non Current Liabilities,2247000000.0,2205000000.0,2269000000.0,2534000000.0
Tradeand Other Payables Non Current,9258000000.0,9176000000.0,8849000000.0,9885000000.0
Non Current Deferred Liabilities,1113000000.0,5792000000.0,4042000000.0,2059000000.0
Non Current Deferred Revenue,599000000.0,535000000.0,481000000.0,358000000.0
Non Current Deferred Taxes Liabilities,514000000.0,5257000000.0,3561000000.0,1701000000.0
Long Term Debt And Capital Lease Obligation,27202000000.0,26206000000.0,25078000000.0,14768000000.0
Long Term Capital Lease Obligation,12501000000.0,11389000000.0,11146000000.0,10214000000.0
Long Term Debt,14701000000.0,14817000000.0,13932000000.0,4554000000.0
Current Liabilities,69300000000.0,64254000000.0,56834000000.0,45221000000.0
Other Current Liabilities,9106000000.0,9799000000.0,10409000000.0,9405000000.0
Current Deferred Liabilities,3908000000.0,3288000000.0,2543000000.0,1908000000.0
Current Deferred Revenue,3908000000.0,3288000000.0,2543000000.0,1908000000.0
Current Debt And Capital Lease Obligation,2477000000.0,2189000000.0,1694000000.0,1199000000.0
Current Capital Lease Obligation,2477000000.0,2189000000.0,1694000000.0,1199000000.0
Pensionand Other Post Retirement Benefit Plans Current,14028000000.0,13889000000.0,11086000000.0,8495000000.0
Payables And Accrued Expenses,51364000000.0,47077000000.0,43205000000.0,34818000000.0
Current Accrued Expenses,46236000000.0,40232000000.0,36131000000.0,28983000000.0
Payables,5128000000.0,6845000000.0,7074000000.0,5835000000.0
Other Payable,,397000000.0,,
Total Tax Payable,,808000000.0,1485000000.0,274000000.0
Income Tax Payable,,808000000.0,1485000000.0,274000000.0
Accounts Payable,5128000000.0,6037000000.0,5589000000.0,5561000000.0
Total Assets,365264000000.0,359268000000.0,319616000000.0,275909000000.0
Total Non Current Assets,200469000000.0,171125000000.0,145320000000.0,123331000000.0
Other Non Current Assets,6623000000.0,5361000000.0,3953000000.0,2342000000.0
Non Current Deferred Assets,5261000000.0,1284000000.0,1084000000.0,721000000.0
Non Current Deferred Taxes Assets,5261000000.0,1284000000.0,1084000000.0,721000000.0
Investments And Advances,30492000000.0,29549000000.0,20703000000.0,13078000000.0
Investmentin Financial Assets,30492000000.0,29549000000.0,20703000000.0,13078000000.0
Available For Sale Securities,30492000000.0,29549000000.0,20703000000.0,13078000000.0
Goodwill And Other Intangible Assets,31044000000.0,24373000000.0,22620000000.0,22603000000.0
Other Intangible Assets,2084000000.0,1417000000.0,1445000000.0,1979000000.0
Goodwill,28960000000.0,22956000000.0,21175000000.0,20624000000.0
Net PPE,127049000000.0,110558000000.0,96960000000.0,84587000000.0
Accumulated Depreciation,-59042000000.0,-49414000000.0,-41713000000.0,-30561000000.0
Gross PPE,127049000000.0,110558000000.0,96960000000.0,84587000000.0
Leases,10575000000.0,9146000000.0,7516000000.0,6310000000.0
Construction In Progress,27657000000.0,23171000000.0,23111000000.0,21036000000.0
Other Properties,127049000000.0,110558000000.0,96960000000.0,84587000000.0
Machinery Furniture Equipment,314000000.0,208000000.0,197000000.0,156000000.0
Land And Improvements,66897000000.0,58881000000.0,49732000000.0,39865000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,164795000000.0,188143000000.0,174296000000.0,152578000000.0
Other Current Assets,8105000000.0,7054000000.0,5490000000.0,4412000000.0
Inventory,2670000000.0,1170000000.0,728000000.0,999000000.0
Receivables,40258000000.0,40270000000.0,31384000000.0,27492000000.0
Taxes Receivable,,966000000.0,454000000.0,2166000000.0
Accounts Receivable,40258000000.0,39304000000.0,30930000000.0,25326000000.0
Allowance For Doubtful Accounts Receivable,-754000000.0,-550000000.0,-753000000.0,-753000000.0
Gross Accounts Receivable,41012000000.0,39854000000.0,31683000000.0,26079000000.0
Cash Cash Equivalents And Short Term Investments,113762000000.0,139649000000.0,136694000000.0,119675000000.0
Other Short Term Investments,91883000000.0,118704000000.0,110229000000.0,101177000000.0
Cash And Cash Equivalents,21879000000.0,20945000000.0,26465000000.0,18498000000.0
