,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,290000000.0,272800000.0,260800000.0,246500000.0
Ordinary Shares Number,667600000.0,684800000.0,696800000.0,711100000.0
Share Issued,957600000.0,957600000.0,957600000.0,957600000.0
Net Debt,9943000000.0,8640000000.0,8109000000.0,6935000000.0
Total Debt,19570000000.0,19599000000.0,22384000000.0,16002000000.0
Tangible Book Value,-3400000000.0,-2127000000.0,-1828000000.0,-591000000.0
Invested Capital,36889000000.0,38841000000.0,40174000000.0,34708000000.0
Working Capital,5044000000.0,5864000000.0,8978000000.0,6205000000.0
Net Tangible Assets,-3400000000.0,-2127000000.0,-1828000000.0,-591000000.0
Capital Lease Obligations,967000000.0,1032000000.0,828000000.0,705000000.0
Common Stock Equity,17319000000.0,19242000000.0,17790000000.0,18706000000.0
Total Capitalization,32442000000.0,33496000000.0,34132000000.0,29816000000.0
Total Equity Gross Minority Interest,17326000000.0,19249000000.0,17797000000.0,18713000000.0
Minority Interest,7000000.0,7000000.0,7000000.0,7000000.0
Stockholders Equity,17319000000.0,19242000000.0,17790000000.0,18706000000.0
Gains Losses Not Affecting Retained Earnings,-3475000000.0,-2895000000.0,-3377000000.0,-3197000000.0
Treasury Stock,34443000000.0,30462000000.0,27229000000.0,23836000000.0
Retained Earnings,45093000000.0,42827000000.0,39905000000.0,37693000000.0
Additional Paid In Capital,8564000000.0,8141000000.0,7292000000.0,6876000000.0
Capital Stock,958000000.0,958000000.0,958000000.0,958000000.0
Common Stock,958000000.0,958000000.0,958000000.0,958000000.0
Total Liabilities Net Minority Interest,44949000000.0,45221000000.0,46789000000.0,39966000000.0
Total Non Current Liabilities Net Minority Interest,25011000000.0,25713000000.0,27592000000.0,21868000000.0
Other Non Current Liabilities,7649000000.0,8887000000.0,8895000000.0,8762000000.0
Preferred Securities Outside Stock Equity,,,7000000.0,7000000.0
Employee Benefits,146000000.0,208000000.0,242000000.0,326000000.0
Non Current Pension And Other Postretirement Benefit Plans,146000000.0,208000000.0,242000000.0,326000000.0
Non Current Accrued Expenses,38000000.0,43000000.0,60000000.0,56000000.0
Tradeand Other Payables Non Current,1939000000.0,2152000000.0,2009000000.0,2115000000.0
Non Current Deferred Liabilities,2093000000.0,2364000000.0,2113000000.0,1670000000.0
Non Current Deferred Revenue,1334000000.0,1324000000.0,1356000000.0,1310000000.0
Non Current Deferred Taxes Liabilities,2093000000.0,2364000000.0,2113000000.0,1670000000.0
Long Term Debt And Capital Lease Obligation,15123000000.0,14254000000.0,16342000000.0,11110000000.0
Long Term Capital Lease Obligation,775000000.0,847000000.0,641000000.0,534000000.0
Long Term Debt,15123000000.0,14254000000.0,16342000000.0,11110000000.0
Long Term Provisions,417000000.0,419000000.0,466000000.0,548000000.0
Current Liabilities,19938000000.0,19508000000.0,19197000000.0,18098000000.0
Other Current Liabilities,,261000000.0,300000000.0,361000000.0
Current Deferred Liabilities,3555000000.0,3163000000.0,2932000000.0,2490000000.0
Current Deferred Revenue,3555000000.0,3163000000.0,2932000000.0,2490000000.0
Current Debt And Capital Lease Obligation,4447000000.0,5345000000.0,6042000000.0,4892000000.0
Current Capital Lease Obligation,192000000.0,185000000.0,187000000.0,171000000.0
Current Debt,4447000000.0,5345000000.0,6042000000.0,4892000000.0
Other Current Borrowings,4447000000.0,5345000000.0,6042000000.0,4892000000.0
Pensionand Other Post Retirement Benefit Plans Current,1218000000.0,1273000000.0,1244000000.0,1551000000.0
Current Provisions,222000000.0,225000000.0,225000000.0,222000000.0
Payables And Accrued Expenses,15491000000.0,14163000000.0,13155000000.0,13206000000.0
Current Accrued Expenses,9162000000.0,7679000000.0,7405000000.0,7476000000.0
Interest Payable,122000000.0,100000000.0,102000000.0,91000000.0
Payables,6329000000.0,6484000000.0,5750000000.0,5730000000.0
Total Tax Payable,723000000.0,662000000.0,588000000.0,492000000.0
Income Tax Payable,549000000.0,393000000.0,307000000.0,253000000.0
Accounts Payable,6329000000.0,6484000000.0,5750000000.0,5730000000.0
Total Assets,62275000000.0,64470000000.0,64586000000.0,58679000000.0
Total Non Current Assets,37293000000.0,39098000000.0,36411000000.0,34376000000.0
Other Non Current Assets,9513000000.0,10134000000.0,9412000000.0,8688000000.0
Non Current Deferred Assets,421000000.0,489000000.0,760000000.0,86000000.0
Non Current Deferred Taxes Assets,421000000.0,489000000.0,760000000.0,86000000.0
Non Current Accounts Receivable,224000000.0,322000000.0,366000000.0,392000000.0
Investments And Advances,945000000.0,1222000000.0,685000000.0,588000000.0
Goodwill And Other Intangible Assets,20719000000.0,21369000000.0,19618000000.0,19297000000.0
Other Intangible Assets,3222000000.0,3613000000.0,3560000000.0,3734000000.0
Goodwill,17497000000.0,17756000000.0,16058000000.0,15563000000.0
Net PPE,5471000000.0,5562000000.0,5570000000.0,5325000000.0
Accumulated Depreciation,-9291000000.0,-8888000000.0,-8767000000.0,-8388000000.0
Gross PPE,14762000000.0,14450000000.0,14337000000.0,13713000000.0
Construction In Progress,769000000.0,856000000.0,825000000.0,724000000.0
Machinery Furniture Equipment,10383000000.0,10143000000.0,10008000000.0,9586000000.0
Buildings And Improvements,3394000000.0,3225000000.0,3245000000.0,3152000000.0
Land And Improvements,216000000.0,226000000.0,259000000.0,251000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,24982000000.0,25372000000.0,28175000000.0,24303000000.0
Other Current Assets,1894000000.0,1881000000.0,1639000000.0,1973000000.0
Inventory,5538000000.0,5138000000.0,4489000000.0,4421000000.0
Inventories Adjustments Allowances,,,0.0,-45000000.0
Finished Goods,3082000000.0,2925000000.0,2612000000.0,2593000000.0
Work In Process,1049000000.0,861000000.0,798000000.0,817000000.0
Raw Materials,1407000000.0,1352000000.0,1079000000.0,1056000000.0
Receivables,7440000000.0,6830000000.0,6827000000.0,7493000000.0
Accounts Receivable,7440000000.0,6830000000.0,6827000000.0,7493000000.0
Allowance For Doubtful Accounts Receivable,-326000000.0,-177000000.0,-202000000.0,-146000000.0
Gross Accounts Receivable,7766000000.0,7007000000.0,7029000000.0,7639000000.0
Cash Cash Equivalents And Short Term Investments,10110000000.0,11523000000.0,15220000000.0,10416000000.0
Other Short Term Investments,483000000.0,564000000.0,945000000.0,1349000000.0
