,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,24299000.0,22317000.0,21008000.0,20240000.0
Ordinary Shares Number,82894000.0,84562000.0,85449000.0,85471000.0
Share Issued,107193000.0,106879000.0,106457000.0,105711000.0
Net Debt,1235823000.0,779247000.0,524552000.0,897349000.0
Total Debt,1348369000.0,923701000.0,908480000.0,987675000.0
Tangible Book Value,608737000.0,689992000.0,632088000.0,177473000.0
Invested Capital,1348369000.0,1613693000.0,1540568000.0,1165148000.0
Working Capital,-134326000.0,192076000.0,479977000.0,-45698000.0
Net Tangible Assets,608737000.0,689992000.0,632088000.0,177473000.0
Capital Lease Obligations,121664000.0,107308000.0,94772000.0,82753000.0
Common Stock Equity,608737000.0,689992000.0,632088000.0,177473000.0
Total Capitalization,1303124000.0,1465197000.0,1490580000.0,876383000.0
Total Equity Gross Minority Interest,608737000.0,689992000.0,632795000.0,177825000.0
Minority Interest,,0.0,707000.0,352000.0
Stockholders Equity,608737000.0,689992000.0,632088000.0,177473000.0
Other Equity Interest,5182000.0,5719000.0,4503000.0,4462000.0
Gains Losses Not Affecting Retained Earnings,-77796000.0,-53484000.0,-53615000.0,-46182000.0
Other Equity Adjustments,12843000.0,-53484000.0,-53615000.0,-46182000.0
Foreign Currency Translation Adjustments,-87691000.0,,,
Minimum Pension Liabilities,-2776000.0,,,
Unrealized Gain Loss,-172000.0,,,
Treasury Stock,4392112000.0,3570691000.0,2799890000.0,2600543000.0
Retained Earnings,3599529000.0,2920440000.0,2175595000.0,1595648000.0
Additional Paid In Capital,1463215000.0,1377320000.0,1294849000.0,1213517000.0
Capital Stock,10719000.0,10688000.0,10646000.0,10571000.0
Common Stock,10719000.0,10688000.0,10646000.0,10571000.0
Total Liabilities Net Minority Interest,2138028000.0,1747211000.0,1661766000.0,1654650000.0
Total Non Current Liabilities Net Minority Interest,902225000.0,983632000.0,1079005000.0,929313000.0
Other Non Current Liabilities,207838000.0,208427000.0,220513000.0,230403000.0
Non Current Accrued Expenses,18445000.0,14475000.0,25291000.0,13701000.0
Tradeand Other Payables Non Current,49142000.0,56466000.0,60313000.0,67463000.0
Non Current Deferred Liabilities,39012000.0,50109000.0,57870000.0,81767000.0
Non Current Deferred Revenue,30862000.0,41174000.0,46163000.0,48743000.0
