,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,4137000000.0,4070000000.0,4062000000.0,4290000000.0
Share Issued,4137000000.0,4070000000.0,4062000000.0,4290000000.0
Net Debt,30907000000.0,33274000000.0,30536000000.0,24807000000.0
Total Debt,42051000000.0,38101000000.0,36401000000.0,29001000000.0
Tangible Book Value,67814000000.0,61158000000.0,45041000000.0,40401000000.0
Invested Capital,143474000000.0,133492000000.0,117439000000.0,106505000000.0
Working Capital,18252000000.0,30256000000.0,22495000000.0,8929000000.0
Net Tangible Assets,67814000000.0,61158000000.0,45041000000.0,40401000000.0
Common Stock Equity,101423000000.0,95391000000.0,81038000000.0,77504000000.0
Total Capitalization,139107000000.0,128901000000.0,114935000000.0,102812000000.0
Total Equity Gross Minority Interest,103286000000.0,95391000000.0,81038000000.0,77504000000.0
Minority Interest,1863000000.0,,,
Stockholders Equity,101423000000.0,95391000000.0,81038000000.0,77504000000.0
Other Equity Interest,,,,155000000.0
Gains Losses Not Affecting Retained Earnings,-562000000.0,-880000000.0,-751000000.0,-1280000000.0
Other Equity Adjustments,-562000000.0,-880000000.0,-751000000.0,-1280000000.0
Retained Earnings,70405000000.0,68265000000.0,56233000000.0,53523000000.0
Capital Stock,31580000000.0,28006000000.0,25556000000.0,25261000000.0
Common Stock,31580000000.0,28006000000.0,25556000000.0,25261000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,78817000000.0,73015000000.0,72053000000.0,59020000000.0
Total Non Current Liabilities Net Minority Interest,46662000000.0,45553000000.0,47299000000.0,36710000000.0
Other Non Current Liabilities,4980000000.0,4886000000.0,3614000000.0,2916000000.0
Preferred Securities Outside Stock Equity,,,0.0,155000000.0
Tradeand Other Payables Non Current,3796000000.0,4305000000.0,4578000000.0,4919000000.0
Non Current Deferred Liabilities,202000000.0,2852000000.0,5210000000.0,3412000000.0
Non Current Deferred Revenue,,185000000.0,1367000000.0,1368000000.0
Non Current Deferred Taxes Liabilities,202000000.0,2667000000.0,3843000000.0,2044000000.0
Long Term Debt And Capital Lease Obligation,37684000000.0,33510000000.0,33897000000.0,25308000000.0
Long Term Debt,37684000000.0,33510000000.0,33897000000.0,25308000000.0
Current Liabilities,32155000000.0,27462000000.0,24754000000.0,22310000000.0
Other Current Liabilities,744000000.0,,,
Current Deferred Liabilities,2400000000.0,,,
Current Debt And Capital Lease Obligation,4367000000.0,4591000000.0,2504000000.0,3693000000.0
Current Debt,4367000000.0,4591000000.0,2504000000.0,3693000000.0
Other Current Borrowings,423000000.0,,,3693000000.0
Commercial Paper,3900000000.0,,,
Pensionand Other Post Retirement Benefit Plans Current,4084000000.0,4535000000.0,3999000000.0,3853000000.0
Payables And Accrued Expenses,23704000000.0,18336000000.0,18251000000.0,14764000000.0
Current Accrued Expenses,11858000000.0,12589000000.0,12670000000.0,10636000000.0
Payables,11846000000.0,5747000000.0,5581000000.0,4128000000.0
Total Tax Payable,2251000000.0,,,
Income Tax Payable,2251000000.0,,,
Accounts Payable,9595000000.0,5747000000.0,5581000000.0,4128000000.0
Total Assets,182103000000.0,168406000000.0,153091000000.0,136524000000.0
Total Non Current Assets,131696000000.0,110688000000.0,105842000000.0,105285000000.0
Other Non Current Assets,11315000000.0,6072000000.0,5917000000.0,5553000000.0
Non Current Prepaid Assets,,,1502000000.0,1641000000.0
Non Current Deferred Assets,,,1232000000.0,1209000000.0
Non Current Deferred Taxes Assets,,,1232000000.0,1209000000.0
Non Current Accounts Receivable,,,,554000000.0
Financial Assets,,,1550000000.0,
Investments And Advances,5912000000.0,7138000000.0,7344000000.0,7243000000.0
Other Investments,,840000000.0,2192000000.0,3276000000.0
Investmentin Financial Assets,5902000000.0,6282000000.0,,3967000000.0
Available For Sale Securities,5902000000.0,6282000000.0,,3967000000.0
Long Term Equity Investment,5912000000.0,6298000000.0,5152000000.0,3967000000.0
Investments In Other Ventures Under Equity Method,10000000.0,,,
Goodwill And Other Intangible Assets,33609000000.0,34233000000.0,35997000000.0,37103000000.0
Other Intangible Assets,6018000000.0,7270000000.0,9026000000.0,10827000000.0
Goodwill,27591000000.0,26963000000.0,26971000000.0,26276000000.0
Net PPE,80860000000.0,63245000000.0,56584000000.0,55386000000.0
Accumulated Depreciation,-93386000000.0,-85294000000.0,-77645000000.0,-73321000000.0
Gross PPE,174246000000.0,148539000000.0,134229000000.0,128707000000.0
Construction In Progress,36727000000.0,21545000000.0,17309000000.0,16063000000.0
Machinery Furniture Equipment,92711000000.0,86955000000.0,79384000000.0,74901000000.0
Land And Improvements,,,,37743000000.0
Properties,44808000000.0,40039000000.0,37536000000.0,37743000000.0
Current Assets,50407000000.0,57718000000.0,47249000000.0,31239000000.0
Other Current Assets,4667000000.0,2130000000.0,2745000000.0,1713000000.0
Assets Held For Sale Current,45000000.0,6942000000.0,5400000000.0,
Inventory,13224000000.0,10776000000.0,8427000000.0,8744000000.0
Finished Goods,4142000000.0,2679000000.0,1512000000.0,1679000000.0
Work In Process,7565000000.0,6656000000.0,6007000000.0,6225000000.0
Raw Materials,1517000000.0,1441000000.0,908000000.0,840000000.0
Receivables,4133000000.0,9457000000.0,6782000000.0,7659000000.0
Accounts Receivable,4133000000.0,9457000000.0,6782000000.0,7659000000.0
Cash Cash Equivalents And Short Term Investments,28338000000.0,28413000000.0,23895000000.0,13123000000.0
Other Short Term Investments,17194000000.0,23586000000.0,18030000000.0,8929000000.0
Cash And Cash Equivalents,11144000000.0,4827000000.0,5865000000.0,4194000000.0
