,2023-07-31,2022-07-31,2021-07-31,2020-07-31
Ordinary Shares Number,280421000.0,281932000.0,273235000.0,261740000.0
Share Issued,280421000.0,281932000.0,273235000.0,261740000.0
Net Debt,3272000000.0,4118000000.0,,
Total Debt,6600000000.0,7456000000.0,2414000000.0,3590000000.0
Tangible Book Value,-2930000000.0,-4356000000.0,1004000000.0,3424000000.0
Invested Capital,6120000000.0,6914000000.0,2034000000.0,3369000000.0
Working Capital,1767000000.0,1417000000.0,2502000000.0,4451000000.0
Net Tangible Assets,-2930000000.0,-4356000000.0,1004000000.0,3424000000.0
Capital Lease Obligations,480000000.0,542000000.0,380000000.0,221000000.0
Common Stock Equity,17269000000.0,16441000000.0,9869000000.0,5106000000.0
Total Capitalization,23389000000.0,22856000000.0,11903000000.0,7137000000.0
Total Equity Gross Minority Interest,17269000000.0,16441000000.0,9869000000.0,5106000000.0
Stockholders Equity,17269000000.0,16441000000.0,9869000000.0,5106000000.0
Gains Losses Not Affecting Retained Earnings,-55000000.0,-60000000.0,-24000000.0,-32000000.0
Treasury Stock,16772000000.0,14805000000.0,12951000000.0,11929000000.0
Retained Earnings,15067000000.0,13581000000.0,12296000000.0,10885000000.0
Additional Paid In Capital,19026000000.0,17722000000.0,10545000000.0,6179000000.0
Capital Stock,3000000.0,3000000.0,3000000.0,3000000.0
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,10511000000.0,11293000000.0,5647000000.0,5825000000.0
Total Non Current Liabilities Net Minority Interest,6721000000.0,7663000000.0,2992000000.0,2296000000.0
Other Non Current Liabilities,117000000.0,87000000.0,53000000.0,42000000.0
Tradeand Other Payables Non Current,92000000.0,56000000.0,,
Non Current Deferred Liabilities,4000000.0,619000000.0,525000000.0,2000000.0
Non Current Deferred Revenue,5000000.0,6000000.0,,
Non Current Deferred Taxes Liabilities,4000000.0,619000000.0,525000000.0,2000000.0
Long Term Debt And Capital Lease Obligation,6600000000.0,6957000000.0,2414000000.0,2252000000.0
Long Term Capital Lease Obligation,480000000.0,542000000.0,380000000.0,221000000.0
Long Term Debt,6120000000.0,6415000000.0,2034000000.0,2031000000.0
Current Liabilities,3790000000.0,3630000000.0,2655000000.0,3529000000.0
Other Current Liabilities,448000000.0,579000000.0,361000000.0,297000000.0
Current Deferred Liabilities,1341000000.0,1239000000.0,1141000000.0,1107000000.0
Current Deferred Revenue,1341000000.0,1239000000.0,1141000000.0,1107000000.0
Current Debt And Capital Lease Obligation,89000000.0,499000000.0,66000000.0,1338000000.0
Current Capital Lease Obligation,89000000.0,84000000.0,66000000.0,46000000.0
Current Debt,,499000000.0,,1338000000.0
Other Current Borrowings,,,,1338000000.0
Line Of Credit,0.0,499000000.0,0.0,
Pensionand Other Post Retirement Benefit Plans Current,665000000.0,576000000.0,530000000.0,482000000.0
Current Provisions,32000000.0,52000000.0,31000000.0,35000000.0
Payables And Accrued Expenses,1336000000.0,737000000.0,623000000.0,305000000.0
Current Accrued Expenses,0.0,152000000.0,1000000.0,3000000.0
Interest Payable,,11000000.0,1000000.0,3000000.0
Payables,1336000000.0,737000000.0,623000000.0,305000000.0
Dividends Payable,,12000000.0,9000000.0,6000000.0
Total Tax Payable,698000000.0,48000000.0,,
Income Tax Payable,698000000.0,8000000.0,,
