,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,350000000.0,357700000.0,353100000.0,348000000.0
Share Issued,350000000.0,357700000.0,353100000.0,348000000.0
Total Debt,,87000000.0,,
Tangible Book Value,10764100000.0,11607900000.0,9422400000.0,7977500000.0
Invested Capital,11041900000.0,11901100000.0,9731500000.0,8263800000.0
Working Capital,6715400000.0,8385800000.0,6706300000.0,6063000000.0
Net Tangible Assets,10764100000.0,11607900000.0,9422400000.0,7977500000.0
Capital Lease Obligations,,87000000.0,,
Common Stock Equity,11112600000.0,11951500000.0,9759100000.0,8284700000.0
Total Capitalization,11112600000.0,11951500000.0,9759100000.0,8284700000.0
Total Equity Gross Minority Interest,11112600000.0,11951500000.0,9759100000.0,8284700000.0
Minority Interest,70700000.0,50400000.0,27600000.0,20900000.0
Stockholders Equity,11112600000.0,11951500000.0,9759100000.0,8284700000.0
Gains Losses Not Affecting Retained Earnings,-162500000.0,-24200000.0,24900000.0,12400000.0
Other Equity Adjustments,-162500000.0,-24200000.0,24900000.0,12400000.0
Retained Earnings,3500100000.0,4760900000.0,3261300000.0,2494500000.0
Additional Paid In Capital,7703900000.0,7164000000.0,6445200000.0,5756800000.0
Capital Stock,400000.0,400000.0,100000.0,100000.0
Common Stock,400000.0,400000.0,100000.0,100000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,1861400000.0,1603500000.0,1409800000.0,1448500000.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0,0.0,0.0
Other Non Current Liabilities,110300000.0,100300000.0,106900000.0,132300000.0
Tradeand Other Payables Non Current,288000000.0,316600000.0,305600000.0,258600000.0
Non Current Deferred Liabilities,41000000.0,36800000.0,32100000.0,27400000.0
Non Current Deferred Revenue,41000000.0,36800000.0,32100000.0,27400000.0
Long Term Debt And Capital Lease Obligation,,87000000.0,,
Long Term Capital Lease Obligation,,87000000.0,,
Current Liabilities,1861400000.0,1603500000.0,1409800000.0,1448500000.0
Current Deferred Liabilities,438300000.0,414000000.0,382400000.0,365200000.0
Current Deferred Revenue,438300000.0,414000000.0,382400000.0,365200000.0
Pensionand Other Post Retirement Benefit Plans Current,401600000.0,350100000.0,235000000.0,251600000.0
Payables And Accrued Expenses,1423100000.0,1189500000.0,1027400000.0,1083300000.0
Current Accrued Expenses,372300000.0,235600000.0,240700000.0,243700000.0
Payables,243100000.0,175300000.0,128800000.0,1083300000.0
Total Tax Payable,96100000.0,54100000.0,47200000.0,37900000.0
Accounts Payable,147000000.0,121200000.0,81600000.0,1083300000.0
Total Assets,12974000000.0,13555000000.0,11168900000.0,9733200000.0
Total Non Current Assets,4397200000.0,3565700000.0,3052800000.0,2221700000.0
Other Non Current Assets,1009900000.0,904300000.0,771100000.0,641600000.0
Non Current Deferred Assets,664600000.0,441400000.0,367700000.0,425600000.0
Non Current Deferred Taxes Assets,664600000.0,441400000.0,367700000.0,425600000.0
Investments And Advances,2623600000.0,4415500000.0,1757700000.0,2623500000.0
Goodwill And Other Intangible Assets,348500000.0,343600000.0,336700000.0,307200000.0
Other Intangible Assets,49800000.0,70500000.0,77400000.0,112100000.0
Goodwill,348500000.0,343600000.0,336700000.0,307200000.0
Net PPE,2374200000.0,1876400000.0,1577300000.0,1272900000.0
Accumulated Depreciation,-1237900000.0,-968600000.0,-757700000.0,-563100000.0
Gross PPE,3612100000.0,2845000000.0,2335000000.0,1836000000.0
Construction In Progress,608600000.0,209700000.0,117400000.0,272500000.0
Other Properties,806400000.0,616100000.0,419900000.0,293800000.0
Machinery Furniture Equipment,942000000.0,838900000.0,746000000.0,613400000.0
Buildings And Improvements,866500000.0,812500000.0,773800000.0,408300000.0
Land And Improvements,388600000.0,367800000.0,277900000.0,248000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,8576800000.0,9989300000.0,8116100000.0,7511500000.0
Other Current Assets,164300000.0,,,200200000.0
Current Deferred Assets,,,,425600000.0
Current Deferred Taxes Assets,,,,425600000.0
Prepaid Assets,,133900000.0,126300000.0,200200000.0
Inventory,893200000.0,587100000.0,601500000.0,595500000.0
Finished Goods,350400000.0,276100000.0,341800000.0,308600000.0
Work In Process,159900000.0,96400000.0,75600000.0,75900000.0
Raw Materials,382900000.0,214600000.0,184100000.0,211000000.0
Receivables,942100000.0,782700000.0,645500000.0,645200000.0
Other Receivables,131200000.0,110300000.0,81100000.0,
Accounts Receivable,942100000.0,782700000.0,645500000.0,645200000.0
Allowance For Doubtful Accounts Receivable,-22400000.0,-20200000.0,-17700000.0,-8300000.0
Gross Accounts Receivable,964500000.0,802900000.0,663200000.0,653500000.0
Cash Cash Equivalents And Short Term Investments,6741500000.0,8619500000.0,6869100000.0,5845200000.0
Other Short Term Investments,2541000000.0,2940000000.0,3548900000.0,2054100000.0
Cash And Cash Equivalents,1581200000.0,1290900000.0,1622600000.0,1167600000.0
Cash Equivalents,1084000000.0,718600000.0,978300000.0,754500000.0
Cash Financial,497200000.0,572300000.0,644300000.0,413100000.0
