,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,48517182.0,48517182.0,26294794.0,49627886.0
Ordinary Shares Number,3143016923.0,3110791649.0,3103499039.0,2897342471.0
Share Issued,3191534105.0,3151572749.0,3121451753.0,2946970357.0
Total Debt,65045000000.0,34139270000.0,31554134000.0,18768426000.0
Tangible Book Value,147256000000.0,176314100000.0,159051085000.0,60210525000.0
Invested Capital,255745000000.0,222665287000.0,203333938000.0,91907752000.0
Working Capital,84513000000.0,78036067000.0,60784596000.0,-922463000.0
Net Tangible Assets,147256000000.0,176314100000.0,159051085000.0,60210525000.0
Capital Lease Obligations,22666000000.0,20385636000.0,15763491000.0,8716644000.0
Common Stock Equity,213366000000.0,208911653000.0,187543295000.0,81855970000.0
Total Capitalization,243599000000.0,218297612000.0,200074056000.0,91907752000.0
Total Equity Gross Minority Interest,274123000000.0,246784125000.0,221619116000.0,100624231000.0
Minority Interest,60757000000.0,37872472000.0,34075821000.0,18768261000.0
Stockholders Equity,213366000000.0,208911653000.0,187543295000.0,81855970000.0
Gains Losses Not Affecting Retained Earnings,2514000000.0,-4504000000.0,-2014792000.0,5622312000.0
Other Equity Adjustments,2514000000.0,-4504000000.0,-2014792000.0,5622312000.0
Treasury Stock,2493000000.0,2968000000.0,1218223000.0,2530166000.0
Retained Earnings,29304000000.0,33805000000.0,37418433000.0,-11912679000.0
Additional Paid In Capital,184041000000.0,182578000000.0,153357473000.0,90676122000.0
Capital Stock,0.0,0.0,404000.0,381000.0
Common Stock,0.0,0.0,404000.0,381000.0
Total Liabilities Net Minority Interest,321127000000.0,249722592000.0,200668678000.0,159099473000.0
Total Non Current Liabilities Net Minority Interest,54566000000.0,28087042000.0,26652016000.0,19082452000.0
Other Non Current Liabilities,1737000000.0,1786364000.0,331623000.0,225883000.0
Preferred Securities Outside Stock Equity,,1211901000.0,17133208000.0,15964384000.0
Non Current Deferred Liabilities,7618000000.0,3193922000.0,3539675000.0,3281623000.0
Non Current Deferred Revenue,1107000000.0,1296758000.0,1617844000.0,1942635000.0
Non Current Deferred Taxes Liabilities,6511000000.0,1897164000.0,1921831000.0,1338988000.0
Long Term Debt And Capital Lease Obligation,45211000000.0,23106756000.0,22780718000.0,15574946000.0
Long Term Capital Lease Obligation,14978000000.0,13720797000.0,10249957000.0,5523164000.0
Long Term Debt,30233000000.0,9385959000.0,12530761000.0,10051782000.0
Current Liabilities,266561000000.0,221635550000.0,174016662000.0,140017021000.0
Other Current Liabilities,72000000.0,20838000000.0,360196000.0,16971750000.0
Current Deferred Liabilities,37064000000.0,32563674000.0,24415314000.0,19405213000.0
Current Deferred Revenue,37064000000.0,32563674000.0,24415314000.0,19405213000.0
Current Debt And Capital Lease Obligation,19834000000.0,11032514000.0,8773416000.0,3193480000.0
Current Capital Lease Obligation,7688000000.0,6664839000.0,5513534000.0,3193480000.0
