,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,1408394293.0,1418119197.0,1407260676.0,1406852305.0
Share Issued,1408394293.0,1418119197.0,1407260676.0,1406852305.0
Net Debt,11432000000.0,11315000000.0,13248000000.0,14345000000.0
Total Debt,11967000000.0,11882000000.0,13488000000.0,14420000000.0
Tangible Book Value,-18129000000.0,-19066000000.0,-20323000000.0,-21032000000.0
Invested Capital,37093000000.0,36854000000.0,37317000000.0,37677000000.0
Working Capital,-4272000000.0,-3428000000.0,-5306000000.0,-4201000000.0
Net Tangible Assets,-18129000000.0,-19066000000.0,-20323000000.0,-21032000000.0
Capital Lease Obligations,1616000000.0,1384000000.0,994000000.0,806000000.0
Common Stock Equity,25126000000.0,24972000000.0,23829000000.0,23257000000.0
Total Capitalization,36198000000.0,36550000000.0,34972000000.0,36084000000.0
Total Equity Gross Minority Interest,25125000000.0,24972000000.0,23830000000.0,23257000000.0
Minority Interest,-1000000.0,0.0,1000000.0,
Stockholders Equity,25126000000.0,24972000000.0,23829000000.0,23257000000.0
Gains Losses Not Affecting Retained Earnings,129000000.0,-26000000.0,77000000.0,104000000.0
Other Equity Adjustments,129000000.0,-26000000.0,77000000.0,104000000.0
Retained Earnings,3539000000.0,3199000000.0,2061000000.0,1582000000.0
Additional Paid In Capital,21444000000.0,21785000000.0,21677000000.0,21557000000.0
Capital Stock,14000000.0,14000000.0,14000000.0,14000000.0
Common Stock,14000000.0,14000000.0,14000000.0,14000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,26712000000.0,25626000000.0,25949000000.0,26261000000.0
Total Non Current Liabilities Net Minority Interest,18636000000.0,19141000000.0,18255000000.0,19787000000.0
Other Non Current Liabilities,1825000000.0,1577000000.0,1119000000.0,930000000.0
Derivative Product Liabilities,195000000.0,143000000.0,18000000.0,4000000.0
Employee Benefits,37000000.0,40000000.0,38000000.0,29000000.0
Non Current Pension And Other Postretirement Benefit Plans,37000000.0,40000000.0,38000000.0,29000000.0
Non Current Deferred Liabilities,5739000000.0,5986000000.0,5993000000.0,6030000000.0
Non Current Deferred Taxes Liabilities,5739000000.0,5986000000.0,5993000000.0,6030000000.0
Long Term Debt And Capital Lease Obligation,11072000000.0,11578000000.0,11143000000.0,12827000000.0
Long Term Capital Lease Obligation,1421000000.0,1229000000.0,878000000.0,696000000.0
Long Term Debt,11072000000.0,11578000000.0,11143000000.0,12827000000.0
Long Term Provisions,69000000.0,75000000.0,72000000.0,66000000.0
Current Liabilities,8076000000.0,6485000000.0,7694000000.0,6474000000.0
Other Current Liabilities,685000000.0,613000000.0,416000000.0,445000000.0
Current Debt And Capital Lease Obligation,895000000.0,304000000.0,2345000000.0,1593000000.0
Current Capital Lease Obligation,195000000.0,155000000.0,116000000.0,110000000.0
Current Debt,895000000.0,304000000.0,2345000000.0,1593000000.0
Other Current Borrowings,496000000.0,155000000.0,2345000000.0,347000000.0
Commercial Paper,399000000.0,149000000.0,,1246000000.0
Pensionand Other Post Retirement Benefit Plans Current,246000000.0,227000000.0,215000000.0,183000000.0
Current Provisions,53000000.0,33000000.0,35000000.0,39000000.0
Payables And Accrued Expenses,6496000000.0,5568000000.0,4933000000.0,4436000000.0
Current Accrued Expenses,1153000000.0,1110000000.0,1040000000.0,939000000.0
Interest Payable,76000000.0,55000000.0,57000000.0,54000000.0
Payables,5343000000.0,4458000000.0,3893000000.0,3497000000.0
Other Payable,137000000.0,142000000.0,153000000.0,321000000.0
Dividends Payable,281000000.0,265000000.0,212000000.0,212000000.0
Total Tax Payable,87000000.0,144000000.0,39000000.0,75000000.0
Income Tax Payable,87000000.0,144000000.0,39000000.0,75000000.0
Accounts Payable,5206000000.0,4316000000.0,3740000000.0,3176000000.0
Total Assets,51837000000.0,50598000000.0,49779000000.0,49518000000.0
Total Non Current Assets,48033000000.0,47541000000.0,47391000000.0,47245000000.0
Other Non Current Assets,1252000000.0,937000000.0,894000000.0,748000000.0
Non Current Deferred Assets,35000000.0,42000000.0,45000000.0,29000000.0
