,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,857825.0,857825.0,
Ordinary Shares Number,1829314736.0,1647555590.0,1618621534.0
Share Issued,1830172561.0,1648413415.0,1618621534.0
Net Debt,256075000.0,,
Total Debt,2083762000.0,1997057000.0,980000.0
Tangible Book Value,4349701000.0,3909355000.0,-1318777000.0
Invested Capital,6341541000.0,5896146000.0,-1317797000.0
Working Capital,3974469000.0,6110876000.0,477273000.0
Net Tangible Assets,4349701000.0,3909355000.0,1175299000.0
Capital Lease Obligations,91922000.0,10266000.0,0.0
Common Stock Equity,4349701000.0,3909355000.0,-1318777000.0
Preferred Stock Equity,,,2494076000.0
Total Capitalization,6341541000.0,5896146000.0,1175299000.0
Total Equity Gross Minority Interest,4349701000.0,3909355000.0,1175299000.0
Stockholders Equity,4349701000.0,3909355000.0,1175299000.0
Gains Losses Not Affecting Retained Earnings,-11572000.0,,
Other Equity Adjustments,-11572000.0,,
Treasury Stock,20716000.0,20716000.0,0.0
Retained Earnings,-7370332000.0,-6065872000.0,-1356893000.0
Additional Paid In Capital,11752138000.0,9995778000.0,38113000.0
Capital Stock,183000.0,165000.0,2494079000.0
Common Stock,183000.0,165000.0,3000.0
Preferred Stock,0.0,0.0,2494076000.0
Total Liabilities Net Minority Interest,3529537000.0,3972358000.0,227382000.0
Total Non Current Liabilities Net Minority Interest,2591978000.0,3576257000.0,42099000.0
Other Non Current Liabilities,378212000.0,188575000.0,10258000.0
Derivative Product Liabilities,140590000.0,1394808000.0,2960000.0
Non Current Deferred Liabilities,,0.0,28881000.0
Long Term Debt And Capital Lease Obligation,2073176000.0,1992874000.0,0.0
Long Term Capital Lease Obligation,81336000.0,6083000.0,0.0
Long Term Debt,1991840000.0,1986791000.0,
Current Liabilities,937559000.0,396101000.0,185283000.0
Other Current Liabilities,634567000.0,318212000.0,93058000.0
Current Debt And Capital Lease Obligation,10586000.0,4183000.0,980000.0
Current Capital Lease Obligation,10586000.0,4183000.0,0.0
Current Debt,9595000.0,15281000.0,980000.0
Line Of Credit,9595000.0,,
Current Notes Payable,,15281000.0,980000.0
Pensionand Other Post Retirement Benefit Plans Current,63322000.0,32364000.0,16197000.0
Payables And Accrued Expenses,229084000.0,41342000.0,75048000.0
Current Accrued Expenses,229898000.0,63690000.0,57715000.0
Payables,229084000.0,41342000.0,17333000.0
Accounts Payable,229084000.0,41342000.0,17333000.0
Total Assets,7879238000.0,7881713000.0,1402681000.0
Total Non Current Assets,2967210000.0,1374736000.0,740125000.0
Other Non Current Assets,55300000.0,30609000.0,26851000.0
Investments And Advances,529974000.0,,
Investmentin Financial Assets,529974000.0,,
Held To Maturity Securities,248396000.0,,
Available For Sale Securities,281578000.0,,
Net PPE,2381936000.0,1344127000.0,713274000.0
Accumulated Depreciation,-273090000.0,-86013000.0,-24771000.0
Gross PPE,2381936000.0,1344127000.0,738045000.0
Leases,182904000.0,135533000.0,47187000.0
Construction In Progress,1077179000.0,276919000.0,636851000.0
Other Properties,2381936000.0,1344127000.0,3908000.0
Machinery Furniture Equipment,819708000.0,645111000.0,49049000.0
Buildings And Improvements,197406000.0,195952000.0,0.0
Land And Improvements,64677000.0,1050000.0,1050000.0
Properties,0.0,0.0,0.0
Current Assets,4912028000.0,6506977000.0,662556000.0
Other Current Assets,81541000.0,43328000.0,24496000.0
Prepaid Assets,63548000.0,70346000.0,21840000.0
Inventory,834401000.0,127250000.0,1043000.0
Finished Goods,335359000.0,8963000.0,312000.0
Work In Process,34311000.0,30641000.0,70000.0
Raw Materials,464731000.0,87646000.0,661000.0
Receivables,19542000.0,3148000.0,260000.0
Accounts Receivable,19542000.0,3148000.0,260000.0
Cash Cash Equivalents And Short Term Investments,3912996000.0,6262905000.0,614917000.0
Other Short Term Investments,2177231000.0,0.0,505000.0
Cash And Cash Equivalents,1735765000.0,6262905000.0,614412000.0
Cash Equivalents,1735765000.0,,
Cash Financial,,6262905000.0,614412000.0
