,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Treasury Shares Number,32345809.0,23304872.0,21900970.0,26131176.0
Ordinary Shares Number,545459814.0,554500524.0,547057188.0,490651286.0
Share Issued,577805623.0,577805396.0,568958158.0,516782462.0
Net Debt,6439900000.0,7687400000.0,8904100000.0,9482200000.0
Total Debt,6439900000.0,7687400000.0,8904100000.0,9482200000.0
Tangible Book Value,6513600000.0,5894800000.0,5337100000.0,5585500000.0
Invested Capital,6439900000.0,7687400000.0,8904100000.0,9482200000.0
Working Capital,-49300000.0,1053600000.0,-264400000.0,579800000.0
Net Tangible Assets,6513600000.0,5894800000.0,5337100000.0,5585500000.0
Capital Lease Obligations,160100000.0,162700000.0,165200000.0,139200000.0
Common Stock Equity,6513600000.0,5894800000.0,5337100000.0,5585500000.0
Total Capitalization,11555300000.0,13582200000.0,12918300000.0,14458900000.0
Total Equity Gross Minority Interest,6513600000.0,5894800000.0,5337100000.0,5585500000.0
Stockholders Equity,6513600000.0,5894800000.0,5337100000.0,5585500000.0
Gains Losses Not Affecting Retained Earnings,-4100000.0,-20600000.0,-26200000.0,-21600000.0
Other Equity Adjustments,-4100000.0,-20600000.0,-26200000.0,-21600000.0
Treasury Stock,1660200000.0,796300000.0,433800000.0,500600000.0
Retained Earnings,5764100000.0,4175200000.0,3393500000.0,3432400000.0
Additional Paid In Capital,2413300000.0,2535900000.0,2403300000.0,2675100000.0
Capital Stock,500000.0,600000.0,300000.0,200000.0
Common Stock,500000.0,600000.0,300000.0,200000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,9856700000.0,10304700000.0,11141700000.0,11840600000.0
Total Non Current Liabilities Net Minority Interest,6738100000.0,8905700000.0,8732100000.0,10203200000.0
Other Non Current Liabilities,948000000.0,473900000.0,417100000.0,342900000.0
Tradeand Other Payables Non Current,705700000.0,704600000.0,689900000.0,668400000.0
Non Current Deferred Liabilities,42700000.0,39800000.0,43900000.0,318500000.0
Non Current Deferred Taxes Liabilities,42700000.0,39800000.0,43900000.0,318500000.0
Long Term Debt And Capital Lease Obligation,5041700000.0,7687400000.0,7581200000.0,8873400000.0
Long Term Capital Lease Obligation,128600000.0,128900000.0,125400000.0,94700000.0
Long Term Debt,5041700000.0,7687400000.0,7581200000.0,8873400000.0
Current Liabilities,3118600000.0,1399000000.0,2409600000.0,1637400000.0
Current Deferred Liabilities,121400000.0,,,
Current Deferred Revenue,121400000.0,,,
Current Debt And Capital Lease Obligation,1398200000.0,33800000.0,1322900000.0,608800000.0
Current Capital Lease Obligation,31500000.0,33800000.0,39800000.0,44500000.0
Current Debt,1398200000.0,,1322900000.0,608800000.0
Other Current Borrowings,1398200000.0,,1322900000.0,608800000.0
Pensionand Other Post Retirement Benefit Plans Current,193500000.0,213700000.0,166700000.0,137500000.0
Current Provisions,536100000.0,408100000.0,350700000.0,353000000.0
Payables And Accrued Expenses,1720400000.0,1399000000.0,1086700000.0,1028600000.0
Current Accrued Expenses,334800000.0,277200000.0,193700000.0,208800000.0
Payables,503100000.0,466200000.0,335800000.0,284800000.0
Total Tax Payable,106200000.0,121500000.0,43400000.0,38000000.0
Income Tax Payable,106200000.0,121500000.0,43400000.0,38000000.0
Accounts Payable,396900000.0,344700000.0,292400000.0,246800000.0
Total Assets,16370300000.0,16199500000.0,16478800000.0,17426100000.0
Total Non Current Assets,13301000000.0,13746900000.0,14333600000.0,15208900000.0
Other Non Current Assets,12123100000.0,12779000000.0,13478900000.0,14332800000.0
Non Current Deferred Assets,1623300000.0,1797100000.0,1749200000.0,1748500000.0
Non Current Deferred Taxes Assets,1623300000.0,1797100000.0,1749200000.0,1748500000.0
Goodwill And Other Intangible Assets,10042600000.0,10716700000.0,11465400000.0,12367100000.0
Other Intangible Assets,3369000000.0,4043100000.0,4794800000.0,5702300000.0
Goodwill,6673600000.0,6673600000.0,6670600000.0,6664800000.0
Net PPE,1177900000.0,967900000.0,854700000.0,876100000.0
Accumulated Depreciation,-2651200000.0,-2448700000.0,-2242000000.0,-2090000000.0
Gross PPE,3983100000.0,3569900000.0,3251000000.0,3085600000.0
Construction In Progress,354300000.0,182400000.0,102700000.0,100100000.0
Other Properties,154000000.0,153300000.0,154300000.0,119500000.0
Machinery Furniture Equipment,2669100000.0,2471600000.0,2251100000.0,2123100000.0
Buildings And Improvements,716400000.0,674400000.0,659700000.0,659500000.0
Land And Improvements,89300000.0,88200000.0,83200000.0,83400000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,3069300000.0,2452600000.0,2145200000.0,2217200000.0
Other Current Assets,205100000.0,206200000.0,200500000.0,194500000.0
Inventory,1324900000.0,854400000.0,665000000.0,685700000.0
Finished Goods,322500000.0,208600000.0,136500000.0,151700000.0
Work In Process,809800000.0,482800000.0,412800000.0,441700000.0
Raw Materials,192600000.0,163000000.0,115700000.0,92300000.0
Receivables,1305300000.0,1072600000.0,997700000.0,934000000.0
Receivables Adjustments Allowances,-8600000.0,-6200000.0,-5200000.0,-4900000.0
Other Receivables,13400000.0,9300000.0,11300000.0,14800000.0
Accounts Receivable,1305300000.0,1072600000.0,997700000.0,934000000.0
Allowance For Doubtful Accounts Receivable,,,-5200000.0,-4900000.0
Gross Accounts Receivable,,,1002900000.0,938900000.0
Cash Cash Equivalents And Short Term Investments,234000000.0,319400000.0,282000000.0,403000000.0
Other Short Term Investments,0.0,2000000.0,2000000.0,2000000.0
Cash And Cash Equivalents,234000000.0,317400000.0,280000000.0,401000000.0
