,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,630646687.0,604907239.0,577363557.0,561531524.0
Ordinary Shares Number,1365891091.0,1391630539.0,1419174221.0,1435006254.0
Share Issued,1996537778.0,1996537778.0,1996537778.0,1996537778.0
Net Debt,21010000000.0,15966000000.0,16427000000.0,17135000000.0
Total Debt,23447000000.0,19971000000.0,20516000000.0,18829000000.0
Tangible Book Value,-16277000000.0,-12000000000.0,-12799000000.0,-11530000000.0
Invested Capital,49816000000.0,47781000000.0,47624000000.0,45701000000.0
Working Capital,-6640000000.0,-3666000000.0,-5180000000.0,-7692000000.0
Net Tangible Assets,-16277000000.0,-12000000000.0,-12799000000.0,-11530000000.0
Capital Lease Obligations,514000000.0,459000000.0,470000000.0,403000000.0
Common Stock Equity,26883000000.0,28269000000.0,27578000000.0,27275000000.0
Total Capitalization,47134000000.0,45819000000.0,44854000000.0,41482000000.0
Total Equity Gross Minority Interest,26920000000.0,28323000000.0,27654000000.0,27351000000.0
Minority Interest,37000000.0,54000000.0,76000000.0,76000000.0
Stockholders Equity,26883000000.0,28269000000.0,27578000000.0,27275000000.0
Gains Losses Not Affecting Retained Earnings,-10947000000.0,-10624000000.0,-10690000000.0,-10258000000.0
Other Equity Adjustments,-10947000000.0,-10624000000.0,-10690000000.0,-10258000000.0
Treasury Stock,25794000000.0,24010000000.0,22204000000.0,21139000000.0
Retained Earnings,31481000000.0,30806000000.0,28402000000.0,26653000000.0
Additional Paid In Capital,32143000000.0,32097000000.0,32070000000.0,32019000000.0
Capital Stock,0.0,0.0,0.0,0.0
Common Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,44241000000.0,38769000000.0,40156000000.0,37198000000.0
Total Non Current Liabilities Net Minority Interest,27510000000.0,24761000000.0,24997000000.0,21876000000.0
Other Non Current Liabilities,2688000000.0,2326000000.0,2302000000.0,2351000000.0
Employee Benefits,620000000.0,982000000.0,1603000000.0,1577000000.0
Non Current Pension And Other Postretirement Benefit Plans,620000000.0,982000000.0,1603000000.0,1577000000.0
Non Current Deferred Liabilities,3437000000.0,3444000000.0,3346000000.0,3338000000.0
Non Current Deferred Taxes Liabilities,3437000000.0,3444000000.0,3346000000.0,3338000000.0
Long Term Debt And Capital Lease Obligation,20765000000.0,18009000000.0,17746000000.0,14610000000.0
Long Term Capital Lease Obligation,514000000.0,459000000.0,470000000.0,403000000.0
Long Term Debt,20251000000.0,17550000000.0,17276000000.0,14207000000.0
Current Liabilities,16731000000.0,14008000000.0,15159000000.0,15322000000.0
Other Current Liabilities,3168000000.0,2397000000.0,3216000000.0,2645000000.0
Current Debt And Capital Lease Obligation,2682000000.0,1962000000.0,2770000000.0,4219000000.0
Current Capital Lease Obligation,95000000.0,82000000.0,74000000.0,
Current Debt,2682000000.0,1962000000.0,2770000000.0,4219000000.0
Other Current Borrowings,288000000.0,1664000000.0,2667000000.0,1581000000.0
Line Of Credit,90000000.0,24000000.0,29000000.0,57000000.0
Commercial Paper,2209000000.0,192000000.0,0.0,2581000000.0
Pensionand Other Post Retirement Benefit Plans Current,949000000.0,822000000.0,834000000.0,769000000.0
Payables And Accrued Expenses,9932000000.0,8827000000.0,8339000000.0,7689000000.0
Current Accrued Expenses,2370000000.0,2097000000.0,2130000000.0,1836000000.0
Payables,7562000000.0,6730000000.0,6209000000.0,5853000000.0
Accounts Payable,7562000000.0,6730000000.0,6209000000.0,5853000000.0
Total Assets,71161000000.0,67092000000.0,67810000000.0,64549000000.0
Total Non Current Assets,61070000000.0,56750000000.0,57831000000.0,56919000000.0
Other Non Current Assets,1862000000.0,371000000.0,292000000.0,359000000.0
Defined Pension Benefit,1016000000.0,1009000000.0,672000000.0,516000000.0
Non Current Prepaid Assets,1016000000.0,1009000000.0,672000000.0,516000000.0
Non Current Deferred Assets,473000000.0,541000000.0,790000000.0,726000000.0
Non Current Deferred Taxes Assets,473000000.0,541000000.0,790000000.0,726000000.0
Investments And Advances,4879000000.0,5289000000.0,6036000000.0,7212000000.0
Long Term Equity Investment,4879000000.0,5289000000.0,6036000000.0,7212000000.0
Goodwill And Other Intangible Assets,43160000000.0,40269000000.0,40377000000.0,38805000000.0
Other Intangible Assets,19710000000.0,18291000000.0,18482000000.0,17957000000.0
Goodwill,23450000000.0,21978000000.0,21895000000.0,20848000000.0
Net PPE,9680000000.0,9271000000.0,9664000000.0,9301000000.0
Accumulated Depreciation,-7211000000.0,-7434000000.0,-7329000000.0,-6804000000.0
Gross PPE,9680000000.0,9271000000.0,9664000000.0,9301000000.0
Construction In Progress,879000000.0,732000000.0,628000000.0,680000000.0
Other Properties,9680000000.0,9271000000.0,9664000000.0,9301000000.0
Machinery Furniture Equipment,11724000000.0,11842000000.0,12053000000.0,11295000000.0
Buildings And Improvements,3250000000.0,3139000000.0,3252000000.0,3140000000.0
Land And Improvements,378000000.0,379000000.0,422000000.0,422000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,10091000000.0,10342000000.0,9979000000.0,7630000000.0
Other Current Assets,880000000.0,900000000.0,759000000.0,866000000.0
Inventory,3381000000.0,2708000000.0,2647000000.0,2546000000.0
Inventories Adjustments Allowances,-151000000.0,-116000000.0,-130000000.0,-114000000.0
Finished Goods,2501000000.0,2054000000.0,2059000000.0,1953000000.0
Raw Materials,1031000000.0,770000000.0,718000000.0,707000000.0
Receivables,3907000000.0,3188000000.0,2954000000.0,2927000000.0
Receivables Adjustments Allowances,,,,-44000000.0
Other Receivables,819000000.0,851000000.0,657000000.0,715000000.0
Accounts Receivable,3088000000.0,2337000000.0,2297000000.0,2212000000.0
Allowance For Doubtful Accounts Receivable,-45000000.0,-37000000.0,-42000000.0,-35000000.0
Gross Accounts Receivable,3133000000.0,2374000000.0,2339000000.0,2247000000.0
Cash Cash Equivalents And Short Term Investments,1923000000.0,3546000000.0,3619000000.0,1291000000.0
Cash And Cash Equivalents,1923000000.0,3546000000.0,3619000000.0,1291000000.0
