,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,50257751.0,50418980.0,49869727.0,49709955.0
Share Issued,50257751.0,50418980.0,49869727.0,49709955.0
Net Debt,2848000000.0,934085000.0,,
Total Debt,5414000000.0,3982628000.0,1708116000.0,1017423000.0
Tangible Book Value,1649000000.0,1338474000.0,1552212000.0,1881236000.0
Invested Capital,6585000000.0,5050362000.0,3060847000.0,2800611000.0
Working Capital,2391000000.0,2338277000.0,1710927000.0,2036536000.0
Net Tangible Assets,1649000000.0,1338474000.0,1552212000.0,1980079000.0
Capital Lease Obligations,656000000.0,463957000.0,298847000.0,199932000.0
Common Stock Equity,1827000000.0,1531691000.0,1651578000.0,1983120000.0
Preferred Stock Equity,,,,98843000.0
Total Capitalization,4454000000.0,3764946000.0,2512454000.0,2713316000.0
Total Equity Gross Minority Interest,1827000000.0,1531691000.0,1651578000.0,2081963000.0
Stockholders Equity,1827000000.0,1531691000.0,1651578000.0,2081963000.0
Gains Losses Not Affecting Retained Earnings,-464000000.0,-515141000.0,-468284000.0,-406671000.0
Other Equity Adjustments,-464000000.0,-515141000.0,-468284000.0,-406671000.0
Treasury Stock,931000000.0,789982000.0,54805000.0,720000.0
Retained Earnings,913000000.0,397419000.0,314115000.0,322592000.0
Additional Paid In Capital,2309000000.0,2439345000.0,1860502000.0,2067869000.0
Capital Stock,0.0,50000.0,50000.0,98893000.0
Common Stock,0.0,50000.0,50000.0,50000.0
Preferred Stock,,,0.0,98843000.0
Total Liabilities Net Minority Interest,11909000000.0,8569467000.0,4874754000.0,2699728000.0
Total Non Current Liabilities Net Minority Interest,3347000000.0,2732765000.0,1238874000.0,947408000.0
Other Non Current Liabilities,95000000.0,41292000.0,20191000.0,12627000.0
Derivative Product Liabilities,7000000.0,,,
Tradeand Other Payables Non Current,5000000.0,24108000.0,49852000.0,26803000.0
Non Current Deferred Liabilities,106000000.0,62496000.0,64354000.0,99952000.0
Non Current Deferred Revenue,13000000.0,11469000.0,,
Non Current Deferred Taxes Liabilities,106000000.0,62496000.0,64354000.0,99952000.0
Long Term Debt And Capital Lease Obligation,3141000000.0,2604869000.0,1104477000.0,808026000.0
Long Term Capital Lease Obligation,514000000.0,371614000.0,243601000.0,176673000.0
Long Term Debt,2627000000.0,2233255000.0,860876000.0,631353000.0
Long Term Provisions,53000000.0,12772000.0,10929000.0,7972000.0
Current Liabilities,8562000000.0,5836702000.0,3635880000.0,1752320000.0
Other Current Liabilities,144000000.0,88393000.0,108534000.0,114469000.0
Current Deferred Liabilities,82000000.0,67293000.0,86614000.0,107256000.0
