,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,2614000000.0,2741000000.0,2849000000.0,2852000000.0
Share Issued,2614000000.0,2741000000.0,2849000000.0,2852000000.0
Total Debt,26591000000.0,13873000000.0,10654000000.0,10324000000.0
Tangible Book Value,104510000000.0,105048000000.0,108617000000.0,81445000000.0
Invested Capital,135636000000.0,124879000000.0,128290000000.0,101054000000.0
Working Capital,32523000000.0,45531000000.0,60689000000.0,51172000000.0
Net Tangible Assets,104510000000.0,105048000000.0,108617000000.0,81445000000.0
Capital Lease Obligations,16668000000.0,13873000000.0,10654000000.0,10324000000.0
Common Stock Equity,125713000000.0,124879000000.0,128290000000.0,101054000000.0
Total Capitalization,135636000000.0,124879000000.0,128290000000.0,101054000000.0
Total Equity Gross Minority Interest,125713000000.0,124879000000.0,128290000000.0,101054000000.0
Stockholders Equity,125713000000.0,124879000000.0,128290000000.0,101054000000.0
Gains Losses Not Affecting Retained Earnings,-3530000000.0,-693000000.0,927000000.0,-489000000.0
Other Equity Adjustments,-3530000000.0,-693000000.0,927000000.0,-489000000.0
Retained Earnings,64799000000.0,69761000000.0,77345000000.0,55692000000.0
Additional Paid In Capital,64444000000.0,55811000000.0,50018000000.0,45851000000.0
Capital Stock,64444000000.0,55811000000.0,50018000000.0,45851000000.0
Common Stock,64444000000.0,55811000000.0,50018000000.0,45851000000.0
Total Liabilities Net Minority Interest,60014000000.0,41108000000.0,31026000000.0,32322000000.0
Total Non Current Liabilities Net Minority Interest,32988000000.0,19973000000.0,16045000000.0,17269000000.0
Other Non Current Liabilities,7764000000.0,7227000000.0,6414000000.0,7745000000.0
Tradeand Other Payables Non Current,6645000000.0,5938000000.0,5025000000.0,5651000000.0
Non Current Deferred Liabilities,,,,1039000000.0
Non Current Deferred Taxes Liabilities,,,,1039000000.0
Long Term Debt And Capital Lease Obligation,25224000000.0,12746000000.0,9631000000.0,9524000000.0
Long Term Capital Lease Obligation,15301000000.0,12746000000.0,9631000000.0,9524000000.0
Long Term Debt,9923000000.0,,,
Current Liabilities,27026000000.0,21135000000.0,14981000000.0,15053000000.0
Other Current Liabilities,4906000000.0,5258000000.0,3469000000.0,2498000000.0
Current Deferred Liabilities,,561000000.0,382000000.0,269000000.0
Current Deferred Revenue,,561000000.0,382000000.0,269000000.0
Current Debt And Capital Lease Obligation,1367000000.0,1127000000.0,1023000000.0,800000000.0
Current Capital Lease Obligation,1367000000.0,1127000000.0,1023000000.0,800000000.0
Current Debt,,,,277000000.0
Line Of Credit,,,,277000000.0
Current Notes Payable,,,,624000000.0
Pensionand Other Post Retirement Benefit Plans Current,4591000000.0,3152000000.0,2609000000.0,1704000000.0
Payables And Accrued Expenses,25659000000.0,19447000000.0,13576000000.0,13984000000.0
Current Accrued Expenses,19552000000.0,14312000000.0,11152000000.0,11735000000.0
Payables,6107000000.0,5135000000.0,2424000000.0,2249000000.0
Other Payable,,1052000000.0,1093000000.0,886000000.0
Dueto Related Parties Current,1117000000.0,1052000000.0,1093000000.0,886000000.0
Total Tax Payable,2339000000.0,1256000000.0,2038000000.0,624000000.0
Accounts Payable,4990000000.0,4083000000.0,1331000000.0,1363000000.0
Total Assets,185727000000.0,165987000000.0,159316000000.0,133376000000.0
Total Non Current Assets,126178000000.0,99321000000.0,83646000000.0,67151000000.0
Other Non Current Assets,6583000000.0,2751000000.0,2758000000.0,2759000000.0
Investments And Advances,6201000000.0,6775000000.0,6234000000.0,
Investmentin Financial Assets,6201000000.0,6775000000.0,6234000000.0,
Available For Sale Securities,6201000000.0,6775000000.0,6234000000.0,
Long Term Equity Investment,,6775000000.0,6234000000.0,
Goodwill And Other Intangible Assets,21203000000.0,19831000000.0,19673000000.0,19609000000.0
Other Intangible Assets,897000000.0,634000000.0,623000000.0,894000000.0
Goodwill,20306000000.0,19197000000.0,19050000000.0,18715000000.0
Net PPE,92191000000.0,69964000000.0,54981000000.0,44783000000.0
Accumulated Depreciation,-24975000000.0,-20080000000.0,-15418000000.0,-10663000000.0
Gross PPE,92191000000.0,69964000000.0,54981000000.0,44783000000.0
Leases,6522000000.0,5795000000.0,4321000000.0,3112000000.0
Construction In Progress,25052000000.0,14687000000.0,11288000000.0,10099000000.0
Other Properties,92191000000.0,69964000000.0,54981000000.0,44783000000.0
Machinery Furniture Equipment,,25584000000.0,2458000000.0,1813000000.0
Buildings And Improvements,27720000000.0,22531000000.0,17360000000.0,11226000000.0
Land And Improvements,1874000000.0,1688000000.0,1326000000.0,1097000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,59549000000.0,66666000000.0,75670000000.0,66225000000.0
Other Current Assets,5345000000.0,4629000000.0,2381000000.0,1852000000.0
Prepaid Assets,,4629000000.0,2381000000.0,1852000000.0
Receivables,13466000000.0,14039000000.0,11335000000.0,9518000000.0
Accounts Receivable,13466000000.0,14039000000.0,11335000000.0,9518000000.0
Allowance For Doubtful Accounts Receivable,,,-114000000.0,-206000000.0
Gross Accounts Receivable,,,11449000000.0,9724000000.0
Cash Cash Equivalents And Short Term Investments,40738000000.0,47998000000.0,61954000000.0,54855000000.0
Other Short Term Investments,26057000000.0,31397000000.0,44378000000.0,35776000000.0
Cash And Cash Equivalents,14681000000.0,16601000000.0,17576000000.0,19079000000.0
Cash Equivalents,8505000000.0,9293000000.0,11088000000.0,14344000000.0
Cash Financial,6176000000.0,7308000000.0,6488000000.0,4735000000.0
