,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,385000000.0,403000000.0,398787678.0,336536985.0
Share Issued,385000000.0,403000000.0,398787678.0,336536985.0
Total Debt,1004000000.0,916000000.0,207295000.0,132364000.0
Tangible Book Value,19123000000.0,14145000000.0,2561375000.0,1174810000.0
Invested Capital,19123000000.0,14145000000.0,2561375000.0,1174810000.0
Working Capital,8508000000.0,6943000000.0,1909071000.0,985689000.0
Net Tangible Assets,19123000000.0,14145000000.0,2561375000.0,1174810000.0
Capital Lease Obligations,1004000000.0,916000000.0,207295000.0,132364000.0
Common Stock Equity,19123000000.0,14145000000.0,2561375000.0,1174810000.0
Total Capitalization,19123000000.0,14145000000.0,2561375000.0,1174810000.0
Total Equity Gross Minority Interest,19123000000.0,14145000000.0,2561375000.0,1174810000.0
Stockholders Equity,19123000000.0,14145000000.0,2561375000.0,1174810000.0
Gains Losses Not Affecting Retained Earnings,-370000000.0,-24000000.0,3004000.0,1804000.0
Other Equity Adjustments,-370000000.0,-24000000.0,3004000.0,1804000.0
Retained Earnings,18320000000.0,9958000000.0,-2243518000.0,-1496454000.0
Additional Paid In Capital,1173000000.0,4211000000.0,4801849000.0,2669426000.0
Capital Stock,0.0,0.0,40000.0,34000.0
Common Stock,0.0,0.0,40000.0,34000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,6735000000.0,10524000000.0,4775375000.0,414612000.0
Total Non Current Liabilities Net Minority Interest,1812000000.0,1396000000.0,386567000.0,271497000.0
Other Non Current Liabilities,135000000.0,76000000.0,1853000.0,138000.0
Non Current Deferred Liabilities,673000000.0,615000000.0,177419000.0,138995000.0
Non Current Deferred Revenue,673000000.0,615000000.0,177419000.0,138995000.0
Long Term Debt And Capital Lease Obligation,1004000000.0,705000000.0,207295000.0,132364000.0
Long Term Capital Lease Obligation,1004000000.0,705000000.0,207295000.0,132364000.0
Current Liabilities,4923000000.0,9128000000.0,4388808000.0,143115000.0
Other Current Liabilities,249000000.0,14000000.0,33665000.0,5063000.0
Current Deferred Liabilities,2038000000.0,6253000000.0,3867193000.0,63310000.0
Current Deferred Revenue,2038000000.0,6253000000.0,3867193000.0,63310000.0
Current Debt And Capital Lease Obligation,196000000.0,211000000.0,,
Current Capital Lease Obligation,196000000.0,211000000.0,,
Pensionand Other Post Retirement Benefit Plans Current,190000000.0,126000000.0,95247000.0,27428000.0
Payables And Accrued Expenses,2636000000.0,2524000000.0,392703000.0,47314000.0
Current Accrued Expenses,2101000000.0,1346000000.0,374344000.0,40224000.0
Payables,535000000.0,1178000000.0,18359000.0,7090000.0
Total Tax Payable,48000000.0,876000000.0,,
Income Tax Payable,48000000.0,876000000.0,,
Accounts Payable,487000000.0,302000000.0,18359000.0,7090000.0
Total Assets,25858000000.0,24669000000.0,7336750000.0,1589422000.0
Total Non Current Assets,12427000000.0,7099000000.0,1038871000.0,326435000.0
Other Non Current Assets,988000000.0,46000000.0,12933000.0,12722000.0
Non Current Deferred Assets,982000000.0,326000000.0,,
Non Current Deferred Taxes Assets,982000000.0,326000000.0,,
Investments And Advances,8318000000.0,6843000000.0,638848000.0,159987000.0
Investmentin Financial Assets,8318000000.0,,638848000.0,159987000.0
Available For Sale Securities,8318000000.0,,638848000.0,159987000.0
Net PPE,2139000000.0,1383000000.0,387090000.0,287909000.0
Accumulated Depreciation,-658000000.0,-352000000.0,-119661000.0,-94584000.0
Gross PPE,2139000000.0,1735000000.0,506751000.0,382493000.0
Leases,460000000.0,313000000.0,179901000.0,152426000.0
Construction In Progress,281000000.0,212000000.0,34507000.0,3222000.0
Other Properties,2139000000.0,1174000000.0,267263000.0,204524000.0
Machinery Furniture Equipment,59000000.0,36000000.0,25080000.0,22321000.0
Buildings And Improvements,,,90201000.0,0.0
Land And Improvements,11000000.0,,,
Properties,0.0,0.0,0.0,0.0
Current Assets,13431000000.0,17570000000.0,6297879000.0,1262987000.0
Other Current Assets,1195000000.0,55000000.0,,
Hedging Assets Current,,21000000.0,,
Restricted Cash,,,1032000.0,1032000.0
Prepaid Assets,851000000.0,531000000.0,232185000.0,8475000.0
Inventory,949000000.0,1441000000.0,46527000.0,
Finished Goods,169000000.0,233000000.0,1290000.0,
Work In Process,205000000.0,338000000.0,9015000.0,
Raw Materials,575000000.0,870000000.0,36222000.0,
Receivables,1385000000.0,3296000000.0,1410527000.0,16297000.0
Other Receivables,78000000.0,51000000.0,,4093000.0
Taxes Receivable,140000000.0,70000000.0,,
Accrued Interest Receivable,61000000.0,,9725000.0,6835000.0
Accounts Receivable,1385000000.0,3175000000.0,1400802000.0,9462000.0
Allowance For Doubtful Accounts Receivable,0.0,0.0,,
Gross Accounts Receivable,1385000000.0,3175000000.0,,
Cash Cash Equivalents And Short Term Investments,9902000000.0,17570000000.0,5246456000.0,1262987000.0
Other Short Term Investments,6697000000.0,3879000000.0,1983758000.0,867124000.0
Cash And Cash Equivalents,3205000000.0,6848000000.0,2623850000.0,235876000.0
