,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Ordinary Shares Number,856100000.0,846695000.0,675402000.0,662979166.0
Share Issued,856100000.0,846695000.0,675402000.0,662979166.0
Net Debt,3581100000.0,3934444000.0,444344000.0,791420000.0
Total Debt,4492100000.0,4547977000.0,1192811000.0,1439024000.0
Tangible Book Value,-1051700000.0,-1962454000.0,828143000.0,576575000.0
Invested Capital,20129300000.0,20250074000.0,9628615000.0,10117604000.0
Working Capital,894400000.0,1104908000.0,540048000.0,827331000.0
Net Tangible Assets,-1051700000.0,-1962454000.0,828143000.0,576575000.0
Capital Lease Obligations,245400000.0,178500000.0,136878000.0,144440000.0
Common Stock Equity,15637200000.0,15702097000.0,8435804000.0,8678580000.0
Total Capitalization,19544900000.0,20186908000.0,9428974000.0,10117604000.0
Total Equity Gross Minority Interest,15637200000.0,15702097000.0,8435804000.0,8678580000.0
Stockholders Equity,15637200000.0,15702097000.0,8435804000.0,8678580000.0
Retained Earnings,1123500000.0,1491358000.0,2103441000.0,2541313000.0
Additional Paid In Capital,14512000000.0,14209047000.0,6331013000.0,6135939000.0
Capital Stock,1700000.0,1692000.0,1350000.0,1328000.0
Common Stock,1700000.0,1692000.0,1350000.0,1328000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,6884900000.0,6406500000.0,2329120000.0,2454655000.0
Total Non Current Liabilities Net Minority Interest,4498200000.0,5017958000.0,1252023000.0,1744489000.0
Other Non Current Liabilities,590500000.0,533147000.0,258853000.0,274232000.0
Tradeand Other Payables Non Current,28500000.0,34963000.0,22526000.0,37983000.0
Non Current Deferred Liabilities,64200000.0,34508000.0,22359000.0,31233000.0
Non Current Deferred Taxes Liabilities,64200000.0,34508000.0,22359000.0,31233000.0
Long Term Debt And Capital Lease Obligation,3907700000.0,4484811000.0,993170000.0,1439024000.0
Long Term Capital Lease Obligation,201600000.0,140349000.0,104417000.0,115778000.0
Long Term Debt,3907700000.0,4484811000.0,993170000.0,1439024000.0
Current Liabilities,2386700000.0,1388542000.0,1077097000.0,710166000.0
Current Deferred Liabilities,65200000.0,110131000.0,234441000.0,162595000.0
Current Deferred Revenue,45200000.0,38962000.0,197141000.0,111486000.0
Current Debt And Capital Lease Obligation,584400000.0,63166000.0,199641000.0,28662000.0
Current Capital Lease Obligation,43800000.0,38151000.0,32461000.0,28662000.0
Current Debt,584400000.0,63166000.0,199641000.0,
Other Current Borrowings,584400000.0,63166000.0,199641000.0,
Pensionand Other Post Retirement Benefit Plans Current,244500000.0,241306000.0,189421000.0,149780000.0
Current Provisions,102000000.0,8537000.0,50101000.0,
Payables And Accrued Expenses,1557800000.0,1084070000.0,688035000.0,560386000.0
Current Accrued Expenses,1092000000.0,622561000.0,435616000.0,346639000.0
Interest Payable,22100000.0,20116000.0,,
Payables,465800000.0,461509000.0,252419000.0,213747000.0
Total Tax Payable,118400000.0,23348000.0,,6133000.0
Income Tax Payable,118400000.0,23348000.0,,6133000.0
Accounts Payable,465800000.0,461509000.0,252419000.0,213747000.0
Total Assets,22522100000.0,22108597000.0,10764924000.0,11133235000.0
Total Non Current Assets,19241000000.0,19615147000.0,9147779000.0,9595738000.0
Other Non Current Assets,1508800000.0,994315000.0,541569000.0,496850000.0
Non Current Prepaid Assets,763600000.0,270518000.0,131657000.0,75362000.0
Non Current Deferred Assets,465900000.0,493508000.0,672424000.0,639791000.0
Non Current Deferred Taxes Assets,465900000.0,493508000.0,672424000.0,639791000.0
Investments And Advances,36100000.0,30679000.0,,
Long Term Equity Investment,36100000.0,30679000.0,,
Goodwill And Other Intangible Assets,16688900000.0,17664551000.0,7607661000.0,8102005000.0
Other Intangible Assets,5102000000.0,6153422000.0,2270700000.0,2764600000.0
Goodwill,11586900000.0,11511129000.0,5336961000.0,5337405000.0
Net PPE,577400000.0,462773000.0,326125000.0,357092000.0
Accumulated Depreciation,-958100000.0,-865386000.0,-782875000.0,-739538000.0
Gross PPE,1746800000.0,1470188000.0,1210411000.0,1207537000.0
Other Properties,211300000.0,142029000.0,101411000.0,110907000.0
Machinery Furniture Equipment,1229300000.0,1034580000.0,824468000.0,811546000.0
Properties,306200000.0,293579000.0,284532000.0,285084000.0
Current Assets,3281100000.0,2493450000.0,1617145000.0,1537497000.0
Other Current Assets,109600000.0,111003000.0,63782000.0,74567000.0
Prepaid Assets,,111003000.0,63782000.0,74567000.0
Inventory,1068300000.0,720331000.0,268228000.0,322980000.0
Finished Goods,312000000.0,141434000.0,80877000.0,106484000.0
Work In Process,756300000.0,578897000.0,187351000.0,216496000.0
Receivables,1192200000.0,1048583000.0,536668000.0,492346000.0
Accounts Receivable,1192200000.0,1048583000.0,536668000.0,492346000.0
Allowance For Doubtful Accounts Receivable,-2100000.0,-2960000.0,-2071000.0,-2126000.0
Gross Accounts Receivable,1194300000.0,1051543000.0,538739000.0,494472000.0
Cash Cash Equivalents And Short Term Investments,911000000.0,613533000.0,748467000.0,647604000.0
Cash And Cash Equivalents,911000000.0,613533000.0,748467000.0,647604000.0
Cash Equivalents,150700000.0,177648000.0,114645000.0,134532000.0
Cash Financial,760300000.0,435885000.0,633822000.0,513072000.0
