,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Ordinary Shares Number,7432000000.0,7464000000.0,7519000000.0,7571000000.0
Share Issued,7432000000.0,7464000000.0,7519000000.0,7571000000.0
Net Debt,12533000000.0,35850000000.0,43922000000.0,49751000000.0
Total Debt,59965000000.0,61270000000.0,67775000000.0,70998000000.0
Tangible Book Value,128971000000.0,87720000000.0,84477000000.0,67915000000.0
Invested Capital,253460000000.0,216323000000.0,200134000000.0,181631000000.0
Working Capital,80108000000.0,74602000000.0,95749000000.0,109605000000.0
Net Tangible Assets,128971000000.0,87720000000.0,84477000000.0,67915000000.0
Capital Lease Obligations,12728000000.0,11489000000.0,9629000000.0,7671000000.0
Common Stock Equity,206223000000.0,166542000000.0,141988000000.0,118304000000.0
Total Capitalization,248213000000.0,213574000000.0,192062000000.0,177882000000.0
Total Equity Gross Minority Interest,206223000000.0,166542000000.0,141988000000.0,118304000000.0
Stockholders Equity,206223000000.0,166542000000.0,141988000000.0,118304000000.0
Gains Losses Not Affecting Retained Earnings,-6343000000.0,-4678000000.0,1822000000.0,3186000000.0
Other Equity Adjustments,-6343000000.0,-4678000000.0,1822000000.0,3186000000.0
Retained Earnings,118848000000.0,84281000000.0,57055000000.0,34566000000.0
Capital Stock,93718000000.0,86939000000.0,83111000000.0,80552000000.0
Common Stock,93718000000.0,86939000000.0,83111000000.0,80552000000.0
Total Liabilities Net Minority Interest,205753000000.0,198298000000.0,191791000000.0,183007000000.0
Total Non Current Liabilities Net Minority Interest,101604000000.0,103216000000.0,103134000000.0,110697000000.0
Other Non Current Liabilities,17981000000.0,15526000000.0,13427000000.0,10632000000.0
Tradeand Other Payables Non Current,25560000000.0,26069000000.0,27190000000.0,29432000000.0
Non Current Deferred Liabilities,3345000000.0,3100000000.0,2814000000.0,3384000000.0
Non Current Deferred Revenue,2912000000.0,2870000000.0,2616000000.0,3180000000.0
Non Current Deferred Taxes Liabilities,433000000.0,230000000.0,198000000.0,204000000.0
Long Term Debt And Capital Lease Obligation,54718000000.0,58521000000.0,59703000000.0,67249000000.0
Long Term Capital Lease Obligation,12728000000.0,11489000000.0,9629000000.0,7671000000.0
Long Term Debt,41990000000.0,47032000000.0,50074000000.0,59578000000.0
Current Liabilities,104149000000.0,95082000000.0,88657000000.0,72310000000.0
Other Current Liabilities,14745000000.0,13067000000.0,11666000000.0,10027000000.0
Current Deferred Liabilities,50901000000.0,45538000000.0,41525000000.0,36000000000.0
Current Deferred Revenue,50901000000.0,45538000000.0,41525000000.0,36000000000.0
Current Debt And Capital Lease Obligation,5247000000.0,2749000000.0,8072000000.0,3749000000.0
Current Debt,5247000000.0,2749000000.0,8072000000.0,3749000000.0
Pensionand Other Post Retirement Benefit Plans Current,11009000000.0,10661000000.0,10057000000.0,7874000000.0
Payables And Accrued Expenses,22247000000.0,23067000000.0,17337000000.0,14660000000.0
Payables,22247000000.0,23067000000.0,17337000000.0,14660000000.0
Total Tax Payable,4152000000.0,4067000000.0,2174000000.0,2130000000.0
Income Tax Payable,4152000000.0,4067000000.0,2174000000.0,2130000000.0
Accounts Payable,18095000000.0,19000000000.0,15163000000.0,12530000000.0
Total Assets,411976000000.0,364840000000.0,333779000000.0,301311000000.0
Total Non Current Assets,227719000000.0,195156000000.0,149373000000.0,119396000000.0
Other Non Current Assets,30601000000.0,21897000000.0,15075000000.0,13138000000.0
Investments And Advances,9879000000.0,6891000000.0,5984000000.0,2965000000.0
Long Term Equity Investment,9879000000.0,6891000000.0,5984000000.0,2965000000.0
Goodwill And Other Intangible Assets,77252000000.0,78822000000.0,57511000000.0,50389000000.0
Other Intangible Assets,9366000000.0,11298000000.0,7800000000.0,7038000000.0
Goodwill,67886000000.0,67524000000.0,49711000000.0,43351000000.0
Net PPE,109987000000.0,87546000000.0,70803000000.0,52904000000.0
Accumulated Depreciation,-68251000000.0,-59660000000.0,-51351000000.0,-43197000000.0
Gross PPE,178238000000.0,147206000000.0,122154000000.0,96101000000.0
Leases,8537000000.0,7819000000.0,6884000000.0,5487000000.0
Other Properties,178238000000.0,147206000000.0,122154000000.0,96101000000.0
Machinery Furniture Equipment,81207000000.0,66491000000.0,56594000000.0,46043000000.0
Buildings And Improvements,68465000000.0,55014000000.0,43928000000.0,33995000000.0
Land And Improvements,5683000000.0,4734000000.0,3660000000.0,1823000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,184257000000.0,169684000000.0,184406000000.0,181915000000.0
Other Current Assets,21807000000.0,16924000000.0,13393000000.0,11482000000.0
Hedging Assets Current,6000000.0,8000000.0,0.0,
Inventory,2500000000.0,3742000000.0,2636000000.0,1895000000.0
Finished Goods,1768000000.0,2516000000.0,1367000000.0,1112000000.0
Work In Process,23000000.0,82000000.0,79000000.0,83000000.0
Raw Materials,709000000.0,1144000000.0,1190000000.0,700000000.0
Receivables,48688000000.0,44261000000.0,38043000000.0,32011000000.0
Accounts Receivable,48688000000.0,44261000000.0,38043000000.0,32011000000.0
Allowance For Doubtful Accounts Receivable,-650000000.0,-633000000.0,-751000000.0,-788000000.0
Gross Accounts Receivable,49338000000.0,44894000000.0,38794000000.0,32799000000.0
Cash Cash Equivalents And Short Term Investments,111262000000.0,104757000000.0,130334000000.0,136527000000.0
Other Short Term Investments,76558000000.0,90826000000.0,116110000000.0,122951000000.0
Cash And Cash Equivalents,34704000000.0,13931000000.0,14224000000.0,13576000000.0
Cash Equivalents,26226000000.0,5673000000.0,6952000000.0,
Cash Financial,8478000000.0,8258000000.0,7272000000.0,
