,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,1564478.0,1564478.0,,
Ordinary Shares Number,445346776.0,443963107.0,442895261.0,438806649.0
Share Issued,446911254.0,445527585.0,442895261.0,438806649.0
Net Debt,9205900000.0,9365091000.0,8103423000.0,9740823000.0
Total Debt,14353076000.0,15392895000.0,16308973000.0,14759260000.0
Tangible Book Value,-11959312000.0,-15070291000.0,-14318710000.0,-16922410000.0
Invested Capital,35130477000.0,31242143000.0,27374213000.0,22341417000.0
Working Capital,1335499000.0,-419141000.0,1955795000.0,-677192000.0
Net Tangible Assets,-11959312000.0,-15070291000.0,-14318710000.0,-16922410000.0
Common Stock Equity,20777401000.0,15849248000.0,11065240000.0,7582157000.0
Total Capitalization,35130477000.0,30542320000.0,26874335000.0,22341417000.0
Total Equity Gross Minority Interest,20777401000.0,15849248000.0,11065240000.0,7582157000.0
Stockholders Equity,20777401000.0,15849248000.0,11065240000.0,7582157000.0
Gains Losses Not Affecting Retained Earnings,-217306000.0,-40495000.0,44398000.0,-23521000.0
Other Equity Adjustments,-217306000.0,-40495000.0,44398000.0,-23521000.0
Treasury Stock,824190000.0,824190000.0,,
Retained Earnings,17181296000.0,12689372000.0,7573144000.0,4811749000.0
Capital Stock,4637601000.0,4024561000.0,3447698000.0,2793929000.0
Common Stock,4637601000.0,4024561000.0,3447698000.0,2793929000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,27817367000.0,28735415000.0,28215119000.0,26393555000.0
Total Non Current Liabilities Net Minority Interest,19886393000.0,20246449000.0,20409334000.0,19537859000.0
Other Non Current Liabilities,5533317000.0,5553377000.0,4600239000.0,4778599000.0
Long Term Debt And Capital Lease Obligation,14353076000.0,14693072000.0,15809095000.0,14759260000.0
Long Term Debt,14353076000.0,14693072000.0,15809095000.0,14759260000.0
Current Liabilities,7930974000.0,8488966000.0,7805785000.0,6855696000.0
Other Current Liabilities,4480150000.0,4292967000.0,4429536000.0,4413561000.0
Current Deferred Liabilities,1264661000.0,1209342000.0,1117992000.0,924745000.0
Current Deferred Revenue,1264661000.0,1209342000.0,1117992000.0,924745000.0
Current Debt And Capital Lease Obligation,,699823000.0,499878000.0,
Current Debt,,699823000.0,499878000.0,
Payables And Accrued Expenses,2186163000.0,2286834000.0,1758379000.0,1517390000.0
Current Accrued Expenses,1514650000.0,1449351000.0,1102196000.0,843043000.0
Payables,671513000.0,837483000.0,656183000.0,674347000.0
Accounts Payable,671513000.0,837483000.0,656183000.0,674347000.0
Total Assets,48594768000.0,44584663000.0,39280359000.0,33975712000.0
Total Non Current Assets,39328295000.0,36514838000.0,29518779000.0,27797208000.0
Other Non Current Assets,5193325000.0,4271846000.0,3174646000.0,2727420000.0
Goodwill And Other Intangible Assets,32736713000.0,30919539000.0,25383950000.0,24504567000.0
Other Intangible Assets,32736713000.0,30919539000.0,25383950000.0,24504567000.0
Net PPE,1398257000.0,1323453000.0,960183000.0,565221000.0
Accumulated Depreciation,-753741000.0,-616306000.0,-494790000.0,-416005000.0
Gross PPE,2151998000.0,1939759000.0,1454973000.0,981226000.0
Leases,1040570000.0,863342000.0,524537000.0,354999000.0
Construction In Progress,235555000.0,282248000.0,298558000.0,100521000.0
Other Properties,,380452000.0,283014000.0,243565000.0
Machinery Furniture Equipment,738762000.0,283213000.0,255447000.0,242875000.0
Buildings And Improvements,52106000.0,48123000.0,42717000.0,33141000.0
Land And Improvements,85005000.0,82381000.0,50700000.0,6125000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,9266473000.0,8069825000.0,9761580000.0,6178504000.0
Other Current Assets,3208021000.0,2042021000.0,1556030000.0,1160067000.0
Prepaid Assets,392735000.0,323818000.0,203042000.0,180999000.0
Receivables,1586898000.0,804320000.0,610819000.0,979068000.0
Other Receivables,,,,524669000.0
Taxes Receivable,598000000.0,,,
Accounts Receivable,988898000.0,804320000.0,610819000.0,454399000.0
Cash Cash Equivalents And Short Term Investments,6058452000.0,6027804000.0,8205550000.0,5018437000.0
Other Short Term Investments,911276000.0,,,
Cash And Cash Equivalents,5147176000.0,6027804000.0,8205550000.0,5018437000.0
Cash Equivalents,1075592000.0,1924191000.0,4873690000.0,1914912000.0
Cash Financial,4071584000.0,4103613000.0,3331860000.0,3103525000.0
