,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,15056232.0,9569359.0,9044952.0,34082242.0
Ordinary Shares Number,259463406.0,264950279.0,280474686.0,281437396.0
Share Issued,274519638.0,274519638.0,289519638.0,315519638.0
Net Debt,7320000000.0,7742000000.0,5334000000.0,6320000000.0
Total Debt,11165000000.0,10572000000.0,7609000000.0,7365000000.0
Tangible Book Value,-3805000000.0,-5127000000.0,-3282000000.0,-4128000000.0
Invested Capital,18614000000.0,17100000000.0,16553000000.0,16806000000.0
Working Capital,3665000000.0,2776000000.0,2307000000.0,1476000000.0
Net Tangible Assets,-3805000000.0,-5127000000.0,-3282000000.0,-4128000000.0
Common Stock Equity,7449000000.0,6528000000.0,8944000000.0,9441000000.0
Total Capitalization,18614000000.0,17100000000.0,16553000000.0,16806000000.0
Total Equity Gross Minority Interest,7740000000.0,6770000000.0,9151000000.0,9655000000.0
Minority Interest,291000000.0,242000000.0,207000000.0,214000000.0
Stockholders Equity,7449000000.0,6528000000.0,8944000000.0,9441000000.0
Gains Losses Not Affecting Retained Earnings,76000000.0,48000000.0,117000000.0,75000000.0
Other Equity Adjustments,76000000.0,48000000.0,117000000.0,75000000.0
Treasury Stock,2799000000.0,1932000000.0,1037000000.0,3037000000.0
Retained Earnings,-3975000000.0,-5371000000.0,-4328000000.0,-2845000000.0
Additional Paid In Capital,14091000000.0,13727000000.0,14133000000.0,15184000000.0
Capital Stock,56000000.0,56000000.0,59000000.0,64000000.0
Common Stock,56000000.0,56000000.0,59000000.0,64000000.0
Total Liabilities Net Minority Interest,15496000000.0,14094000000.0,10696000000.0,10361000000.0
Total Non Current Liabilities Net Minority Interest,12226000000.0,11642000000.0,8679000000.0,8570000000.0
Other Non Current Liabilities,1016000000.0,1013000000.0,985000000.0,923000000.0
Non Current Deferred Liabilities,45000000.0,57000000.0,85000000.0,282000000.0
Non Current Deferred Taxes Liabilities,45000000.0,57000000.0,85000000.0,282000000.0
Long Term Debt And Capital Lease Obligation,11165000000.0,10572000000.0,7609000000.0,7365000000.0
Long Term Debt,11165000000.0,10572000000.0,7609000000.0,7365000000.0
Current Liabilities,3270000000.0,2452000000.0,2017000000.0,1791000000.0
Other Current Liabilities,1653000000.0,1200000000.0,1026000000.0,847000000.0
Pensionand Other Post Retirement Benefit Plans Current,467000000.0,476000000.0,,
Payables And Accrued Expenses,1617000000.0,1252000000.0,991000000.0,944000000.0
Current Accrued Expenses,,,966000000.0,815000000.0
Payables,1617000000.0,1252000000.0,991000000.0,944000000.0
Dividends Payable,219000000.0,149000000.0,,
Total Tax Payable,296000000.0,82000000.0,,
Income Tax Payable,296000000.0,82000000.0,,
Accounts Payable,1617000000.0,1252000000.0,991000000.0,944000000.0
Total Assets,23236000000.0,20864000000.0,19847000000.0,20016000000.0
Total Non Current Assets,16301000000.0,15636000000.0,15523000000.0,16749000000.0
Other Non Current Assets,1942000000.0,1346000000.0,1013000000.0,732000000.0
Goodwill And Other Intangible Assets,11254000000.0,11655000000.0,12226000000.0,13569000000.0
Other Intangible Assets,1311000000.0,1694000000.0,2242000000.0,3620000000.0
Goodwill,9943000000.0,9961000000.0,9984000000.0,9949000000.0
Net PPE,3105000000.0,2635000000.0,2284000000.0,2448000000.0
Accumulated Depreciation,-5214000000.0,-4676000000.0,-4237000000.0,-3742000000.0
Gross PPE,8319000000.0,7311000000.0,6521000000.0,6190000000.0
Construction In Progress,665000000.0,423000000.0,210000000.0,253000000.0
Other Properties,896000000.0,802000000.0,751000000.0,665000000.0
Machinery Furniture Equipment,5043000000.0,4457000000.0,3970000000.0,3749000000.0
Buildings And Improvements,1553000000.0,1465000000.0,1425000000.0,1359000000.0
Land And Improvements,162000000.0,164000000.0,165000000.0,164000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,6935000000.0,5228000000.0,4324000000.0,3267000000.0
Other Current Assets,348000000.0,286000000.0,254000000.0,313000000.0
Assets Held For Sale Current,,0.0,0.0,50000000.0
Inventory,1782000000.0,1189000000.0,1030000000.0,1192000000.0
Finished Goods,323000000.0,236000000.0,178000000.0,246000000.0
Work In Process,1308000000.0,846000000.0,786000000.0,894000000.0
Raw Materials,151000000.0,107000000.0,66000000.0,52000000.0
Receivables,960000000.0,923000000.0,765000000.0,667000000.0
Accounts Receivable,960000000.0,923000000.0,765000000.0,667000000.0
Allowance For Doubtful Accounts Receivable,-1000000.0,-2000000.0,-2000000.0,-2000000.0
Gross Accounts Receivable,961000000.0,925000000.0,767000000.0,669000000.0
Cash Cash Equivalents And Short Term Investments,3845000000.0,2830000000.0,2275000000.0,1045000000.0
Cash And Cash Equivalents,3845000000.0,2830000000.0,2275000000.0,1045000000.0
Cash Financial,3845000000.0,,,
