,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,110222819.0,115011172.0,117057696.0,119532534.0
Share Issued,110222819.0,115011172.0,117057696.0,119532534.0
Total Debt,99963000.0,99947000.0,99931000.0,45000000.0
Tangible Book Value,3652917000.0,3679807000.0,3326288000.0,3080717000.0
Invested Capital,99963000.0,99947000.0,99931000.0,45000000.0
Working Capital,403947000.0,919553000.0,870209000.0,500749000.0
Net Tangible Assets,3652917000.0,3679807000.0,3326288000.0,3080717000.0
Common Stock Equity,3652917000.0,3679807000.0,3326288000.0,3080717000.0
Total Capitalization,3732880000.0,3779754000.0,3426219000.0,3125717000.0
Total Equity Gross Minority Interest,3652917000.0,3679807000.0,3326288000.0,3080717000.0
Stockholders Equity,3652917000.0,3679807000.0,3326288000.0,3080717000.0
Retained Earnings,3397305000.0,3493861000.0,3088131000.0,2850318000.0
Additional Paid In Capital,244590000.0,174445000.0,226451000.0,222430000.0
Capital Stock,11022000.0,11501000.0,11706000.0,7969000.0
Common Stock,11022000.0,11501000.0,11706000.0,7969000.0
Total Liabilities Net Minority Interest,1185693000.0,1141737000.0,1043122000.0,914851000.0
Total Non Current Liabilities Net Minority Interest,655900000.0,677503000.0,669992000.0,548766000.0
Other Non Current Liabilities,575937000.0,577556000.0,570061000.0,503766000.0
Non Current Deferred Liabilities,310515000.0,248718000.0,220210000.0,261964000.0
Non Current Deferred Taxes Liabilities,310515000.0,248718000.0,220210000.0,261964000.0
Long Term Debt And Capital Lease Obligation,79963000.0,99947000.0,99931000.0,45000000.0
Long Term Debt,79963000.0,99947000.0,99931000.0,45000000.0
Current Liabilities,529793000.0,464234000.0,373130000.0,366085000.0
Other Current Liabilities,509793000.0,,,366085000.0
Current Debt And Capital Lease Obligation,20000000.0,,,
Current Debt,20000000.0,,,
Other Current Borrowings,20000000.0,,,
Pensionand Other Post Retirement Benefit Plans Current,288278000.0,257905000.0,191303000.0,192524000.0
Payables And Accrued Expenses,221515000.0,206329000.0,181827000.0,173561000.0
Current Accrued Expenses,115240000.0,123810000.0,104605000.0,100460000.0
Payables,106275000.0,82519000.0,77222000.0,73101000.0
Total Tax Payable,,0.0,8711000.0,2847000.0
Income Tax Payable,,0.0,8711000.0,2847000.0
Accounts Payable,106275000.0,82519000.0,68511000.0,70254000.0
Total Assets,4838610000.0,4821544000.0,4369410000.0,3995568000.0
Total Non Current Assets,3904870000.0,3437757000.0,3126071000.0,3128734000.0
Other Non Current Assets,217802000.0,222071000.0,212040000.0,159899000.0
Goodwill And Other Intangible Assets,,,,19463000.0
Goodwill,,,,19463000.0
Net PPE,3687068000.0,3215686000.0,2914031000.0,2968835000.0
Accumulated Depreciation,-2128985000.0,-1919939000.0,-1677398000.0,-1464235000.0
Gross PPE,5816053000.0,5135625000.0,4591429000.0,4433070000.0
Leases,13516000.0,13131000.0,12226000.0,11709000.0
Other Properties,3052437000.0,2658545000.0,2360913000.0,2381424000.0
Machinery Furniture Equipment,,,1885649000.0,1898999000.0
Land And Improvements,2750100000.0,2463949000.0,2218290000.0,2039937000.0
Current Assets,933740000.0,1383787000.0,1243339000.0,866834000.0
Other Current Assets,698073000.0,666790000.0,511635000.0,463263000.0
Prepaid Assets,,67688000.0,57413000.0,55098000.0
Receivables,605129000.0,599102000.0,454222000.0,408165000.0
Other Receivables,13743000.0,12410000.0,9569000.0,10586000.0
Taxes Receivable,12738000.0,19218000.0,,
Accounts Receivable,578648000.0,567474000.0,444653000.0,397579000.0
Allowance For Doubtful Accounts Receivable,-10689000.0,-9855000.0,-8979000.0,-8866000.0
Gross Accounts Receivable,589337000.0,577329000.0,453632000.0,406445000.0
Cash Cash Equivalents And Short Term Investments,235667000.0,716997000.0,731704000.0,403571000.0
Other Short Term Investments,49355000.0,254433000.0,330274000.0,
Cash And Cash Equivalents,186312000.0,462564000.0,401430000.0,403571000.0
