,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,176431298.0,170571261.0,158923810.0,154249943.0
Ordinary Shares Number,431936415.0,432472818.0,411842629.0,411312664.0
Share Issued,608367713.0,603044079.0,570766439.0,565562607.0
Net Debt,274500000.0,1722000000.0,2410600000.0,2718300000.0
Total Debt,3230700000.0,3074600000.0,3491300000.0,3612500000.0
Tangible Book Value,4251200000.0,2152200000.0,1406100000.0,1052000000.0
Invested Capital,9382000000.0,7660000000.0,7029800000.0,6914200000.0
Working Capital,3668000000.0,2238200000.0,1509700000.0,1201600000.0
Net Tangible Assets,4251200000.0,2152200000.0,1406100000.0,1052000000.0
Capital Lease Obligations,37200000.0,,,
Common Stock Equity,6188500000.0,4585400000.0,3538500000.0,3301700000.0
Total Capitalization,9234200000.0,7499300000.0,6498200000.0,6178200000.0
Total Equity Gross Minority Interest,6207000000.0,4604400000.0,3558100000.0,3324100000.0
Minority Interest,18500000.0,19000000.0,19600000.0,22400000.0
Stockholders Equity,6188500000.0,4585400000.0,3538500000.0,3301700000.0
Gains Losses Not Affecting Retained Earnings,-23200000.0,-40600000.0,-57600000.0,-54300000.0
Other Equity Adjustments,-23200000.0,-40600000.0,-57600000.0,-54300000.0
Treasury Stock,2829700000.0,2448400000.0,1968200000.0,1650500000.0
Retained Earnings,4364400000.0,2435100000.0,1425500000.0,1191300000.0
Additional Paid In Capital,4670900000.0,4633300000.0,4133100000.0,3809500000.0
Capital Stock,6100000.0,6000000.0,5700000.0,5700000.0
Common Stock,6100000.0,6000000.0,5700000.0,5700000.0
Total Liabilities Net Minority Interest,5771500000.0,5021600000.0,5106900000.0,5101400000.0
Total Non Current Liabilities Net Minority Interest,3710100000.0,3478200000.0,3425600000.0,3283000000.0
Other Non Current Liabilities,607300000.0,521100000.0,418400000.0,346300000.0
Non Current Deferred Liabilities,34100000.0,43200000.0,47500000.0,60200000.0
Non Current Deferred Taxes Liabilities,34100000.0,43200000.0,47500000.0,60200000.0
Long Term Debt And Capital Lease Obligation,3068700000.0,2913900000.0,2959700000.0,2876500000.0
Long Term Capital Lease Obligation,23000000.0,,,
Long Term Debt,3045700000.0,2913900000.0,2959700000.0,2876500000.0
Current Liabilities,2061400000.0,1543400000.0,1681300000.0,1818400000.0
Current Debt And Capital Lease Obligation,162000000.0,160700000.0,531600000.0,736000000.0
Current Capital Lease Obligation,14200000.0,,,
Current Debt,147800000.0,160700000.0,531600000.0,736000000.0
Other Current Borrowings,147800000.0,,,
Current Provisions,209900000.0,229900000.0,233300000.0,247300000.0
Payables And Accrued Expenses,1899400000.0,1382700000.0,1149700000.0,1082400000.0
Current Accrued Expenses,1047300000.0,747600000.0,576800000.0,538800000.0
Payables,852100000.0,635100000.0,572900000.0,543600000.0
Total Tax Payable,34800000.0,23600000.0,25500000.0,22500000.0
Income Tax Payable,34800000.0,23600000.0,25500000.0,22500000.0
Accounts Payable,852100000.0,635100000.0,572900000.0,543600000.0
Total Assets,11978500000.0,9626000000.0,8665000000.0,8425500000.0
Total Non Current Assets,6249100000.0,5844400000.0,5474000000.0,5405500000.0
Other Non Current Assets,438600000.0,520600000.0,410200000.0,256400000.0
Non Current Deferred Assets,376700000.0,366300000.0,419100000.0,307800000.0
Non Current Deferred Taxes Assets,376700000.0,366300000.0,419100000.0,307800000.0
Goodwill And Other Intangible Assets,1937300000.0,2433200000.0,2132400000.0,2249700000.0
Other Intangible Assets,359700000.0,495700000.0,469000000.0,590500000.0
Goodwill,1577600000.0,1937500000.0,1663400000.0,1659200000.0
Net PPE,3496500000.0,2524300000.0,2512300000.0,2591600000.0
Accumulated Depreciation,-3155100000.0,-3340500000.0,-2995400000.0,-2669400000.0
Gross PPE,3496500000.0,5864800000.0,5507700000.0,5261000000.0
Other Properties,3496500000.0,,,
Machinery Furniture Equipment,5431800000.0,4777800000.0,4538000000.0,4275200000.0
Buildings And Improvements,1056200000.0,968500000.0,850000000.0,860600000.0
Land And Improvements,117800000.0,118500000.0,119700000.0,125200000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,5729400000.0,3781600000.0,3191000000.0,3020000000.0
Other Current Assets,351300000.0,240100000.0,182900000.0,188400000.0
Assets Held For Sale Current,0.0,,,
Inventory,1616800000.0,1379500000.0,1251400000.0,1232400000.0
Finished Goods,429000000.0,316400000.0,286000000.0,321100000.0
Work In Process,951000000.0,888900000.0,829700000.0,772900000.0
Raw Materials,236800000.0,174200000.0,135700000.0,138400000.0
Receivables,842300000.0,809400000.0,676000000.0,705000000.0
Accounts Receivable,842300000.0,809400000.0,676000000.0,705000000.0
Cash Cash Equivalents And Short Term Investments,2919000000.0,1352600000.0,1080700000.0,894200000.0
Cash And Cash Equivalents,2919000000.0,1352600000.0,1080700000.0,894200000.0
