,2023-05-31,2022-05-31,2021-05-31,2020-05-31
Ordinary Shares Number,360500000.0,359900000.0,359800000.0,358800000.0
Share Issued,360500000.0,359900000.0,359800000.0,358800000.0
Net Debt,,436400000.0,,
Total Debt,865700000.0,881200000.0,897100000.0,898800000.0
Tangible Book Value,1471800000.0,1029100000.0,851500000.0,659700000.0
Invested Capital,4301600000.0,3891600000.0,3752700000.0,3583300000.0
Working Capital,1722700000.0,1312400000.0,1231300000.0,1037700000.0
Net Tangible Assets,1471800000.0,1029100000.0,851500000.0,659700000.0
Capital Lease Obligations,57300000.0,74800000.0,92400000.0,96900000.0
Common Stock Equity,3493200000.0,3085200000.0,2948000000.0,2781400000.0
Total Capitalization,4291400000.0,3882900000.0,3745300000.0,3578200000.0
Total Equity Gross Minority Interest,3493200000.0,3085200000.0,2948000000.0,2781400000.0
Stockholders Equity,3493200000.0,3085200000.0,2948000000.0,2781400000.0
Gains Losses Not Affecting Retained Earnings,-159900000.0,-133900000.0,51800000.0,56500000.0
Other Equity Adjustments,-159900000.0,-133900000.0,51800000.0,56500000.0
Retained Earnings,2023100000.0,1669600000.0,1445900000.0,1431400000.0
Additional Paid In Capital,1626400000.0,1545900000.0,1446700000.0,1289900000.0
Capital Stock,3600000.0,3600000.0,3600000.0,3600000.0
Common Stock,3600000.0,3600000.0,3600000.0,3600000.0
Total Liabilities Net Minority Interest,7053200000.0,6550000000.0,6279200000.0,5769300000.0
Total Non Current Liabilities Net Minority Interest,1247800000.0,1280800000.0,1341000000.0,1342400000.0
Other Non Current Liabilities,197200000.0,184700000.0,207500000.0,174400000.0
Tradeand Other Payables Non Current,83000000.0,58100000.0,25800000.0,33500000.0
Non Current Deferred Liabilities,112100000.0,165500000.0,218000000.0,240800000.0
Non Current Deferred Taxes Liabilities,112100000.0,165500000.0,218000000.0,240800000.0
Long Term Debt And Capital Lease Obligation,855500000.0,872500000.0,889700000.0,893700000.0
Long Term Capital Lease Obligation,57300000.0,74800000.0,92400000.0,96900000.0
Long Term Debt,798200000.0,797700000.0,797300000.0,796800000.0
Current Liabilities,5805400000.0,5269200000.0,4938200000.0,4426900000.0
Other Current Liabilities,4689400000.0,4207600000.0,4007800000.0,3608600000.0
Current Deferred Liabilities,47300000.0,38400000.0,37900000.0,39200000.0
Current Deferred Revenue,47300000.0,38400000.0,37900000.0,39200000.0
Current Debt And Capital Lease Obligation,10200000.0,8700000.0,7400000.0,5100000.0
Current Debt,10200000.0,8700000.0,7400000.0,5100000.0
Line Of Credit,10200000.0,8700000.0,7400000.0,5100000.0
Pensionand Other Post Retirement Benefit Plans Current,973800000.0,908800000.0,796100000.0,644100000.0
Payables And Accrued Expenses,84700000.0,105700000.0,89000000.0,129900000.0
Payables,84700000.0,105700000.0,89000000.0,129900000.0
Total Tax Payable,,,0.0,50500000.0
Income Tax Payable,,,0.0,50500000.0
Accounts Payable,84700000.0,105700000.0,89000000.0,79400000.0
Total Assets,10546400000.0,9635200000.0,9227200000.0,8550700000.0
Total Non Current Assets,3018300000.0,3053600000.0,3057700000.0,3086100000.0
Other Non Current Assets,65200000.0,79200000.0,71200000.0,59500000.0
Non Current Deferred Assets,470100000.0,433300000.0,384100000.0,372500000.0
Investments And Advances,3800000.0,5000000.0,7100000.0,10200000.0
Goodwill And Other Intangible Assets,2021400000.0,2056100000.0,2096500000.0,2121700000.0
Other Intangible Assets,187400000.0,224600000.0,275800000.0,330600000.0
Goodwill,1834000000.0,1831500000.0,1820700000.0,1791100000.0
Net PPE,457800000.0,480000000.0,498800000.0,522200000.0
Accumulated Depreciation,-1081200000.0,-1055700000.0,-966100000.0,-957200000.0
Gross PPE,457800000.0,480000000.0,498800000.0,522200000.0
Leases,67300000.0,91700000.0,83500000.0,110600000.0
Construction In Progress,51700000.0,50700000.0,50300000.0,47100000.0
Other Properties,457800000.0,480000000.0,498800000.0,522200000.0
Machinery Furniture Equipment,1004500000.0,929800000.0,848100000.0,807200000.0
Buildings And Improvements,130500000.0,157100000.0,158300000.0,166500000.0
Land And Improvements,9000000.0,10300000.0,10300000.0,10800000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,7528100000.0,6581600000.0,6169500000.0,5464600000.0
Other Current Assets,289800000.0,272300000.0,249200000.0,244800000.0
Restricted Cash,4168600000.0,3733200000.0,3801300000.0,3480300000.0
Prepaid Assets,48100000.0,34000000.0,33500000.0,16800000.0
Receivables,1426200000.0,1318200000.0,1053600000.0,790300000.0
Other Receivables,528500000.0,572100000.0,450900000.0,380000000.0
Accrued Interest Receivable,24400000.0,22300000.0,24400000.0,26200000.0
Accounts Receivable,873300000.0,723800000.0,578300000.0,384100000.0
Allowance For Doubtful Accounts Receivable,-20500000.0,-18200000.0,,
Gross Accounts Receivable,893800000.0,742000000.0,,
Cash Cash Equivalents And Short Term Investments,1595400000.0,1223900000.0,1031900000.0,932400000.0
Other Short Term Investments,373400000.0,853900000.0,36700000.0,27200000.0
Cash And Cash Equivalents,1222000000.0,370000000.0,995200000.0,905200000.0
