,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,522000000.0,520950000.0,519900000.0,519450000.0
Share Issued,522000000.0,520950000.0,519900000.0,519450000.0
Net Debt,6780700000.0,7003500000.0,7313700000.0,7047600000.0
Total Debt,12922800000.0,10760900000.0,11310700000.0,11810000000.0
Tangible Book Value,13167100000.0,11437400000.0,10415100000.0,9706100000.0
Invested Capital,24638700000.0,21869200000.0,21243300000.0,20928800000.0
Working Capital,3091900000.0,1938800000.0,1652300000.0,1615600000.0
Net Tangible Assets,13167100000.0,11437400000.0,10415100000.0,9706100000.0
Capital Lease Obligations,209200000.0,329100000.0,457400000.0,587300000.0
Common Stock Equity,13167100000.0,11437400000.0,10415100000.0,9706100000.0
Total Capitalization,13167100000.0,11437400000.0,10415100000.0,9706100000.0
Total Equity Gross Minority Interest,13167100000.0,11437400000.0,10415100000.0,9706100000.0
Stockholders Equity,13167100000.0,11437400000.0,10415100000.0,9706100000.0
Gains Losses Not Affecting Retained Earnings,-953400000.0,-921100000.0,-1050300000.0,-1100100000.0
Retained Earnings,13402400000.0,11869200000.0,11005200000.0,10398500000.0
Additional Paid In Capital,196100000.0,142000000.0,88500000.0,61400000.0
Capital Stock,522000000.0,347300000.0,346600000.0,346300000.0
Common Stock,522000000.0,347300000.0,346600000.0,346300000.0
Total Liabilities Net Minority Interest,20108400000.0,17864300000.0,17870000000.0,18655000000.0
Total Non Current Liabilities Net Minority Interest,12922800000.0,11646700000.0,12268900000.0,12641900000.0
Other Non Current Liabilities,12922800000.0,11646700000.0,12268900000.0,12641900000.0
Non Current Deferred Liabilities,624400000.0,590400000.0,854600000.0,790200000.0
Non Current Deferred Revenue,,329100000.0,457400000.0,587300000.0
Non Current Deferred Taxes Liabilities,624400000.0,590400000.0,854600000.0,790200000.0
Long Term Debt And Capital Lease Obligation,12922800000.0,7735800000.0,8197200000.0,8012800000.0
Long Term Capital Lease Obligation,209200000.0,329100000.0,457400000.0,587300000.0
Long Term Debt,8206100000.0,7406700000.0,7739800000.0,7425500000.0
Current Liabilities,7185600000.0,6217600000.0,5601100000.0,6013100000.0
Other Current Liabilities,1465200000.0,1373300000.0,1241600000.0,843000000.0
Current Debt And Capital Lease Obligation,3265500000.0,3025100000.0,3113500000.0,3797200000.0
Current Debt,3265500000.0,3025100000.0,3113500000.0,3797200000.0
Commercial Paper,3265500000.0,3025100000.0,3113500000.0,3797200000.0
Payables And Accrued Expenses,7185600000.0,6217600000.0,5601100000.0,6013100000.0
Current Accrued Expenses,1381400000.0,1164100000.0,996100000.0,1235500000.0
Payables,7185600000.0,6217600000.0,5601100000.0,6013100000.0
Dividends Payable,974600000.0,521100000.0,242600000.0,796500000.0
Accounts Payable,7185600000.0,6217600000.0,5601100000.0,6013100000.0
Total Assets,33275500000.0,29301700000.0,28285100000.0,28361100000.0
Total Non Current Assets,22998000000.0,21145300000.0,21031700000.0,20732400000.0
Other Non Current Assets,2350000000.0,15418900000.0,15799800000.0,16071400000.0
Investments And Advances,17179600000.0,,,
Investmentin Financial Assets,17179600000.0,,,
Net PPE,3468400000.0,5726400000.0,5231900000.0,4661000000.0
Accumulated Depreciation,-5344000000.0,-5363800000.0,-5292900000.0,-4918300000.0
Gross PPE,3468400000.0,5726400000.0,5231900000.0,4661000000.0
Construction In Progress,424100000.0,313900000.0,1081800000.0,741700000.0
Other Properties,3468400000.0,5726400000.0,5231900000.0,4661000000.0
Machinery Furniture Equipment,5086600000.0,5076000000.0,4234400000.0,1777200000.0
Buildings And Improvements,1608600000.0,1596800000.0,1474700000.0,1382200000.0
Land And Improvements,269900000.0,277600000.0,286400000.0,271800000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,10277500000.0,8156400000.0,7253400000.0,7628700000.0
Other Current Assets,682000000.0,732900000.0,515600000.0,388000000.0
Inventory,2198800000.0,1768300000.0,1221900000.0,1153200000.0
Inventories Adjustments Allowances,,-207700000.0,-190000000.0,-186300000.0
Finished Goods,871800000.0,676000000.0,610000000.0,584600000.0
Work In Process,1327000000.0,1300000000.0,801900000.0,754900000.0
Receivables,1919800000.0,1575100000.0,1197500000.0,1306100000.0
Accounts Receivable,1919800000.0,1575100000.0,1197500000.0,1306100000.0
Allowance For Doubtful Accounts Receivable,-121700000.0,-117500000.0,-127600000.0,-113400000.0
Gross Accounts Receivable,15833400000.0,13613400000.0,13145800000.0,1306100000.0
Cash Cash Equivalents And Short Term Investments,6158900000.0,4813000000.0,4834000000.0,5169400000.0
Other Short Term Investments,1614200000.0,1559400000.0,1429000000.0,1162100000.0
Cash And Cash Equivalents,6158900000.0,3428300000.0,3539600000.0,4175100000.0
