,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,5278348396.0,5057542676.0,4954809968.0,4650028688.0
Share Issued,5278348396.0,5057542676.0,4954809968.0,4650028688.0
Net Debt,,5362192000.0,,337244000.0
Total Debt,16934324000.0,12760334000.0,16967083000.0,6649757000.0
Tangible Book Value,117636909000.0,74413327000.0,58899137000.0,22652574000.0
Invested Capital,133232417000.0,86903454000.0,76474996000.0,30752296000.0
Working Capital,99728396000.0,67179454000.0,65641801000.0,27233657000.0
Net Tangible Assets,117636909000.0,74413327000.0,58899137000.0,22652574000.0
Capital Lease Obligations,1472818000.0,971427000.0,667975000.0,544327000.0
Common Stock Equity,117770911000.0,75114547000.0,60175888000.0,24646866000.0
Total Capitalization,119346666000.0,86903454000.0,74608680000.0,29853548000.0
Total Equity Gross Minority Interest,117770911000.0,75114547000.0,60175888000.0,24646866000.0
Stockholders Equity,117770911000.0,75114547000.0,60175888000.0,24646866000.0
Gains Losses Not Affecting Retained Earnings,3327238000.0,-2519900000.0,-1047728000.0,1448230000.0
Other Equity Adjustments,3327238000.0,-2519900000.0,-1047728000.0,1448230000.0
Treasury Stock,,,,0.0
Retained Earnings,15193035000.0,-17706533000.0,-25475203000.0,-18295461000.0
Additional Paid In Capital,99250468000.0,95340819000.0,86698660000.0,41493949000.0
Capital Stock,170000.0,161000.0,159000.0,148000.0
Common Stock,170000.0,161000.0,159000.0,148000.0
Total Liabilities Net Minority Interest,119349042000.0,106095171000.0,98732726000.0,51410470000.0
Total Non Current Liabilities Net Minority Interest,2459562000.0,12365457000.0,14850649000.0,5642664000.0
Other Non Current Liabilities,,996000.0,2918000.0,7389000.0
Non Current Deferred Liabilities,13025000.0,31291000.0,,
Non Current Deferred Taxes Liabilities,13025000.0,31291000.0,,
Long Term Debt And Capital Lease Obligation,2446537000.0,12333170000.0,14847731000.0,5635275000.0
Long Term Capital Lease Obligation,870782000.0,544263000.0,414939000.0,428593000.0
Long Term Debt,1575755000.0,11788907000.0,14432792000.0,5206682000.0
Current Liabilities,116889480000.0,93729714000.0,83882077000.0,45767806000.0
Other Current Liabilities,15058229000.0,13577552000.0,10926319000.0,7840912000.0
Current Deferred Liabilities,1389655000.0,1166764000.0,2423190000.0,605970000.0
Current Deferred Revenue,1389655000.0,1166764000.0,2423190000.0,605970000.0
Current Debt And Capital Lease Obligation,14487787000.0,427164000.0,2119352000.0,1014482000.0
Current Capital Lease Obligation,602036000.0,427164000.0,253036000.0,115734000.0
Current Debt,13885751000.0,,1866316000.0,898748000.0
Other Current Borrowings,13885751000.0,,1866316000.0,898748000.0
Payables And Accrued Expenses,85953809000.0,78558234000.0,68413216000.0,36306442000.0
Current Accrued Expenses,20960723000.0,14085513000.0,11193372000.0,4877062000.0
Payables,64993086000.0,64472721000.0,57219844000.0,31429380000.0
Other Payable,2364723000.0,1949173000.0,1806787000.0,29926488000.0
Dueto Related Parties Current,1676391000.0,1963007000.0,3385863000.0,1502892000.0
Total Tax Payable,6970790000.0,5734281000.0,2882177000.0,1045796000.0
Accounts Payable,63316695000.0,62509714000.0,53833981000.0,29926488000.0
Total Assets,237119953000.0,181209718000.0,158908614000.0,76057336000.0
Total Non Current Assets,20502077000.0,20300550000.0,9384736000.0,3055873000.0
Other Non Current Assets,16862117000.0,16425966000.0,7275305000.0,503120000.0
Non Current Deferred Assets,1045030000.0,31504000.0,,
Non Current Deferred Taxes Assets,1045030000.0,31504000.0,,
Goodwill And Other Intangible Assets,134002000.0,701220000.0,1276751000.0,1994292000.0
Other Intangible Assets,134002000.0,701220000.0,1276751000.0,1994292000.0
Net PPE,2460928000.0,3141860000.0,832680000.0,558461000.0
Accumulated Depreciation,-2577263000.0,-960835000.0,-50314000.0,-26682000.0
Gross PPE,2460928000.0,3141860000.0,832680000.0,558461000.0
Leases,30249000.0,28773000.0,23780000.0,18826000.0
Other Properties,2460928000.0,3141860000.0,832680000.0,558461000.0
Machinery Furniture Equipment,3591861000.0,3135385000.0,229387000.0,49129000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,216617876000.0,160909168000.0,149523878000.0,73001463000.0
Other Current Assets,2298379000.0,3424687000.0,5159531000.0,950277000.0
Restricted Cash,57974225000.0,59617256000.0,52422447000.0,27577671000.0
Prepaid Assets,2298379000.0,3424687000.0,5159531000.0,950277000.0
Inventory,,14196000.0,1718410000.0,
Receivables,6906526000.0,4923892000.0,4969617000.0,3416502000.0
Duefrom Related Parties Current,6318830000.0,4250155000.0,4240069000.0,2365528000.0
Taxes Receivable,326427000.0,670541000.0,371958000.0,102426000.0
Accrued Interest Receivable,119564000.0,364594000.0,309027000.0,146294000.0
Loans Receivable,,,,0.0
Accounts Receivable,587696000.0,673737000.0,729548000.0,1050974000.0
Cash Cash Equivalents And Short Term Investments,149438746000.0,92943333000.0,86972283000.0,41057013000.0
Other Short Term Investments,115112554000.0,86516618000.0,64551094000.0,35288827000.0
Cash And Cash Equivalents,34326192000.0,6426715000.0,22421189000.0,5768186000.0
