,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,490000000.0,484000000.0,487000000.0,476000000.0
Ordinary Shares Number,1377000000.0,1383000000.0,1380000000.0,1391000000.0
Share Issued,1867000000.0,1867000000.0,1867000000.0,1867000000.0
Net Debt,34117000000.0,34738000000.0,35965000000.0,26559000000.0
Total Debt,39071000000.0,40334000000.0,44150000000.0,32068000000.0
Tangible Book Value,-16639000000.0,-21003000000.0,-24618000000.0,-16758000000.0
Invested Capital,56220000000.0,56377000000.0,57604000000.0,46854000000.0
Working Capital,-5246000000.0,-4437000000.0,-371000000.0,-2816000000.0
Net Tangible Assets,-16639000000.0,-21003000000.0,-24618000000.0,-16758000000.0
Capital Lease Obligations,483000000.0,446000000.0,460000000.0,442000000.0
Common Stock Equity,17149000000.0,16043000000.0,13454000000.0,14786000000.0
Total Capitalization,52806000000.0,52069000000.0,53824000000.0,43934000000.0
Total Equity Gross Minority Interest,17273000000.0,16151000000.0,13552000000.0,14868000000.0
Minority Interest,124000000.0,108000000.0,98000000.0,82000000.0
Stockholders Equity,17149000000.0,16043000000.0,13454000000.0,14786000000.0
Gains Losses Not Affecting Retained Earnings,-15302000000.0,-14898000000.0,-15476000000.0,-14300000000.0
Other Equity Adjustments,-15302000000.0,-14898000000.0,-15476000000.0,-14300000000.0
Treasury Stock,39506000000.0,38248000000.0,38446000000.0,36769000000.0
Retained Earnings,67800000000.0,65165000000.0,63443000000.0,61946000000.0
Additional Paid In Capital,4134000000.0,4001000000.0,3910000000.0,3886000000.0
Capital Stock,23000000.0,23000000.0,23000000.0,23000000.0
Common Stock,23000000.0,23000000.0,23000000.0,23000000.0
Total Liabilities Net Minority Interest,74914000000.0,76226000000.0,79366000000.0,63679000000.0
Total Non Current Liabilities Net Minority Interest,48129000000.0,50006000000.0,55994000000.0,43218000000.0
Other Non Current Liabilities,8339000000.0,9154000000.0,11340000000.0,9979000000.0
Non Current Deferred Liabilities,4133000000.0,4826000000.0,4284000000.0,4091000000.0
Non Current Deferred Taxes Liabilities,4133000000.0,4826000000.0,4284000000.0,4091000000.0
Long Term Debt And Capital Lease Obligation,35657000000.0,36026000000.0,40370000000.0,29148000000.0
Long Term Debt,35657000000.0,36026000000.0,40370000000.0,29148000000.0
Current Liabilities,26785000000.0,26220000000.0,23372000000.0,20461000000.0
Other Current Liabilities,4390000000.0,753000000.0,3855000000.0,3077000000.0
Current Debt And Capital Lease Obligation,3414000000.0,4308000000.0,3780000000.0,2920000000.0
Current Capital Lease Obligation,483000000.0,446000000.0,460000000.0,442000000.0
Current Debt,3414000000.0,4308000000.0,3780000000.0,2920000000.0
Other Current Borrowings,3414000000.0,3908000000.0,3384000000.0,2920000000.0
Commercial Paper,0.0,400000000.0,396000000.0,
Pensionand Other Post Retirement Benefit Plans Current,2519000000.0,2324000000.0,2059000000.0,1835000000.0
Payables And Accrued Expenses,23371000000.0,21159000000.0,19592000000.0,17541000000.0
Current Accrued Expenses,3637000000.0,3087000000.0,2935000000.0,2765000000.0
Payables,23371000000.0,21159000000.0,19592000000.0,17541000000.0
Other Payable,,,,58000000.0
Dividends Payable,1610000000.0,1508000000.0,1430000000.0,1351000000.0
Accounts Payable,23371000000.0,21159000000.0,19592000000.0,17541000000.0
Total Assets,92187000000.0,92377000000.0,92918000000.0,78547000000.0
Total Non Current Assets,70648000000.0,70594000000.0,69917000000.0,60902000000.0
Other Non Current Assets,5292000000.0,4204000000.0,3312000000.0,3011000000.0
Defined Pension Benefit,948000000.0,1260000000.0,910000000.0,846000000.0
Non Current Deferred Assets,4204000000.0,4310000000.0,4372000000.0,4359000000.0
Non Current Deferred Taxes Assets,4204000000.0,4310000000.0,4372000000.0,4359000000.0
Non Current Note Receivables,202000000.0,111000000.0,109000000.0,85000000.0
Non Current Accounts Receivable,,111000000.0,109000000.0,85000000.0
Investments And Advances,3073000000.0,2627000000.0,2792000000.0,2683000000.0
Other Investments,813000000.0,,,
Long Term Equity Investment,3073000000.0,2627000000.0,2792000000.0,2683000000.0
Investmentsin Associatesat Cost,,2627000000.0,2792000000.0,2683000000.0
Goodwill And Other Intangible Assets,33788000000.0,37046000000.0,38072000000.0,31544000000.0
Other Intangible Assets,15586000000.0,18665000000.0,19315000000.0,16043000000.0
Goodwill,18202000000.0,18381000000.0,18757000000.0,15501000000.0
Net PPE,24291000000.0,22407000000.0,21369000000.0,19305000000.0
Accumulated Depreciation,-25493000000.0,-24421000000.0,-24971000000.0,-23698000000.0
Gross PPE,52157000000.0,48848000000.0,48010000000.0,44551000000.0
Construction In Progress,4491000000.0,3940000000.0,3679000000.0,3169000000.0
Other Properties,2373000000.0,2020000000.0,1670000000.0,1548000000.0
Machinery Furniture Equipment,33335000000.0,31486000000.0,31276000000.0,29390000000.0
Buildings And Improvements,10816000000.0,10279000000.0,10214000000.0,9314000000.0
Land And Improvements,1142000000.0,1123000000.0,1171000000.0,1130000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,21539000000.0,21783000000.0,23001000000.0,17645000000.0
Assets Held For Sale Current,0.0,1788000000.0,,
Restricted Cash,,,,0.0
Prepaid Assets,806000000.0,980000000.0,874000000.0,747000000.0
Inventory,5222000000.0,4347000000.0,4172000000.0,3338000000.0
Finished Goods,2742000000.0,2298000000.0,2247000000.0,1743000000.0
Work In Process,114000000.0,151000000.0,205000000.0,200000000.0
Raw Materials,2366000000.0,1898000000.0,1720000000.0,1395000000.0
Receivables,10163000000.0,8680000000.0,8404000000.0,7822000000.0
Receivables Adjustments Allowances,-150000000.0,-147000000.0,-201000000.0,-105000000.0
Other Receivables,2121000000.0,1655000000.0,1713000000.0,1480000000.0
Accounts Receivable,10163000000.0,8680000000.0,8404000000.0,7822000000.0
Cash Cash Equivalents And Short Term Investments,5348000000.0,5988000000.0,9551000000.0,5738000000.0
Other Short Term Investments,394000000.0,392000000.0,1366000000.0,229000000.0
Cash And Cash Equivalents,4954000000.0,5596000000.0,8185000000.0,5509000000.0
