,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,173000000.0,132000000.0,117000000.0,105000000.0
Ordinary Shares Number,1136000000.0,1168000000.0,1171691809.0,1173000000.0
Share Issued,1309000000.0,1300000000.0,1288691809.0,1278000000.0
Net Debt,2641000000.0,3851000000.0,4145000000.0,
Total Debt,10417000000.0,9048000000.0,8939000000.0,4965000000.0
Tangible Book Value,8277000000.0,8941000000.0,9836000000.0,9895000000.0
Invested Capital,30691000000.0,30775000000.0,28958000000.0,21850000000.0
Working Capital,12416000000.0,9545000000.0,12548000000.0,11576000000.0
Net Tangible Assets,8277000000.0,8941000000.0,9836000000.0,9895000000.0
Common Stock Equity,20274000000.0,21727000000.0,20019000000.0,16885000000.0
Total Capitalization,30691000000.0,29776000000.0,28958000000.0,21850000000.0
Total Equity Gross Minority Interest,20274000000.0,21727000000.0,20063000000.0,16929000000.0
Minority Interest,,0.0,44000000.0,44000000.0
Stockholders Equity,20274000000.0,21727000000.0,20019000000.0,16885000000.0
Gains Losses Not Affecting Retained Earnings,-928000000.0,-136000000.0,-484000000.0,-173000000.0
Other Equity Adjustments,-928000000.0,-136000000.0,-484000000.0,-173000000.0
Treasury Stock,16079000000.0,11880000000.0,8507000000.0,6872000000.0
Retained Earnings,18954000000.0,16535000000.0,12366000000.0,8342000000.0
Additional Paid In Capital,18327000000.0,17208000000.0,16644000000.0,15588000000.0
Capital Stock,0.0,0.0,0.0,0.0
Common Stock,0.0,0.0,0.0,0.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,58443000000.0,54076000000.0,50316000000.0,34404000000.0
Total Non Current Liabilities Net Minority Interest,13342000000.0,11047000000.0,11869000000.0,7485000000.0
Non Current Deferred Liabilities,2925000000.0,2998000000.0,2930000000.0,2520000000.0
Non Current Deferred Taxes Liabilities,2925000000.0,2998000000.0,2930000000.0,2520000000.0
Long Term Debt And Capital Lease Obligation,10417000000.0,8049000000.0,8939000000.0,4965000000.0
Long Term Debt,10417000000.0,8049000000.0,8939000000.0,4965000000.0
Current Liabilities,45101000000.0,43029000000.0,38447000000.0,26919000000.0
Current Debt And Capital Lease Obligation,,999000000.0,,
Current Debt,,999000000.0,,
Other Current Borrowings,,999000000.0,,
Payables And Accrued Expenses,45101000000.0,42030000000.0,38447000000.0,26919000000.0
Current Accrued Expenses,4055000000.0,2756000000.0,2648000000.0,2087000000.0
Payables,41046000000.0,39274000000.0,35799000000.0,24832000000.0
Total Tax Payable,813000000.0,236000000.0,129000000.0,73000000.0
Income Tax Payable,813000000.0,236000000.0,129000000.0,73000000.0
Accounts Payable,40233000000.0,39038000000.0,35670000000.0,24759000000.0
Total Assets,78717000000.0,75803000000.0,70379000000.0,51333000000.0
Total Non Current Assets,21200000000.0,23229000000.0,19384000000.0,12838000000.0
Other Non Current Assets,2455000000.0,1737000000.0,1305000000.0,1292000000.0
Investments And Advances,5018000000.0,6797000000.0,6089000000.0,2863000000.0
Other Investments,2201000000.0,,,
Investmentin Financial Assets,2817000000.0,,,
Available For Sale Securities,2817000000.0,,,
Goodwill And Other Intangible Assets,11997000000.0,12786000000.0,10183000000.0,6990000000.0
Other Intangible Assets,788000000.0,1332000000.0,1048000000.0,778000000.0
Goodwill,11209000000.0,11454000000.0,9135000000.0,6212000000.0
Net PPE,1730000000.0,1909000000.0,1807000000.0,1693000000.0
Accumulated Depreciation,-6382000000.0,-5681000000.0,-5202000000.0,-4723000000.0
Gross PPE,8112000000.0,7590000000.0,7009000000.0,6416000000.0
Leases,364000000.0,379000000.0,410000000.0,460000000.0
Construction In Progress,25000000.0,86000000.0,83000000.0,80000000.0
Machinery Furniture Equipment,7335000000.0,6745000000.0,6209000000.0,5446000000.0
Land And Improvements,388000000.0,380000000.0,307000000.0,430000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,57517000000.0,52574000000.0,50995000000.0,38495000000.0
Other Current Assets,1898000000.0,1287000000.0,1148000000.0,800000000.0
Restricted Cash,17000000.0,,,
Prepaid Assets,1898000000.0,1287000000.0,1148000000.0,800000000.0
Receivables,44751000000.0,41787000000.0,36764000000.0,26934000000.0
Receivables Adjustments Allowances,,,,-258000000.0
Loans Receivable,7431000000.0,4846000000.0,2769000000.0,3972000000.0
Accounts Receivable,37320000000.0,36941000000.0,33995000000.0,22962000000.0
Cash Cash Equivalents And Short Term Investments,10851000000.0,9500000000.0,13083000000.0,10761000000.0
Other Short Term Investments,3075000000.0,4303000000.0,8289000000.0,3412000000.0
Cash And Cash Equivalents,7776000000.0,5197000000.0,4794000000.0,7349000000.0
