,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Ordinary Shares Number,1114000000.0,1121000000.0,1125000000.0,1131000000.0
Share Issued,1114000000.0,1121000000.0,1125000000.0,1131000000.0
Net Debt,6948000000.0,12709000000.0,8629000000.0,9019000000.0
Total Debt,15398000000.0,15482000000.0,15745000000.0,15726000000.0
Tangible Book Value,9531000000.0,5623000000.0,1246000000.0,-1899000000.0
Invested Capital,36979000000.0,33495000000.0,25695000000.0,21803000000.0
Working Capital,12836000000.0,8858000000.0,8124000000.0,9847000000.0
Net Tangible Assets,9531000000.0,5623000000.0,1246000000.0,-1899000000.0
Common Stock Equity,21581000000.0,18013000000.0,9950000000.0,6077000000.0
Total Capitalization,36065000000.0,31550000000.0,23651000000.0,21303000000.0
Total Equity Gross Minority Interest,21581000000.0,18013000000.0,9950000000.0,6077000000.0
Stockholders Equity,21581000000.0,18013000000.0,9950000000.0,6077000000.0
Gains Losses Not Affecting Retained Earnings,358000000.0,-22000000.0,128000000.0,207000000.0
Other Equity Adjustments,358000000.0,-22000000.0,128000000.0,207000000.0
Retained Earnings,20733000000.0,17840000000.0,9822000000.0,5284000000.0
Capital Stock,490000000.0,195000000.0,0.0,586000000.0
Common Stock,490000000.0,195000000.0,0.0,586000000.0
Preferred Stock,0.0,,0.0,0.0
Total Liabilities Net Minority Interest,29459000000.0,31001000000.0,31290000000.0,29517000000.0
Total Non Current Liabilities Net Minority Interest,19831000000.0,19135000000.0,19339000000.0,20845000000.0
Other Non Current Liabilities,4130000000.0,3863000000.0,3561000000.0,2986000000.0
Liabilities Heldfor Sale Non Current,38000000.0,119000000.0,,
Tradeand Other Payables Non Current,1080000000.0,1472000000.0,1713000000.0,1872000000.0
Non Current Deferred Liabilities,99000000.0,144000000.0,364000000.0,761000000.0
Non Current Deferred Revenue,99000000.0,144000000.0,364000000.0,761000000.0
Long Term Debt And Capital Lease Obligation,14484000000.0,13537000000.0,13701000000.0,15226000000.0
Long Term Debt,14484000000.0,13537000000.0,13701000000.0,15226000000.0
Current Liabilities,9628000000.0,11866000000.0,11951000000.0,8672000000.0
Other Current Liabilities,4824000000.0,3391000000.0,5014000000.0,4303000000.0
Current Deferred Liabilities,293000000.0,369000000.0,612000000.0,568000000.0
Current Deferred Revenue,293000000.0,369000000.0,612000000.0,568000000.0
Current Debt And Capital Lease Obligation,914000000.0,1945000000.0,2044000000.0,500000000.0
Current Debt,914000000.0,1945000000.0,2044000000.0,500000000.0
Other Current Borrowings,914000000.0,1446000000.0,1544000000.0,
Commercial Paper,0.0,499000000.0,500000000.0,500000000.0
Payables And Accrued Expenses,3597000000.0,6161000000.0,4281000000.0,3301000000.0
Current Accrued Expenses,1685000000.0,1731000000.0,1531000000.0,1053000000.0
Payables,1912000000.0,4430000000.0,2750000000.0,2248000000.0
Total Tax Payable,1717000000.0,634000000.0,862000000.0,549000000.0
Income Tax Payable,1717000000.0,634000000.0,862000000.0,549000000.0
Accounts Payable,1912000000.0,3796000000.0,2750000000.0,2248000000.0
Total Assets,51040000000.0,49014000000.0,41240000000.0,35594000000.0
Total Non Current Assets,28576000000.0,28290000000.0,21165000000.0,17075000000.0
Other Non Current Assets,8174000000.0,8929000000.0,6311000000.0,4037000000.0
Non Current Deferred Assets,3310000000.0,1803000000.0,1591000000.0,1351000000.0
Non Current Deferred Taxes Assets,3310000000.0,1803000000.0,1591000000.0,1351000000.0
Goodwill And Other Intangible Assets,12050000000.0,12390000000.0,8704000000.0,7976000000.0
Other Intangible Assets,1408000000.0,1882000000.0,1458000000.0,1653000000.0
Goodwill,10642000000.0,10508000000.0,7246000000.0,6323000000.0
Net PPE,5042000000.0,5168000000.0,4559000000.0,3711000000.0
Accumulated Depreciation,-7668000000.0,-6602000000.0,-5895000000.0,-5134000000.0
Gross PPE,12710000000.0,11770000000.0,10454000000.0,8845000000.0
Leases,485000000.0,369000000.0,374000000.0,320000000.0
Construction In Progress,226000000.0,330000000.0,269000000.0,134000000.0
Machinery Furniture Equipment,9981000000.0,9134000000.0,7997000000.0,6612000000.0
Buildings And Improvements,1849000000.0,1767000000.0,1642000000.0,1606000000.0
Land And Improvements,169000000.0,170000000.0,172000000.0,173000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,22464000000.0,20724000000.0,20075000000.0,18519000000.0
Other Current Assets,1194000000.0,1625000000.0,854000000.0,704000000.0
Assets Held For Sale Current,341000000.0,733000000.0,,
Inventory,6422000000.0,6341000000.0,3228000000.0,2598000000.0
Finished Goods,2150000000.0,2791000000.0,1486000000.0,1349000000.0
Work In Process,4096000000.0,3329000000.0,1475000000.0,1155000000.0
Raw Materials,176000000.0,221000000.0,267000000.0,94000000.0
Receivables,3183000000.0,5643000000.0,3579000000.0,4003000000.0
Other Receivables,1260000000.0,1468000000.0,1365000000.0,1316000000.0
Accounts Receivable,3183000000.0,4175000000.0,3579000000.0,4003000000.0
Cash Cash Equivalents And Short Term Investments,11324000000.0,6382000000.0,12414000000.0,11214000000.0
Other Short Term Investments,2874000000.0,3609000000.0,5298000000.0,4507000000.0
Cash And Cash Equivalents,8450000000.0,2773000000.0,7116000000.0,6707000000.0
