,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,22600000.0,19392961.0,16431520.0,4860123.0
Ordinary Shares Number,109600000.0,108674766.0,106950910.0,110276950.0
Share Issued,132200000.0,128067727.0,123382430.0,115137073.0
Net Debt,1981400000.0,1980000000.0,1978500000.0,
Total Debt,2701400000.0,2699700000.0,2695700000.0,713900000.0
Tangible Book Value,21748500000.0,18768800000.0,11025300000.0,11089700000.0
Invested Capital,1981400000.0,1980000000.0,1978500000.0,11089700000.0
Working Capital,18215600000.0,17069500000.0,9947100000.0,8767900000.0
Net Tangible Assets,21748500000.0,18768800000.0,11025300000.0,11089700000.0
Capital Lease Obligations,720000000.0,719700000.0,717200000.0,713900000.0
Common Stock Equity,22664000000.0,18768800000.0,11025300000.0,11089700000.0
Total Capitalization,24645400000.0,20748800000.0,13003800000.0,11089700000.0
Total Equity Gross Minority Interest,22664000000.0,18768800000.0,11025300000.0,11089700000.0
Stockholders Equity,22664000000.0,18768800000.0,11025300000.0,11089700000.0
Gains Losses Not Affecting Retained Earnings,-238800000.0,-26200000.0,29300000.0,21100000.0
Other Equity Adjustments,-238800000.0,-26200000.0,29300000.0,21100000.0
Treasury Stock,10353300000.0,8260900000.0,6613300000.0,739900000.0
Retained Earnings,23306700000.0,18968300000.0,10893000000.0,7379800000.0
Additional Paid In Capital,9949300000.0,8087500000.0,6716200000.0,4428600000.0
Capital Stock,100000.0,100000.0,100000.0,100000.0
Common Stock,100000.0,100000.0,100000.0,100000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,6550500000.0,6666000000.0,6138000000.0,3715500000.0
Total Non Current Liabilities Net Minority Interest,2701400000.0,3215000000.0,3331200000.0,1924600000.0
Other Non Current Liabilities,638000000.0,680200000.0,687100000.0,286000000.0
Non Current Deferred Liabilities,69800000.0,515300000.0,635500000.0,1210700000.0
Non Current Deferred Revenue,69800000.0,515300000.0,635500000.0,1210700000.0
Long Term Debt And Capital Lease Obligation,2701400000.0,2699700000.0,2695700000.0,713900000.0
Long Term Capital Lease Obligation,720000000.0,719700000.0,717200000.0,713900000.0
Long Term Debt,1981400000.0,1980000000.0,1978500000.0,
Current Liabilities,3849100000.0,3451000000.0,2806800000.0,1790900000.0
Other Current Liabilities,,,122400000.0,
Current Deferred Liabilities,547700000.0,442000000.0,577700000.0,591700000.0
Current Deferred Revenue,547700000.0,442000000.0,577700000.0,591700000.0
Current Debt And Capital Lease Obligation,720000000.0,719700000.0,,
Current Capital Lease Obligation,720000000.0,719700000.0,,
Payables And Accrued Expenses,3301400000.0,3451000000.0,2806800000.0,1790900000.0
Current Accrued Expenses,2063400000.0,1593100000.0,1502300000.0,1037400000.0
Payables,600000000.0,1177700000.0,495000000.0,467500000.0
Dueto Related Parties Current,10500000.0,287400000.0,,
Total Tax Payable,300000.0,326300000.0,19500000.0,49400000.0
Income Tax Payable,300000.0,326300000.0,19500000.0,49400000.0
Accounts Payable,589200000.0,564000000.0,475500000.0,418100000.0
Total Assets,29214500000.0,25434800000.0,17163300000.0,14805200000.0
Total Non Current Assets,7149800000.0,4914300000.0,4409400000.0,4246400000.0
Other Non Current Assets,747600000.0,555200000.0,328900000.0,531800000.0
Non Current Deferred Assets,1723700000.0,876900000.0,858900000.0,824200000.0
Non Current Deferred Taxes Assets,1723700000.0,876900000.0,858900000.0,824200000.0
Investments And Advances,5406400000.0,6838000000.0,3135600000.0,3256800000.0
Investmentin Financial Assets,5406400000.0,6838000000.0,3135600000.0,3256800000.0
Available For Sale Securities,5406400000.0,6838000000.0,3135600000.0,3256800000.0
Goodwill And Other Intangible Assets,915500000.0,,,
Other Intangible Assets,915500000.0,,,
Net PPE,3763000000.0,3482200000.0,3221600000.0,2890400000.0
Accumulated Depreciation,-1669200000.0,-1398100000.0,-1131100000.0,-922400000.0
Gross PPE,5432200000.0,4880300000.0,4352700000.0,3812800000.0
Leases,114300000.0,113900000.0,100500000.0,97600000.0
Construction In Progress,980500000.0,767700000.0,724500000.0,644800000.0
Other Properties,1315300000.0,1225500000.0,1038600000.0,850700000.0
Machinery Furniture Equipment,487600000.0,436700000.0,356800000.0,305500000.0
Buildings And Improvements,2270000000.0,2088500000.0,1891100000.0,1683400000.0
Land And Improvements,264500000.0,248000000.0,241200000.0,230800000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,22064700000.0,20520500000.0,12753900000.0,10558800000.0
Current Deferred Assets,521800000.0,448500000.0,430900000.0,400900000.0
Prepaid Assets,411200000.0,332400000.0,160800000.0,387100000.0
Inventory,2401900000.0,1951300000.0,1916600000.0,1415500000.0
Other Inventories,521800000.0,448500000.0,430900000.0,400900000.0
Finished Goods,98600000.0,73700000.0,121700000.0,70600000.0
Work In Process,963100000.0,707200000.0,904600000.0,727700000.0
Raw Materials,818400000.0,721900000.0,459400000.0,216300000.0
Receivables,5328700000.0,6036500000.0,4114700000.0,2672200000.0
Other Receivables,,,598500000.0,
Accounts Receivable,5328700000.0,6036500000.0,4114700000.0,2672200000.0
Cash Cash Equivalents And Short Term Investments,14334100000.0,12532700000.0,6722600000.0,6471100000.0
Other Short Term Investments,4636400000.0,2809100000.0,1393300000.0,1596500000.0
Cash And Cash Equivalents,3105900000.0,2885600000.0,2193700000.0,1617800000.0
