,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Ordinary Shares Number,342753000.0,351720000.0,356503000.0,356775000.0
Share Issued,342753000.0,351720000.0,356503000.0,356775000.0
Total Debt,5706447000.0,5622139000.0,5732799000.0,3487900000.0
Tangible Book Value,4288583000.0,4060050000.0,3290640000.0,3359249000.0
Invested Capital,2456510000.0,2452325000.0,2513085000.0,312891000.0
Working Capital,3268473000.0,3258247000.0,2725458000.0,730894000.0
Net Tangible Assets,4288583000.0,4060050000.0,3290640000.0,3359249000.0
Capital Lease Obligations,3249937000.0,3169814000.0,3219714000.0,3175009000.0
Common Stock Equity,4288583000.0,4060050000.0,3290640000.0,3359249000.0
Total Capitalization,6745093000.0,6512375000.0,5738815000.0,3672140000.0
Total Equity Gross Minority Interest,4288583000.0,4060050000.0,3290640000.0,3359249000.0
Stockholders Equity,4288583000.0,4060050000.0,3290640000.0,3359249000.0
Treasury Stock,584750000.0,535895000.0,478550000.0,433328000.0
Retained Earnings,3049656000.0,2874898000.0,2185801000.0,2330702000.0
Additional Paid In Capital,1820249000.0,1717530000.0,1579824000.0,1458307000.0
Capital Stock,3428000.0,3517000.0,3565000.0,3568000.0
Common Stock,3428000.0,3517000.0,3565000.0,3568000.0
Total Liabilities Net Minority Interest,9127880000.0,9580206000.0,9427227000.0,5989118000.0
Total Non Current Liabilities Net Minority Interest,5491634000.0,5365277000.0,5460194000.0,3287184000.0
Other Non Current Liabilities,224104000.0,236013000.0,268558000.0,214086000.0
Tradeand Other Payables Non Current,57409000.0,65359000.0,65507000.0,65956000.0
Non Current Deferred Liabilities,217059000.0,137642000.0,121867000.0,149679000.0
Non Current Deferred Taxes Liabilities,217059000.0,137642000.0,121867000.0,149679000.0
Long Term Debt And Capital Lease Obligation,5050471000.0,4991622000.0,5069769000.0,2923419000.0
Long Term Capital Lease Obligation,2593961000.0,2539297000.0,2621594000.0,2610528000.0
Long Term Debt,2456510000.0,2452325000.0,2448175000.0,312891000.0
Current Liabilities,3636246000.0,4214929000.0,3967033000.0,2701934000.0
Current Debt And Capital Lease Obligation,655976000.0,630517000.0,663030000.0,564481000.0
Current Capital Lease Obligation,655976000.0,630517000.0,598120000.0,564481000.0
Current Debt,,,64910000.0,
Other Current Borrowings,,,64910000.0,
Payables And Accrued Expenses,2980270000.0,3584412000.0,3304003000.0,2137453000.0
Current Accrued Expenses,918271000.0,1201861000.0,992395000.0,826546000.0
Payables,2061999000.0,2382551000.0,2311608000.0,1310907000.0
Total Tax Payable,52075000.0,10249000.0,54680000.0,14425000.0
Income Tax Payable,52075000.0,10249000.0,54680000.0,14425000.0
Accounts Payable,2009924000.0,2372302000.0,2256928000.0,1296482000.0
Total Assets,13416463000.0,13640256000.0,12717867000.0,9348367000.0
Total Non Current Assets,6511744000.0,6167080000.0,6025376000.0,5915539000.0
Other Non Current Assets,232083000.0,241281000.0,230061000.0,208321000.0
Non Current Deferred Assets,155496000.0,163891000.0,159116000.0,141443000.0
Net PPE,6279661000.0,5925799000.0,5795315000.0,5707218000.0
Accumulated Depreciation,-4028178000.0,-3674501000.0,-3373965000.0,-3048101000.0
Gross PPE,6279661000.0,5925799000.0,5795315000.0,5707218000.0
Leases,1433647000.0,1332687000.0,1278134000.0,1219736000.0
Construction In Progress,319319000.0,574333000.0,376076000.0,189536000.0
Other Properties,6279661000.0,5925799000.0,5795315000.0,5707218000.0
Machinery Furniture Equipment,3961733000.0,3425762000.0,3243206000.0,3115003000.0
Land And Improvements,1495006000.0,1240246000.0,1187045000.0,1177262000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,6904719000.0,7473176000.0,6692491000.0,3432828000.0
Other Current Assets,183654000.0,169291000.0,249149000.0,147048000.0
Prepaid Assets,183654000.0,169291000.0,249149000.0,147048000.0
Inventory,2023495000.0,2262273000.0,1508982000.0,1832339000.0
Finished Goods,2023495000.0,2262273000.0,1508982000.0,1832339000.0
Receivables,145694000.0,119247000.0,115067000.0,102236000.0
Accounts Receivable,145694000.0,119247000.0,115067000.0,102236000.0
Cash Cash Equivalents And Short Term Investments,4551876000.0,4922365000.0,4819293000.0,1351205000.0
Cash And Cash Equivalents,4551876000.0,4922365000.0,4819293000.0,1351205000.0
