,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Ordinary Shares Number,1142600000.0,1147900000.0,1180000000.0,1173300000.0
Share Issued,1142600000.0,1147900000.0,1180000000.0,1173300000.0
Net Debt,11848200000.0,12225500000.0,8160100000.0,11997400000.0
Total Debt,24599800000.0,23804800000.0,23605100000.0,25258800000.0
Tangible Book Value,-11333600000.0,-12146000000.0,-9348400000.0,-11954400000.0
Invested Capital,7404900000.0,6337300000.0,9294600000.0,8543200000.0
Working Capital,-2041900000.0,-2133100000.0,1605000000.0,459600000.0
Net Tangible Assets,-11333600000.0,-12146000000.0,-9348400000.0,-11954400000.0
Capital Lease Obligations,9200100000.0,8760900000.0,8989300000.0,8910500000.0
Common Stock Equity,-7994800000.0,-8706600000.0,-5321200000.0,-7805100000.0
Total Capitalization,5552800000.0,4413300000.0,8295700000.0,6854500000.0
Total Equity Gross Minority Interest,-7987800000.0,-8698700000.0,-5314500000.0,-7799400000.0
Minority Interest,7000000.0,7900000.0,6700000.0,5700000.0
Stockholders Equity,-7994800000.0,-8706600000.0,-5321200000.0,-7805100000.0
Gains Losses Not Affecting Retained Earnings,-778200000.0,-463200000.0,147200000.0,-364600000.0
Other Equity Adjustments,-778200000.0,-463200000.0,147200000.0,-364600000.0
Retained Earnings,-7255800000.0,-8449800000.0,-6315700000.0,-7815600000.0
Additional Paid In Capital,38100000.0,205300000.0,846100000.0,373900000.0
Capital Stock,1100000.0,1100000.0,1200000.0,1200000.0
Common Stock,1100000.0,1100000.0,1200000.0,1200000.0
Total Liabilities Net Minority Interest,37433300000.0,36677100000.0,36707100000.0,37173900000.0
Total Non Current Liabilities Net Minority Interest,28088000000.0,27525300000.0,28555700000.0,29827100000.0
Other Non Current Liabilities,513800000.0,610500000.0,737800000.0,907300000.0
Non Current Deferred Liabilities,6101800000.0,6279700000.0,6463000000.0,6598500000.0
Non Current Deferred Revenue,6101800000.0,6279700000.0,6463000000.0,6598500000.0
Long Term Debt And Capital Lease Obligation,21472400000.0,20635100000.0,21354900000.0,22321300000.0
Long Term Capital Lease Obligation,7924800000.0,7515200000.0,7738000000.0,7661700000.0
Long Term Debt,13547600000.0,13119900000.0,13616900000.0,14659600000.0
Current Liabilities,9345300000.0,9151800000.0,8151400000.0,7346800000.0
Current Deferred Liabilities,1700200000.0,1641900000.0,1596100000.0,1456500000.0
Current Deferred Revenue,1700200000.0,1641900000.0,1596100000.0,1456500000.0
Current Debt And Capital Lease Obligation,3127400000.0,3169700000.0,2250200000.0,2937500000.0
Current Capital Lease Obligation,1275300000.0,1245700000.0,1251300000.0,1248800000.0
Current Debt,1852100000.0,1924000000.0,998900000.0,1688700000.0
Other Current Borrowings,1852100000.0,1924000000.0,998900000.0,1688700000.0
Current Provisions,,232300000.0,229300000.0,243900000.0
Payables And Accrued Expenses,4517700000.0,4340200000.0,4305100000.0,2952800000.0
Current Accrued Expenses,2973400000.0,2898800000.0,2745500000.0,1856700000.0
Payables,1544300000.0,1441400000.0,1559600000.0,1096100000.0
Dividends Payable,,608300000.0,578100000.0,0.0
Total Tax Payable,,333800000.0,348000000.0,98200000.0
Income Tax Payable,,139200000.0,348000000.0,98200000.0
Accounts Payable,1544300000.0,1441400000.0,1211600000.0,997900000.0
Total Assets,29445500000.0,27978400000.0,31392600000.0,29374500000.0
Total Non Current Assets,22142100000.0,20959700000.0,21636200000.0,21568100000.0
Other Non Current Assets,546500000.0,554200000.0,578500000.0,568600000.0
Non Current Deferred Assets,1769800000.0,1799700000.0,1874800000.0,1789900000.0
Non Current Deferred Taxes Assets,1769800000.0,1799700000.0,1874800000.0,1789900000.0
Investments And Advances,687300000.0,590300000.0,550200000.0,684800000.0
Investmentin Financial Assets,247400000.0,279100000.0,281700000.0,206100000.0
Available For Sale Securities,247400000.0,279100000.0,281700000.0,206100000.0
Long Term Equity Investment,439900000.0,311200000.0,268500000.0,478700000.0
Goodwill And Other Intangible Assets,3338800000.0,3439400000.0,4027200000.0,4149300000.0
Other Intangible Assets,120500000.0,155900000.0,349900000.0,552100000.0
Goodwill,3218300000.0,3283500000.0,3677300000.0,3597200000.0
Net PPE,15799700000.0,14576100000.0,14605500000.0,14375500000.0
Accumulated Depreciation,,-9049300000.0,-8459300000.0,-7913900000.0
Gross PPE,15799700000.0,14576100000.0,14605500000.0,14375500000.0
Leases,,9066800000.0,8637600000.0,8262600000.0
Construction In Progress,,558700000.0,374100000.0,377300000.0
Other Properties,15799700000.0,14576100000.0,14605500000.0,14375500000.0
Machinery Furniture Equipment,,1526100000.0,1392000000.0,1285700000.0
Buildings And Improvements,,555400000.0,587600000.0,586800000.0
Land And Improvements,,46100000.0,46200000.0,46000000.0
Properties,,0.0,0.0,0.0
Current Assets,7303400000.0,7018700000.0,9756400000.0,7806400000.0
Other Current Assets,359900000.0,483700000.0,594600000.0,739500000.0
Prepaid Assets,,483700000.0,594600000.0,739500000.0
Inventory,1806400000.0,2176600000.0,1603900000.0,1551400000.0
Finished Goods,,741200000.0,562800000.0,517400000.0
Raw Materials,,1435400000.0,1041100000.0,1034000000.0
Receivables,1184100000.0,1175500000.0,940000000.0,883400000.0
Other Receivables,,69400000.0,172400000.0,155100000.0
Taxes Receivable,,27700000.0,20700000.0,356900000.0
Accounts Receivable,1184100000.0,1175500000.0,940000000.0,883400000.0
Allowance For Doubtful Accounts Receivable,,-27200000.0,-25600000.0,-27100000.0
Gross Accounts Receivable,,1202700000.0,965600000.0,910500000.0
Cash Cash Equivalents And Short Term Investments,3953000000.0,3182900000.0,6617900000.0,4632100000.0
Other Short Term Investments,401500000.0,364500000.0,162200000.0,281200000.0
Cash And Cash Equivalents,3551500000.0,2818400000.0,6455700000.0,4350900000.0
