,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,0.0,1000000.0,3000000.0,
Ordinary Shares Number,3891000000.0,3967000000.0,4173000000.0,4412000000.0
Share Issued,3891000000.0,3968000000.0,4176000000.0,4412000000.0
Net Debt,9395000000.0,8641000000.0,8429000000.0,7738000000.0
Total Debt,9822000000.0,9243000000.0,8967000000.0,8346000000.0
Tangible Book Value,-9650000000.0,-8962000000.0,-8747000000.0,-8046000000.0
Invested Capital,6101000000.0,6207000000.0,6215000000.0,7108000000.0
Working Capital,-1943000000.0,-1800000000.0,-2200000000.0,-2290000000.0
Net Tangible Assets,-9650000000.0,-8962000000.0,-8747000000.0,-8046000000.0
Capital Lease Obligations,370000000.0,411000000.0,467000000.0,502000000.0
Common Stock Equity,-3351000000.0,-2625000000.0,-2285000000.0,-736000000.0
Total Capitalization,5905000000.0,6207000000.0,6214000000.0,7106000000.0
Total Equity Gross Minority Interest,-3351000000.0,-2625000000.0,-2285000000.0,-736000000.0
Stockholders Equity,-3351000000.0,-2625000000.0,-2285000000.0,-736000000.0
Gains Losses Not Affecting Retained Earnings,-4000000.0,15000000.0,15000000.0,8000000.0
Other Equity Adjustments,-4000000.0,15000000.0,15000000.0,8000000.0
Treasury Stock,0.0,8000000.0,19000000.0,0.0
Retained Earnings,-3351000000.0,-2636000000.0,-2285000000.0,-1143000000.0
Additional Paid In Capital,0.0,0.0,0.0,395000000.0
Capital Stock,4000000.0,4000000.0,4000000.0,4000000.0
Common Stock,4000000.0,4000000.0,4000000.0,4000000.0
Total Liabilities Net Minority Interest,13373000000.0,12899000000.0,12618000000.0,11885000000.0
Total Non Current Liabilities Net Minority Interest,10392000000.0,9919000000.0,9451000000.0,8592000000.0
Other Non Current Liabilities,170000000.0,150000000.0,149000000.0,94000000.0
Non Current Deferred Liabilities,646000000.0,575000000.0,384000000.0,200000000.0
Non Current Deferred Revenue,81000000.0,97000000.0,118000000.0,130000000.0
Non Current Deferred Taxes Liabilities,565000000.0,478000000.0,266000000.0,70000000.0
Long Term Debt And Capital Lease Obligation,9576000000.0,9194000000.0,8918000000.0,8298000000.0
Long Term Capital Lease Obligation,320000000.0,362000000.0,419000000.0,456000000.0
Long Term Debt,9256000000.0,8832000000.0,8499000000.0,7842000000.0
Current Liabilities,2981000000.0,2980000000.0,3167000000.0,3293000000.0
Other Current Liabilities,,5000000.0,,4000000.0
Current Deferred Liabilities,1322000000.0,1454000000.0,1721000000.0,1930000000.0
Current Deferred Revenue,1322000000.0,1454000000.0,1721000000.0,1930000000.0
Current Debt And Capital Lease Obligation,246000000.0,49000000.0,49000000.0,48000000.0
Current Capital Lease Obligation,50000000.0,49000000.0,48000000.0,46000000.0
Current Debt,196000000.0,,1000000.0,2000000.0
Other Current Borrowings,196000000.0,,1000000.0,2000000.0
Payables And Accrued Expenses,1413000000.0,1472000000.0,1397000000.0,1311000000.0
Current Accrued Expenses,165000000.0,173000000.0,174000000.0,160000000.0
Interest Payable,165000000.0,173000000.0,174000000.0,160000000.0
Payables,1248000000.0,1299000000.0,1223000000.0,1151000000.0
