,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Treasury Shares Number,5207000.0,4886000.0,4198000.0,4643000.0
Ordinary Shares Number,152053000.0,152375000.0,148864000.0,152618000.0
Share Issued,157260000.0,157261000.0,153062000.0,157261000.0
Total Debt,687803000.0,656371000.0,666767000.0,663491000.0
Tangible Book Value,1702778000.0,1287045000.0,1440220000.0,1287968000.0
Invested Capital,6165386000.0,5536549000.0,5395223000.0,5035311000.0
Working Capital,445173000.0,238170000.0,394857000.0,409295000.0
Net Tangible Assets,1702778000.0,1287045000.0,1440220000.0,1287968000.0
Capital Lease Obligations,669725000.0,635547000.0,566681000.0,535584000.0
Common Stock Equity,6147308000.0,5515725000.0,5295137000.0,4907404000.0
Total Capitalization,6165386000.0,5536549000.0,5320231000.0,5008227000.0
Total Equity Gross Minority Interest,6184301000.0,5559190000.0,5298943000.0,4912367000.0
Minority Interest,36993000.0,43465000.0,3806000.0,4963000.0
Stockholders Equity,6147308000.0,5515725000.0,5295137000.0,4907404000.0
Gains Losses Not Affecting Retained Earnings,-196414000.0,-234277000.0,-49604000.0,-54074000.0
Other Equity Adjustments,-196414000.0,-234277000.0,-49604000.0,-54074000.0
Treasury Stock,1675650000.0,1272955000.0,782866000.0,488613000.0
Retained Earnings,6741699000.0,5534307000.0,4549713000.0,3795397000.0
Additional Paid In Capital,1276152000.0,1487126000.0,1576363000.0,1653166000.0
Capital Stock,1521000.0,1524000.0,1531000.0,1528000.0
Common Stock,1521000.0,1524000.0,1531000.0,1528000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,4148830000.0,3858897000.0,3453317000.0,3117695000.0
Total Non Current Liabilities Net Minority Interest,1163379000.0,1084398000.0,1039833000.0,977773000.0
Other Non Current Liabilities,386138000.0,327829000.0,363540000.0,284511000.0
Tradeand Other Payables Non Current,,,27893000.0,25178000.0
Non Current Deferred Liabilities,175128000.0,154472000.0,136303000.0,104850000.0
Non Current Deferred Revenue,175128000.0,154472000.0,136303000.0,104850000.0
Long Term Debt And Capital Lease Obligation,602113000.0,602097000.0,512097000.0,563234000.0
Long Term Capital Lease Obligation,584035000.0,581273000.0,487003000.0,462411000.0
Long Term Debt,18078000.0,20824000.0,25094000.0,100823000.0
Current Liabilities,2985451000.0,2774499000.0,2413484000.0,2139922000.0
Current Deferred Liabilities,1776000000.0,1910822000.0,1517623000.0,1388263000.0
Current Deferred Revenue,1776000000.0,1910822000.0,1517623000.0,1388263000.0
Current Debt And Capital Lease Obligation,85690000.0,54274000.0,154670000.0,100257000.0
Current Capital Lease Obligation,85690000.0,54274000.0,79678000.0,73173000.0
Current Debt,,,74992000.0,27084000.0
Other Current Borrowings,,,74992000.0,27084000.0
Payables And Accrued Expenses,1123761000.0,809403000.0,741191000.0,651402000.0
Current Accrued Expenses,,771823000.0,667335000.0,593661000.0
Payables,,37580000.0,741191000.0,651402000.0
Total Tax Payable,,,46443000.0,27738000.0
Income Tax Payable,,,46443000.0,27738000.0
Accounts Payable,,37580000.0,694748000.0,623664000.0
Total Assets,10333131000.0,9418087000.0,8752260000.0,8030062000.0
Total Non Current Assets,6902507000.0,6405418000.0,5943919000.0,5480845000.0
Other Non Current Assets,470973000.0,463695000.0,510698000.0,405951000.0
Non Current Prepaid Assets,,,,8276000.0
Non Current Deferred Assets,860914000.0,670653000.0,612655000.0,497546000.0
Non Current Deferred Taxes Assets,860914000.0,670653000.0,612655000.0,497546000.0
Goodwill And Other Intangible Assets,4444530000.0,4228680000.0,3854917000.0,3619436000.0
Other Intangible Assets,374194000.0,386446000.0,279132000.0,254322000.0
Goodwill,4070336000.0,3842234000.0,3575785000.0,3365114000.0
Net PPE,1126090000.0,1042390000.0,965649000.0,949636000.0
Accumulated Depreciation,,-866355000.0,-804347000.0,-769530000.0
Gross PPE,1126090000.0,1042390000.0,965649000.0,949636000.0
Leases,,241062000.0,236064000.0,242830000.0
Other Properties,1126090000.0,1042390000.0,965649000.0,949636000.0
Machinery Furniture Equipment,,951273000.0,885785000.0,860807000.0
Buildings And Improvements,,135722000.0,134931000.0,129746000.0
Land And Improvements,,21598000.0,19965000.0,19965000.0
Properties,,0.0,0.0,0.0
Current Assets,3430624000.0,3012669000.0,2808341000.0,2549217000.0
Other Current Assets,567515000.0,,,
Prepaid Assets,,439130000.0,397617000.0,308167000.0
Inventory,325590000.0,211927000.0,229023000.0,192333000.0
Receivables,946967000.0,796091000.0,600912000.0,813064000.0
Receivables Adjustments Allowances,,-29553000.0,-30680000.0,-28564000.0
Other Receivables,,46254000.0,35589000.0,50932000.0
Taxes Receivable,,,32411000.0,32355000.0
Accounts Receivable,946967000.0,796091000.0,568501000.0,780709000.0
Cash Cash Equivalents And Short Term Investments,1590552000.0,1565521000.0,1580789000.0,1235653000.0
Other Short Term Investments,151639000.0,147913000.0,147949000.0,
Cash And Cash Equivalents,1438913000.0,1417608000.0,1432840000.0,1235653000.0
